MATERIAL_ID,0,1,2,3,4
9, #5 COIL ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,FLY,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
10,#5 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK /  1-WAY DFW SHORT NON LOCKING,HAND POCKETS,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
11, #5 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,BACK POCKETS HORIZONTAL ,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
12, #5 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,CHEST POCKET,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
13,#5 AquaGuard Coil Zipper with matte transparent film (5CNT10),"YKK DFW/DFW NON LOCK // 2-WAY  CLOSED END SEPARATING,  SLIDERS CLOSE UP AND DOWN, TOP IS OPEN END, BOTTOM IS CLOSED",SIDE ENTRY,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
14, #5 COIL ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,HEM GUSSET ,1 PER SIDE = 2,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK
17,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKET ZIPPERS,1 PER SIDE = 2,COLOR
18,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,BACK POCKETS HORIZONTAL ,1 PER SIDE = 2,COLOR
19,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET,1,COLOR
20,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SIDE ENTRY ZIPPERS,2 PER SIDE = 4,COLOR
23,NITRO TRIM NUMBER 11NT-033 / LOGO METAL GROMMET,LUKS/ ET07-N0711,FRONT LEFT BELT LOOP,1,COLOR
24,NITRO TRIM NUMBER (?)/ NITRO EMBOSSED SUSPENDER ELASTIC,CHUN WO HO / E1343016 38mm,SHOULDER STRAPS,1 PER SIDE= 2,COLOR
25,HEAT TRANSFER,SEALON/,BACK LEFT LEG,1,COLOR
26,NITRO TRIM NUMBER N18-TRIM-020 / NITRO GRIPPER ELASTIC,CHUN WO HO/ E1337216 25mm,GAITER HEMS,2,COLOR
29,15MM METAL SNAP,XXX,"""VILLAGE HEM"" LEG SNAPS",1 PER SIDE = 2,CAP AND BASE COLOR
30,BOOT HOOK,XXX,FRONT GAITER,1 PER SIDE = 2,METAL COLOR
31,KEYCLIP,XXX,RIGHT HAND POCKET,1,BLACK
32,CLIP,"DURAFLEX/
Simplex buckle (38MM) 11-90298-000000
11-90299-000000",BUCKLE ON SUSPENDER ELASTIC STRAPS,1 PER SIDE = 2,BLACK
33,TPR SLIPLOK,"DURAFLEX/
(38MM) TPR Sliplok #2-04428",ADJUST ON SUSPENDER ELASTIC STRAPS,1 PER SIDE = 2,BLACK
36,GROSGRAIN,XXX,"UNDER ""VILLAGE HEM"" LEG SNAPS",1 PER SIDE = 2,COLOR
37,GROSGRAIN,XXX,UNDER BOOT HOOK,1 PER SIDE = 2,COLOR
38,"GROSGRAIN 1/4""",XXX,RIGHT HAND POCKET ATTACH KEYCLIP,1,COLOR
39,ELASTIC,,WAIST BAND ADJUST,1 PER SIDE = 2,ELASTIC
43,BONDING FILM,XXX,WAIST ADJUST TABS,1 PER SIDE = 2,COLOR
44,BONDING FILM,XXX,FLY OPENING,1,COLOR
45,BONDING FILM,XXX,HAND POCKET ZIPPER GARAGES / WELTS,1 PER SIDE = 2,COLOR
46,BONDING FILM,XXX,BACK POCKET FLAPS,1 PER SIDE = 2,COLOR
47,BONDING FILM,XXX,HEM GUSSET WELTS,1 PER SIDE = 2,COLOR
50,"1"" x 1 1/4"" VELCRO WITH ROUNDED CORNERS",Paiho Loop #1057 on top / Paiho Hook ETN7 on bottom,WAIST BAND,2 TABS,MATCH TO SHELL
51,"1/2"" x 1 1/2"" VELCRO WITH ROUNDED CORNERS",Paiho Loop #1057 on bag / Paiho Hook ETN7 on flap,BACK POCKET FLAPS (HIDDEN),2 PER SIDE,MATCH TO SHELL
52,"1 1/4"" x 4 1/2"" VELCRO WITH ROUNDED CORNERS",Paiho Loop #1057 ,WAIST ADJUST - ON BODY,1 PER SIDE = 2,MATCH TO SHELL
53,"1 1/4"" x 2"" VELCRO WITH ROUNDED CORNERS",Paiho Hook ETN7 on flap,WAIST ADJUST - ON TABS,1 PER SIDE = 2,MATCH TO SHELL
57,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL
58,BARTACKS,,100 / 2,,MATCH TO SHELL
61,MAIN LABEL,,CENTER BACK WAIST BAND LINING,1,
65,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,
70,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
71,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
72,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
