MATERIAL_ID,0,1,2,3,4
9,#5 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK / DALH/DAG 2-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
10,#5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,CHEST POCKET HORIZONTAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
11,#5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
14,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR
15,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET,1,COLOR
16,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR
19,"Nitro trim number: N18-TRIM-009
Nitro Speech Bubble 
Heat Transfer 3cm x 3cm",SEALON,"LEFT SLEEVE HEM, 3"" UP FROM CUFF, CENTERED OVER SLEEVE FOLD",1,COLOR
20,"Nitro trim number: N18-TRIM-010
NITRO TEXT
REFLECTIVE HEAT TRANSFER",SEALON,"BACK RIGHT: 4 1/2” to the right 
of CB, inline with 
underarm.",1,COLOR
25,8MM METAL EYELET,LUK'S / ET04,HOOD ADJUST,2 PER SIDE = 4,COLOR
26,CORD LOCK,,HOOD ADJUST,1 PER SIDE = 2,COLOR
27,BEAD,,HOOD ADJUST,1 PER SIDE = 2,COLOR
28,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST (RIGHT SIDE),2,COLOR
29,CORD LOCK,,HEM ADJUST (RIGHT SIDE),1,COLOR
30,BEAD,,HEM ADJUST (RIGHT SIDE),1,COLOR
31,KEYCLIP,,RIGHT HAND POCKET,1,COLOR
34,"GROSGRAIN 1/4""",,HOOD ADJUST,1 PER SIDE = 2,COLOR
35,SHOCKCORD,,HOOD ADJUST,1,COLOR
36,"GROSGRAIN 3/8""",,HEM ADJUST (RIGHT SIDE),1,COLOR
37,SHOCKCORD,,HEM ADJUST (RIGHT SIDE),1,COLOR
38,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET,1,COLOR
41,BONDING FILM,,HOOD BRIM,1,
42,BONDING FILM,,CUFF TABS,2,
45,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL
46,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL
50,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL
51,BARTACKS,,100/2,,MATCH TO SHELL
54,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,
58,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,
63,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
64,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
65,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
