MATERIAL_ID,0,8,16,27,28,32,34
10,SHELL FABRICS,,,,,,
11,340gms 80% cotton/20% polyester sweatshirt fabric,"shell fabric at hood, front body, back body, sleeves, pocket
facing fabric at rolled facing at pocket edge
大身本布(1):帽子, 正反大身, 袖子, 口袋, 口袋反摺貼邊",,1,,,use available color for proto
12,80% cotton/20% polyester rib knit sweatshirt fabric,"shell fabric at collar, cuffs, hem
螺紋布(2):袖口, 下擺",,2,,,use available color for proto
14,LINING FABRICS,,,,,,
15,340gms 80% cotton/20% polyester sweatshirt fabric,lining  內裡布,interior hood  帽子內裡,,,,use available color for proto
18,please source,"herringbone cotton webbing/tape
人字斜棉質領織帶","interior back neckseam
內後領織帶",,,0,use available for proto
19,please source,"0.5"" flat drawcord (end is folded and stitched, no tips)
0.5""寬平穿繩(繩尾反摺壓線, 不加鴨嘴)","front hood adjustment
帽子調整帶",,,0,use available for proto
20,please source,"metal eyelet (opening is 0.375"")
金屬雞眼開口寬度0.375""","front hood adjustment drawcord exit
帽子穿繩出口",,2,0,antique silver
23,please source,"interior main label
內主標","interior back neck
內後領處",,,,use available for proto
24,please source,"care label
洗標","interior left side seam
內穿者左斜邊車縫處",,,,use available for proto
26,HANGTAGS,,,,,,
27,please source,"main hangtag
主吊牌","tag pin inserted throught left underarm seam
吊牌用子彈掛於穿者左腋下接縫處",,,,use available for proto
