MATERIAL_ID,0,1,2,3,4,5,7
4,WATERPROOF/BREATHABILITY:,,DWR,,,BLOCK:,NEW
6,INSULATION:,,100G PINNECO MANTLE ALL OVER,,,TARGET FOB:,0
9, #5 VISLON ZIPPER,YKK / 1-WAY DADHR DIE CAST WIRE SEMI AUTO LOCK,CENTER FRONT,1,BOMBAY 18-1250 TCX ,OXBLOOD 19-1725 TCX ,
10, #5 VISLON ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKET VERTICAL,1,BOMBAY 18-1250 TCX ,OXBLOOD 19-1725 TCX ,
11, #5 VISLON ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,BOMBAY 18-1250 TCX ,OXBLOOD 19-1725 TCX ,
14,SHOCK CORD ZIPPER PULL WITH SILICON DIPPED ENDS,CHUN WO HO / CW17-063 BLACK SHOCKCORD WITH RUBBER DIPPER ENDS - PLEASE SOURCE,"CENTER FRONT ZIPPER (1), CHEST POCKET ZIPPER (1) HAND POCKET ZIPPERS (2)",4,BLACK CORD WITH BOMBAY 18-1250 TCX RUBBER DIP,BLACK CORD WITH OXBLOOD 19-1725 TCX RUBBER DIP,
17,"L1-2018-TRIM-001
Woven label",PLEASE SOURCE,FRONT RIGHT HEM,1,WOVEN LABEL,WOVEN LABEL,
18,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL
3cm x 2.77cm  ",PLEASE SOURCE,FRONT LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,
19,"L1-2018-TRIM-025
L1 EMBROIDERY LARGE
3.7cm x 3.4cm  ",PLEASE SOURCE,BACK RIGHT,1,MATCH TO SHELL,MATCH TO SHELL,
23,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,AL023 ALLOY (D),AL023 ALLOY (D),
24,CORD LOCK,SUNSUN/ SV160819-4A,HEM ADJUST EXPOSED AT LINING,1 PER SIDE = 2,BLACK,BLACK,
25,BEAD,SUNSUN/ SV160725-1A,HEM ADJUST,1 PER SIDE = 2,BLACK,BLACK,
28,BINDING,CHUN WO HO/ CW17-251 OR PLEASE SOURCE,SLEEVE HEMS,1 PER SIDE = 2,BLACK,BLACK,
29,"GROSGRAIN 3/8""",PLEASE SOURCE,ATTACH HEM CORD LOCKS,1 PER SIDE = 2,BLACK,BLACK,
37,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,
38,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,
41,DWR,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,DWR,DWR,
45,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
49,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,
50,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,
51,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,
