MATERIAL_ID,0,1,2,3,4
0,,L1 PANT,,,
9,FLY ,#5 COIL ,YKK DALH // 1-WAY LOCKING,1,SILDER/PULL COLOR: MATTE BLACK/ TAPE COLOR: BLACK
10,HAND POCKETS,#5 COIL ,NON YKK DADHR DIECAST WIRE // 1-WAY LOCKING,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ TAPE COLOR: BLACK
11,RIGHT LEG POCKET,#5 MATTE WATER RESISTANT,NON YKK DADHR DIECAST WIRE // 1-WAY LOCKING,1,SILDER/PULL COLOR: DTM SHELL / TAPE COLOR: DTM SHELL
12,RIGHT BACK POCKET ,#5 COIL ,NON YKK DADHR DIECAST WIRE // 1-WAY LOCKING,1,SILDER/PULL COLOR: MATTE BLACK/ TAPE COLOR: BLACK
13,LEFT BACK POCKET,#5 MATTE WATER RESISTANT,NON YKK DADHR DIECAST WIRE // 1-WAY LOCKING,1,SILDER/PULL COLOR: DTM SHELL / TAPE COLOR: DTM SHELL
14,"""BALLS OUT"" VENTING",#5 COIL ,"NON YKK DADHR DIECAST WIRE // 2 SLIDERS ON CLOSED ENDS TAPE, ZIP DOWN EACH SIDE TO CLOSE (LOCKING)",1,SILDER/PULL COLOR: MATTE BLACK/ TAPE COLOR: BLACK
15,HEM,#5 COIL ,NON YKK DADHR DIECAST WIRE // 1-WAY LOCKING,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ TAPE COLOR: BLACK
18,HAND POCKETS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
19,"""BALLS OUT"" VENTING", SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
20,BACK RIGHT POCKET, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1,SHELL FABRIC MATCHING
23,WAIST CLOSURE ,L1 17MM METAL SNAP ,SUPPLIER / L1-2016-TRIM-001,2,PSUDO ANTI SILVER
24,BACK RIGHT POCKET FLAP,L1 17MM METAL SNAP ,SUPPLIER / L1-2016-TRIM-001,1,PSUDO ANTI SILVER
25,BACK RIGHT POCKET BAG,L1 SUEDE BAR PATCH,L1-2017-TRIM-000,1,BLACK
26,FRONT LEFT HEM,L1 EMBROIDERY LARGE,FACTORY SOURCED // L1-2016-TRIM-027 ,1,DTM SHELL
29,"""FINGER SNAP HEM ADJUST"" BACK LEG HEM",24L METAL SNAP,,1 PER SIDE = 2,PSUDO ANTI SILVER
30,"""JACKET TO PANT CONNECTION"" BACK 3 BELT LOOPS",24L METAL SNAP,,3,PSUDO ANTI SILVER
33,RIGHT HAND POCKET,KEY CLIP,J&K // HK-001,1,BLACK
34,FRONT OF LEG GAITER,METAL BOOT HOOK,SUPPLIER / REF NUMBER,1 PER SIDE = 2,PSUDO ANTI SILVER
37,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",,1,BLACK
38,BOOT HOOK REINFORCEMENT,"1"" TAB",,1 PER SIDE = 2,BLACK
39,"""FINGER SNAP HEM ADJUST"" RENIFORCEMENT","1"" TAB",,1 PER SIDE = 2,BLACK
43,TOPSTITCH,,TSEU,TOPSTITCH THREAD,MATCHING
44,BARTACKS,,TSEU,REGULAR THREAD,MATCHING
47,FRONT LEFT BELT LOOP,L1 PANT HANG TAG,SUPPLIER // ,1,L1 PANT HANG TAG
48,FRONT LEFT BELT LOOP BEHIND MAIN HANG TAG,L1 PANT FIT HANG TAG ,SUPPLIER // REGULAR FIT,1,L1 PANT FIT HANG TAG  // REGULAR FIT
49,CENTER BACK WAIST BAND FACING,L1 PANT SIZE LABEL,L1 PANT SIZE LABEL,1,L1 PANT SIZE LABEL
51,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL
52,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL
53,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL
54,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE
