MATERIAL_ID,0,1,2,3,4,5,6,7
6,,INSULATION: ,,"40g ""CS"" POLYFILL",,TARGET FOB: ,,43
11,A,BROKEN TWILL $3.70 10k/10k coat +80/10 dwr,SOLIS,100% poly,BLACK,X,X,HARVEST
12,A,PA10004 $3.00 FLAT FACE 10k/10k coat + 80/10 dwr,RACO,100% poly,X,CAMO,SAND,X
13,B,PA10004 $3.00 FLAT FACE 10k/10k coat + 80/10 dwr,RACO,100% poly,BLACK,CAMO,DARK SLATE,RAVEN
16,"40G ""CS"" POLYFILL ALL OVER",,,,"40G ""CS"" POLYFILL ALL OVER","40G ""CS"" POLYFILL ALL OVER","40G ""CS"" POLYFILL ALL OVER","40G ""CS"" POLYFILL ALL OVER"
22,"HOOD,  SLEEVES, CHEST AND TOP ENTRY POCKET BAG, FRONT PANELS",SOLID NYLON 210T,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
23,BLACK PANEL,SOLID 210T WITH EAGLE PANEL PRINT,SOLIS / REF NUMBER,,SOLID BLACK 210T WITH EAGLE PRINT,SOLID BLACK 210T WITH EAGLE PRINT,SOLID BLACK 210T WITH EAGLE PRINT,SOLID BLACK 210T WITH EAGLE PRINT
24,FRONT AND BACK PANELS,WAFFLE FLEECE,SOLIS / REF NUMBER,,,,,
25,LOWER BODY & POWDER SKIRT ,SOLID COATED 210T,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
26,CHIN & SIDE ENTRY POCKET BAGS,BRUSHED TRICOT,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
27,UNDERAM VENTS,A-101 REGULAR MESH,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
28,GOGGLE POCKET,A 101 REGULAR MESH POWER STRETCH MESH,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
29,SLEEVE GAITER,STRETCH LYCRA,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
