MATERIAL_ID,0,1,2,3,4,5,7
0,,L1 PANT,,,,,
6,,INSULATION:,,SHELL WITH REVERSE TRICOT SEAT,,TARGET FOB:,48
12,ALL SHELL IS SAME FABRIC,"N6 NYLON OTTOMAN 2L, 20K/20K  $5.15",WIDEPLUS WNP121-BJ4SR4 3L,100% NYLON OTTOMAN,BLACK,,
15,SHELL,,,,SHELL,,
21,"FLY, HAND POCKET OPENINGS, WP ZIPPER WINDOWN AND ZIPPER GARAGES, BELTLOOPS, BACK POCKET FLAP, HEM WELTS",GLUE FILM,SEALON / ,,YES,,
24,MAIN BODY,SOLID 210T,PLEASE SORCE,100% NYLON,BLACK,,
25,SEAT,REVERSED 120G BRUSHED TRICOT,PLEASE SORCE,100% POLY,BLACK,,
26,LOWER LEG & GAITER,COATED 210T,PLEASE SORCE,100% NYLON,BLACK,,
27,WAISTBAND & FLY,120G BRUSHED TRICOT,PLEASE SORCE,100% POLY,BLACK,,
28,HAND POCKET LINING,120G BRUSHED TRICOT,PLEASE SORCE,100% POLY,BLACK,,
29,"""BALLS OUT"" VENTING",MESH,PLEASE SORCE,100% POLY,BLACK,,
