,Unnamed: 0,Style,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none.1,none.2,amount,0,0.1,0.2,location ,silt,military,ink,port,bone,black,walnut,location,colorway 1,colorway 4,colorway 5,colorway 6,soil,vintage camo broken twill,dusty green,0.3,soil / black,black / oxblood,gunmetal / bombay,dark slate,rust,raven,none.3,none.4,slider ref number,floral print broken twill,black/ rust,bone/ black,gunmetal/ ink,details,colorways,0.4,black overdye denim,brown overdye denim,bone/floral print,rust / black,ink / gunmetal,gunmetal,silt ,bone ,silt / gunmetal,walnut / ink,camo,sand / dark slate,harvest / raven,raw blue denim,pink,ref number,winter 2018/2019,contractor:,soluna
1014,11,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,11nt-045 / self fabric pull,,factory made,,,,,,,,1,none,none,,,,military shell fabric,,port shell fabric,,black shell fabric,walnut shell fabric,lining pocket vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,12,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,branded trims,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,13,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"l1-2018-trim-006 / large brown  faux leather hem wrap
artwork debossed 1mm 3.8 cm x 2 cm",,please source,,,,,,,,1,none,none,,,,brown faux leather,,brown faux leather,,brown faux leather,brown faux leather,left chest pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,14,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"l1-2018-trim-003 / faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",,please source,,,,,,,,1,none,none,,,,brown faux leather,,brown faux leather,,brown faux leather,brown faux leather,left hand pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,15,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",,soluna,,,,,,,,1,none,none,,,,matching,,matching,,matching,matching,left sleeve hem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,16,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",,soluna,,,,,,,,1,none,none,,,,matching,,matching,,matching,matching,back right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,17,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,trims,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,18,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,2 male 1 female,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,sleeve hems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,19,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,2 sets,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,front placket hidden at chin and hem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,20,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,"2 female, 4 male",none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,powder skirt - front closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,21,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,1 male 1 female,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,snap away powder skirt - lining facing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,22,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,3 sets,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,powder skirt - jacket to pant connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,23,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,metal eyelets 8mm ,,luk's / et04,,,,,,,,2 per side = 4 ,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,hood cord exit front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,24,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,metal eyelets 11mm ,,luk's / et89,,,,,,,,1 per side = 2,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper , outer waist adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,25,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,cord lock: small cord lock with tie down,,sun sun/ sv160824-2a,,,,,,,,1 per side = 2,none,none,,,,19-0515 tcx military,,19-1718 tcx port,,19-4006 tcx black,18-0513 tcx walnut,front hood adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,26,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,cord lock,,small cord lock with out tie down,,,,,,,,1 per side = 2,none,none,,,,black,,none,,none,none,lining waist adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,27,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,metal drawcord tip,,see photo,,,,,,,,1 per side = 2,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,hood shockcord tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,28,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,metal drawcord tip,,see photo,,,,,,,,1 per side = 2,none,none,,,,cp016 copper ,,cp016 copper ,,cp016 copper ,cp016 copper ,waist drawcord tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,29,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,keyclip,,as last year production,,,,,,,,1,none,none,,,,black,,black,,black,black,right hand pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,30,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,cord lock,,# 1340089aa-0 (bko1) (button),,,,,,,,1 per side = 2,none,none,,,,19-0515 tcx military,,19-1718 tcx port,,19-4006 tcx black,18-0513 tcx walnut,waist adjust drawcords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,31,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,notions,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,32,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,8mm round drawcord,,also used on l1-111-18 stooge,,,,,,,,1,none,none,,,,19-0515 tcx military,,19-1718 tcx port,,19-4006 tcx black,18-0513 tcx walnut,outer waist adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,33,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"grosgrain 1/4""",,none,,,,,,,,1,none,none,,,,black,,black,,black,black,attach keyclip right hand pocket ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,34,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"grosgrain 1/4""",,none,,,,,,,,1,none,none,,,,black,,black,,black,black,attach hood cord locks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,35,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",,none,,,,,,,,2,none,none,,,,black,,black,,black,black,powder skirt - side tabs jacket to pant connection ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,36,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"shell fabric tab  1"" x 1"" wrap around ",,none,,,,,,,,1,none,none,,,,military shell fabric,,port shell fabric,,black shell fabric,walnut shell fabric,jacket to pant connection center back on tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,37,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"shell fabric tab  1"" x 1"" wrap around ",,none,,,,,,,,1,none,none,,,,military shell fabric,,port shell fabric,,black shell fabric,walnut shell fabric,jacket to pant connection center back under snap on gripper elastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,38,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"shell fabric tab 3/4"" x  1"" ",,none,,,,,,,,1 per side = 2,none,none,,,,military shell fabric,,port shell fabric,,black shell fabric,walnut shell fabric,jacket to pant connection at side tabs under snaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,39,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"elastic 1"" x 4""",,none,,,,,,,,1,none,none,,,,black,,black,,black,black,powder skirt middle tab - jacket to pant connection ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,40,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,elastine binding,,none,,,,,,,,1,none,none,,,,black,,black,,black,black,goggle pocket binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,41,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,elastine,,none,,,,,,,,1,none,none,,,,black,,black,,black,black,lining cable guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,42,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,,"example: cw17-062
chun wo ho (please source)",,,,,,,,1,none,none,,,,"colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ",,"colorway: 7 =19-1718 tcx port/
18-1703 tcx smoke",,"colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal","colorway: 5 = 18-0513 tcx walnut/
19-4006 tcx black ",hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,43,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,gripper elastic 25mm non logo,,mtt0022,,,,,,,,1,none,none,,,,black,,black,,black,black,powder skirt hem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,44,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,velcro,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,45,L1TA-101-18_EMMA_04-05-17_TRIMS.csv," 1/2"" x 1 1/2"" velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,1,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,chin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,46,L1TA-101-18_EMMA_04-05-17_TRIMS.csv," 1/2"" x 2 velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,4,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,center front placket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,47,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"1/2"" x 1 1/2 velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,2 per pocket flap,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,chest pocket flaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,48,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"1/2"" x 1 1/2 velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,2 per pocket flap,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,hand pocket flaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,49,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"3/4"" x 3 3/4"" velcro with rounded corners",,paiho / loop#1057,,,,,,,,1 per side = 2,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,cuff on body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,50,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,"3/4"" x 2 1/2"" velcro with rounded corners",,paiho / hooketn7,,,,,,,,1 per side = 2,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,cuff on tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,51,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,thread,,spi,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,supplier/ ref number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,52,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,seams,,10-12 spi,,,,,,,,none,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,Feb-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,53,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,topstitch,,8-10 spi,,,,,,,,none,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,heavy weight topstitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,54,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,bartacks,,none,,,,,,,,none,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,100/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,55,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,sleeve gaiter cover stitch,,must be stretch thread,,,,,,,,none,none,none,,,,match to shell,,match to shell,,match to shell,match to shell,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,56,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,labels ,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,57,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,15k/15k critically seam sealed,,soluna/ main label,,,,,,,,1,none,none,,,,15k/15k critically seam sealed,,none,,none,none,center back below neck seam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,58,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,size label (sample size s),,soluna/ size label,,,,,,,,1,none,none,,,,"xs, s, m, l",,none,,none,none,center back below main label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,59,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,hang tags,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,60,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,womens jacket hang tag,,soluna/ womens jacket hang tag,,,,,,,,1,none,none,,,,womens jacket hang tag,,none,,none,none,left side hand pocket zipper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,61,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,care and content labels,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,,port,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,62,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,address label,,factory sourced,,,,,,,,1,none,none,,,,address label,,none,,none,none,lining left side seam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,63,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,content label,,factory sourced,,,,,,,,1,none,none,,,,content label,,none,,none,none,lining left side seam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,64,L1TA-101-18_EMMA_04-05-17_TRIMS.csv,washing label,,factory sourced,,,,,,,,1,none,none,,,,washing label,,none,,none,none,lining left side seam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,12,L1TA-101-18_EMMA_04-05-17_SHELL.csv,side entry hand pocket bags,brushed tricot,supplier / ref code,100% polyester,,,,none,none,,,,,,side entry hand pocket bags,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,13,L1TA-101-18_EMMA_04-05-17_SHELL.csv,chin guard,brushed tricot,supplier / ref code,100% polyester,,,,none,none,,,,,,chin guard,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,2,L1TA-101-18_EMMA_04-05-17_SHELL.csv,location ,insulation,supplier/ reference number,content,,,,0,0,,,,,,location ,,military,,port,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,6,L1TA-101-18_EMMA_04-05-17_SHELL.csv,location ,lining,supplier/ reference number,content,,,,0,0,,,,,,location ,,military,,port,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,0,L1TA-101-18_EMMA_04-05-17_SHELL.csv,a,micro herringbone,lucky / ltc3170017-r5-h311 micro hb ,none,,,,none,none,,,,,,a,,miltary,,port,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,1,L1TA-101-18_EMMA_04-05-17_SHELL.csv,b,oxford,"solis / oxford l2-581, 10k/10k, c6+dwr",none,,,,none,none,,,,,,b,,miltary,,port,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,3,L1TA-101-18_EMMA_04-05-17_SHELL.csv,all over,polyfill insulation ,pinneco mantle 40g,100% polyester,,,,none,none,,,,,,all over,,pinneco mantle 40g,,pinneco mantle 40g,,pinneco mantle 40g,pinneco mantle 40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,14,L1TA-101-18_EMMA_04-05-17_SHELL.csv,underarm vents,power stretch mesh ,supplier / ref code,100% polyester,,,,none,none,,,,,,underarm vents,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,15,L1TA-101-18_EMMA_04-05-17_SHELL.csv,goggle pocket,power stretch mesh ,supplier / ref code,100% polyester,,,,none,none,,,,,,goggle pocket,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,8,L1TA-101-18_EMMA_04-05-17_SHELL.csv,main body,printed satin,solis/ pr258 womens print,100% polyester,,,,none,none,,,,,,main body,,solis/ pr258 womens print,,solis/ pr258 womens print,,solis/ pr258 womens print,solis/ pr258 womens print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,7,L1TA-101-18_EMMA_04-05-17_SHELL.csv,hood,printed satin,solis/ pr258 womens print,100% polyester,,,,none,none,,,,,,hood,,solis/ pr258 womens print,,solis/ pr258 womens print,,solis/ pr258 womens print,solis/ pr258 womens print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,4,L1TA-101-18_EMMA_04-05-17_SHELL.csv,location ,seam tape,supplier/ reference number,content,,,,0,0,,,,,,location ,,military,,port,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,5,L1TA-101-18_EMMA_04-05-17_SHELL.csv,critically taped,seam tape,tsgs ,none,,,,none,none,,,,,,critically taped,,critically taped,,critically taped,,critically taped,critically taped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,9,L1TA-101-18_EMMA_04-05-17_SHELL.csv,sleeves,solid 210t ,solis/ sonp006-1 ,100% nylon,,,,none,none,,,,,,sleeves,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,10,L1TA-101-18_EMMA_04-05-17_SHELL.csv,secondary pocket bags,solid 210t ,solis/ sonp006-1 ,100% nylon,,,,none,none,,,,,,secondary pocket bags,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,11,L1TA-101-18_EMMA_04-05-17_SHELL.csv,lower body & powder skirt,solid coated 210t,solis/ sonp006-pu03,100% nylon,,,,none,none,,,,,,lower body & powder skirt,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,16,L1TA-101-18_EMMA_04-05-17_SHELL.csv,sleeve gaiters,stretch lycra,supplier / ref code,content,,,,none,none,,,,,,sleeve gaiters,,black,,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,leg pocket,#3 coil,,,,none,none,,,,1,,,,,,,,,,,,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,,,,,,,,,,,,,non ykk dadr12 fashion drop  // 1-way locking,,,,,,,,,,,,,,,,,,,,,,,,,,
755,0,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,fly ,#5 coil,,,,none,none,,,,1,,,,,,,,,,,,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,,,,,,,,,,,,,ykk dalh // 1-way locking,,,,,,,,,,,,,,,,,,,,,,,,,,
757,2,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,hem,#5 coil,,,,none,none,,,,1 per side = 2,,,,,,,,,,,,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,,,,,,,,,,,,,non ykk dadhr diecast wire // 1-way locking,,,,,,,,,,,,,,,,,,,,,,,,,,
761,6,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,front pocket edges,10mm denim rivet ,,,,none,none,,,,3,,,,,,,,,,,,,matte black,none,none,none,,,,,,,,,,,,,14-l1sp-089,,,,,,,,,,,,,,,,,,,,,,,,,,
760,5,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,"front right hand pocket, back left hand pocket",10mm square rivet,,,,none,none,,,,2,,,,,,,,,,,,,matte black,none,none,none,,,,,,,,,,,,,l1-2016-trim-004,,,,,,,,,,,,,,,,,,,,,,,,,,
769,14,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),,,,we have had ripping problems in the past,none,,,,regular thread,,,,,,,,,,,,,matching,none,none,none,,,,,,,,,,,,,# 604 tseu,,,,,,,,,,,,,,,,,,,,,,,,,,
759,4,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,cf fly,17mm donut post shank,,,,none,none,,,,1,,,,,,,,,,,,,matte black,none,none,none,,,,,,,,,,,,,supplier / l1-2016-trim-005,,,,,,,,,,,,,,,,,,,,,,,,,,
765,10,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,waist drawcord,"3/8"" flat waxed shoe lace with clear plastic tips",,,,none,none,,,,1 + 2 clear plastic tips,,,,,,,,,,,,,black waxed / clear tips,none,none,none,,,,,,,,,,,,,supplier / ref number,,,,,,,,,,,,,,,,,,,,,,,,,,
770,15,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,seams,8-10 spi,,,,none,none,,,,regular thread,,,,,,,,,,,,,matching,none,none,none,,,,,,,,,,,,,# 604 tseu,,,,,,,,,,,,,,,,,,,,,,,,,,
771,16,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,denim weight topstitch,8-10 spi,,,,none,none,,,,heavy weight topstitch thread,,,,,,,,,,,,,matching,none,none,none,,,,,,,,,,,,,#606 tseu,,,,,,,,,,,,,,,,,,,,,,,,,,
777,22,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,lining left side seam,address label,,,,none,none,,,,1,,,,,,,,,,,,,address label,none,none,none,,,,,,,,,,,,,sew as loop,,,,,,,,,,,,,,,,,,,,,,,,,,
779,24,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,lining left side seam,address label,,,,none,none,,,,1,,,,,,,,,,,,,address label,none,none,none,,,,,,,,,,,,,sew as loop,,,,,,,,,,,,,,,,,,,,,,,,,,
780,25,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,front left belt loop to attach hang tags,clear zip tie,,,,none,none,,,,1,,,,,,,,,,,,,clear zip tie,none,none,none,,,,,,,,,,,,,supplier //,,,,,,,,,,,,,,,,,,,,,,,,,,
778,23,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,lining left side seam,content label,,,,none,none,,,,1,,,,,,,,,,,,,content label,none,none,none,,,,,,,,,,,,,sew as loop,,,,,,,,,,,,,,,,,,,,,,,,,,
758,3,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,l1 branded trims,item,,,,colorway 2,colorway 3,,,,amount,,,,,,,,,,,,,colorway 1,colorway 4,colorway 5,colorway 6,,,,,,,,,,,,,slider ref number,,,,,,,,,,,,,,,,,,,,,,,,,,
764,9,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,other trims,item,,,,colorway 2,colorway 3,,,,amount,,,,,,,,,,,,,colorway 1,colorway 4,colorway 5,colorway 6,,,,,,,,,,,,,slider ref number,,,,,,,,,,,,,,,,,,,,,,,,,,
767,12,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,webbing & elastic,item,,,,colorway 2,colorway 3,,,,amount,,,,,,,,,,,,,colorway 1,colorway 4,colorway 5,colorway 6,,,,,,,,,,,,,supplier/ ref number,,,,,,,,,,,,,,,,,,,,,,,,,,
772,17,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,l1 marketing,item,,,,colorway 2,colorway 3,,,,amount,,,,,,,,,,,,,colorway 1,colorway 4,colorway 5,colorway 6,,,,,,,,,,,,,supplier/ ref number,,,,,,,,,,,,,,,,,,,,,,,,,,
766,11,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,leg pocket,key clip,,,,none,none,,,,1,,,,,,,,,,,,,black,none,none,none,,,,,,,,,,,,,j&k // hk-001,,,,,,,,,,,,,,,,,,,,,,,,,,
763,8,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,front left hem,l1 embroidery large,,,,none,none,,,,1,,,,,,,,,,,,,dtm shell,none,none,none,,,,,,,,,,,,,factory sorced // l1-2016-trim-027,,,,,,,,,,,,,,,,,,,,,,,,,,
774,19,L1TA_205_17_HEARTBREAKER_TWILL_PANT_TRIMS.csv,front left belt loop behind l1 pant hang tag,l1 pant fit hang tag ,,,,none,none,,,,1,,,,,,,,,,,,,l1 pant fit hang tag  // skinny fit,none,none,none,,,,,,,,,,,,,supplier // skinny fit,,,,,,,,,,,,,,,,,,,,,,,,,,
