,description,ref,location,content,colorway/4,colorway/5,colorway/6
1,none,lucky / ltc32509-r5-h311 2l  / 20k/20k,a,none,silt,black,walnut
2,none,suppler? can you source same quality as other faux leather trims,front right belt loop,none,black faux leather,black faux leather,black faux leather
3,insulation,supplier/ reference number,location ,content,silt,black,walnut
4,non insulated,none,none,none,none,none,none
5,seam tape,supplier/ reference number,location ,content,silt,black,walnut
6,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped
7,lining,supplier/ reference number,location ,content,silt,black,walnut
8,solid 210t ,solis / sonp006-1,body,100% nylon,black,black,black
9,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,black,black,black
10,reverse brushed tricot,supplier / ref code,seat,100% polyester,black,black,black
11,brushed tricot,supplier / ref code,waistband and fly,100% polyester,black,black,black
12,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black
13,power stretch mesh ,supplier / ref code,vents,100% polyester,black,black,black
14,lower leg lining print (see pdf),supplier/ reference number,location ,content,silt,black,walnut
15,on coated 210t,please source ,lower leg front and back,none,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
