,description,item,ref,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,fly ,#5 metal, gs 5 yf semi-auto lock for jeans press (ykk),1,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none
2,l1 branded trims,item,supplier/ ref number,amount,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
3,cf fly,17mm donut post shank,l1-2016-trim-005,1,matte black,matte black,none,none,none,none
4,front left hand pocket,10mm square rivet ,l1-2016-trim-004,1,matte black,matte black,none,none,none,none
5,pocket edges,10mm denim rivet ,14-l1sp-089,3,matte black,matte black,none,none,none,none
6,back right waist band,deboss patch,l1-2017-trim-104,1,black,black,none,none,none,none
7,left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,dtm shell,none,none,none,none
8,front right coin pocket,l1 embroidery15mm wide ,factory sorced // l1-2017-trim-105,1,dtm shell,dtm shell,none,none,none,none
9,other trims,item,supplier/ ref number,amount,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
10,right hand pocket,key clip,j&k // hk-001,1,black,black,none,none,none,none
11,webbing & elastic,item,supplier/ ref number,amount,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
12,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",none,1,black,black,none,none,none,none
13,thread,spi,supplier/ ref number,amount,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
14,seams,8-10 spi,# 604 tseu,regular thread,matching,matching,none,none,none,none
15,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,tseyu thread 321,tseyu thread 321,none,none,none,none
16,bartacks,none,# 604 tseu,regular thread,matching,matching,none,none,none,none
17,zig zag attach cb label,none,# 604 tseu,regular thread,18-1763 tpx red,18-1763 tpx red,none,none,none,none
18,tacks on back right pocket jocker label,none,# 604 tseu,regular thread,yellow as jocker tag on back pocket,yellow as jocker tag on back pocket,none,none,none,none
19,l1 marketing,item,supplier/ ref number,amount,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
20,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,l1 pant hang tag,none,none,none,none
21,front left belt loop behind main hang tag,denim warning hang tag,supplier // ,1,denim warning hang tag,denim warning hang tag,none,none,none,none
22,front left belt loop behind denim dye warning hang tag,l1 pant fit hang tag ,supplier // regular fit,1,l1 pant fit hang tag  // regular fit,l1 pant fit hang tag  // regular fit,none,none,none,none
23,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,l1 pant size label,none,none,none,none
24,lining back right,l1 main label,skinny fit // 10k/10k // fully taped ,1,skinny fit // 10k/10k // fully taped ,skinny fit // 10k/10k // fully taped ,none,none,none,none
25,lining left side seam,address label,sew as loop,1,address label,address label,none,none,none,none
26,lining left side seam,content label,sew as loop,1,content label,content label,none,none,none,none
27,lining left side seam,address label,sew as loop,1,address label,address label,none,none,none,none
28,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,clear zip tie,none,none,none,none
29,back right pocket,joker tag  // 10k/10k // fully taped ,theonepant-joker-outlined_feb_23_bulk,1,joker tag,joker tag,none,none,none,none
