,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab18wj1_075f,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none
2,none,none,none,none,none,season: winter 2017/18,none,none,none
3,none,none,insulation:,"80gm at sleeves, main body/hood",none,collection: freedom series,none,none,none
4,style name:,none,seams:,critically seam sealed,none,vendor: soluna,none,none,none
5,hot posh parka,none,mm rating:,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none
8,none,updated: 7.18.16,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,black,duffel,rust,butter
10,none,none,none,none,fabrics & linings,none,none,none,none
11,a,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,black,duffel,rust,butter
12,b,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"powder skirt, pocket bag, hood lining",none,black,black,black,black
13,c,other , velvety tricot - soto048-1 (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel",none,day junlge,day junlge,day junlge,day junlge
14,d,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,black,black,black,black
15,e,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, hood drawcord tunnel, wrist gaiters",none,black,black,black,black
16,f,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
17,g,other,gripper elastic,powder skirt,none,black,black,black,black
18,h,other,clear pvc,pass pocket window opening at outside of powder skirt,none,clear,clear,clear,clear
19,j,other,80gm insulation,"sleeves, main body, sleeves",none,n/a,n/a,n/a,none
20,k,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
21,l,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
22,s,none,none,none,none,none,none,none,none
23,none,none,none,none,zippers,none,none,none,none
24,aa,zipper,"ykk no.5 metalux zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",(1)c.f.,1,black,duffel 237,rust 236,butter 510
25,bb,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes down), (2) hand pockets,2,black,duffel 237,rust 236,butter 510
26,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", (2)vents,2,black,duffel 237,rust 236,butter 510
27,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket ,1,black,duffel 237,rust 236,butter 510
28,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents, (1)napoleon pocket",6,black,black,black,bone
30,none,none,none,none,trims,none,none,none,none
31,ff,velcro,hook and loop; l: 2.5cm x h: 1cm,(4)pocket flaps,4,black,olive t1136,rust t0720,gold t0713
32,gg,velcro,hook and loop,pass pocket at powder skirt,1,black,olive t1137,rust t0721,gold t0714
33,hh,hand pulls,round barrel stopper - k-018 , (2) hood,2,black,dark olive,black,dark olive
34,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
35,jj,webbing,flat webbing tape 2cm width,pass pocket pull tab,1,black,black,black,black
36,kk,hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10
37,ll,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(6) storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt",9,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10
38,mm,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)",(2) powder skirt,2,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10
39,nn,hardware,sewing buttons 17mm  ,"(1) storm flap,(2)pocket flaps,(4) cuffs, (2) plastic bag attached to w/c label  ",9,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10
40,oo, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,dark olive,black,dark olive
41,pp,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
42,qq,plastic bag,small plasitc bag,sewn to w/c label,1,clear,clear,clear,clear
43,rr,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for details",1,bone/ dark green,bone/ dark green,bone/ dark green,bone/ dark green
44,ss,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/off white,black/off white,black/off white,black/off white
45,tt,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
46,uu,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/off white,black/off white,black/off white,black/off white
47,vv,branding,abpa_116 airblaster pu label,"left chest, see palcement page for detail",1,mahogany/black,duffel/butter,mahogany/black,duffel/butter
49,none,none,none,none,hangtags/packaging,none,none,none,none
50,ww,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
51,xx,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
52,yy,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
53,zz,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
54,aaa,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
56,special instructions:,none,none,none,none,none,none,none,none
57,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
58,2,stitches per inch:,8-10,none,none,none,none,none,none
59,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none
60,4,bartack:,at stress points,none,none,none,none,none,none
61,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
62,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
63,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
