,label,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,"main body, self fabric back neck patch",none,tbd,tbd,tbd,tbd
11,b,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,eyelet panels at collar,none,tbd,tbd,tbd,tbd
12,c,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,inset at collar,none,tbd,tbd,tbd,tbd
13,d,lining,210 t taffeta emb06 stay wild(supplied by hoba tex),"inside lining, powder skirt",none,tbd,tbd,tbd,tbd
14,e,other , velvety tricot ,"comfort chin guard, inner front pockets at front panel only",none,tbd,tbd,tbd,tbd
15,f,other,nylon/elastic lycra,"powder skirt, wrist gators, binding at internal pocket, hood drawcord tunnel",none,tbd,tbd,tbd,tbd
16,g,interfacing,midweight interfacing (item# tbd),contrast eyelet panels at collar detail,none,white,white,white,white
17,h,interfacing,heavyweight interfacing (item# tbd),at hood brim,none,white,white,white,white
18,i,other ,gripper elastic,powder skirt ,none,black,black,black,black
21,aa,zipper,"ykk no.5 nylon coil zipper, auto-lock slider da8lh1  (zipper closes down)",hand pockets,2,tbd,tbd,tbd,tbd
22,bb,zipper,"ykk no.5 nylon coil zippers, hidden chain, auto-lock slider da8lh at bottom and auto-lock dalh1 at top side, 2-way zipper (bottom to bottom sliders)",w.'s left side seam ,1,tbd,tbd,tbd,tbd
23,cc,zipper,"ykk no.5 nylon coil zippers, 1-way  hidden chain , auto-lock slider da8lh1 (zippers close up)", vent,1,tbd,tbd,tbd,tbd
24,dd,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),"(1) vent, (1) side seam zipper, (2) hand pockets,",4,tbd,tbd,tbd,tbd
26,ee,velcro,hook l: 5cm x h: 3cm,cuff adjustment tab,2,tbd,tbd,tbd,tbd
27,ff,velcro,loop w: 1.6cm x h: 4.5 cm,cuff adjustments at cuff,6,tbd,tbd,tbd,tbd
28,gg,stopper,push stopper k343-2n,"(2) hood opening adjustment, (1) bottom hem",3,tbd,tbd,tbd,tbd
29,hh,stopper,small standard stoppers (k300),(2) at collar drawcord,2,tbd,tbd,tbd,tbd
30,ii,hand pulls,plastic hand pulls zp11 ," (1) bottom hem, (2) hood",3,tbd,tbd,tbd,tbd
31,jj,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
32,kk,webbing,flat webbing tape 8mm width," (1)stopper attachments loops at bottom hem, (2) stoper attachemnt at hood",3,tbd,tbd,tbd,tbd
33,ll,hardware," metal eyelts, 12mm","(6) at hood opening, (12) at collar,(2) inside right bottom hem",20,tbd,tbd,tbd,tbd
34,mm,hardware,"snap buttons absnp_01 (sets), 17 mm"," (2) powder skirt, (1)side seam tab",3,tbd,tbd,tbd,tbd
35,nn,hardware,"snap buttons absnp_01 (male snaps), 17 mm","(2) powder skirt,",2,tbd,tbd,tbd,tbd
36,oo, drawcord,"100% poly round drawcord with heat sealed ends, knot ends. diameter: 0.7cm",collar drawcord,1,tbd,tbd,tbd,tbd
37,pp,elastic drawcord, 2.5 mm elastic cord,"bottom hem adjustment, hood",2,tbd,tbd,tbd,tbd
38,qq,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
39,rr,main label,tbd,"inside c.b. neck, see q/a for placement",1,tbd,tbd,tbd,tbd
40,ss,size label,tbd,sewn in and centered below main label,1,tbd,tbd,tbd,tbd
41,tt,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
42,uu,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd
43,vv,flag  label,ablt_01 flag label (air logo side),left vent 2cm from bottom of vent,1,tbd,tbd,tbd,tbd
44,ww,branding,tbd,tbd,none,tbd,tbd,tbd,tbd
45,xx,branding,tbd,tbd,none,tbd,tbd,tbd,tbd
47,yy,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
48,zz,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
49,aaa,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
50,bbb,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
51,ccc,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
