,item,supplier,ref,description,spec,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,fabric,trims,outer,inner
393,fabric,apex,fn6039xdwr,"20d x 30d 90% nylon, 10% spandex, plain weave, 56g/m2, cire finish, dwr finish",,,,main body - shell a,none,3.95,,pompeian 18-1658 tcx,military olive 19-0622 tcx,navy 19-3920 tcx,asphalt 19-0201 tcx,none,,,,sierradesigns,#228184,1,0,1,0
394,fabric,seabreezs,sbk11236e,"43% cd polyester; 57% polyester, 75d jersey knit, 152g/m2, peached back, wicking finish",,,,main body - shell b - ship shell b side out,none,2.68,,"asphalt 19-0201 tcx
/gray 18-0000 tcx",military olive 19-0622 tcx/ dijon 17-1125 tcx,true blue 19-4057 tcx / gray 18-0000 tcx,"asphalt 19-0201 tcx
/gray 18-0000 tcx",none,,,,sierradesigns,#228184,1,0,1,0
395,fabric,apex,fn6039xdwr,"20d x 30d 90% nylon, 10% spandex, plain weave, 56g/m2, cire finish, dwr finish",,,,pocket on shell b,none,3.95,,asphalt 19-0201 tcx,military olive 19-0622 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,none,,,,sierradesigns,#228184,1,0,1,0
396,fabric,seabreezs,lfc2683bqd,"75% polyester, 25% spandex, knit, one side brush, 225g/m2",,,,"cuff, sweep, and shell b cf waist panel",none,4.95,,asphalt 19-0201 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,none,,,,sierradesigns,#228184,1,0,1,0
397,fabric,local,none,"interfacing, 100% polyester, non-woven, fusible",,,,"collar, plackets, kissing welt, shell a interior pocket facing, and shell b cf lyrcra waist panel",none,none,,,,,,none,,,,sierradesigns,#228184,1,0,1,0
398,trims,ykk,none,"#5 coil zipper, separating, du slider, right slider, left insert, water r finish, metal pin box, pin",,,,center front closure,1,none,,ykk 306,ykk 242,ykk 317,ykk 306,none,,,,sierradesigns,#228184,0,1,1,0
399,trims,ykk,none,"#3 reverse coil zipper, closed end, dablh slider",,,,hand pockets. shell a only,2,none,,ykk 140,ykk 242,ykk 233,ykk 306,none,,,,sierradesigns,#228184,0,1,1,0
400,trims,ykk,none,"#3 reverse coil zipper, closed end, dablh slider",,,,shell a - chest pockets,2,none,,ykk 140,ykk 242,ykk 233,ykk 306,none,,,,sierradesigns,#228184,0,1,1,0
401,trims,chun wo ho,m1200814,"suede logo zipper pull, 9mmx72mm",,,,cf zipper pull,1,0.23,,"suede color 32, print color asphalt 19-0201 tcx","suede color 32, print color asphalt 19-0201 tcx","suede color 32, print color asphalt 19-0201 tcx","suede color 32, print color asphalt 19-0201 tcx",none,,,,sierradesigns,#228184,0,1,1,0
402,trims,clotex,sd-logo-wo-base-l,"large logo patch - woven background, woven logo",,,,wearer's left bicep - both sides of garment.,2,0.13,,asphalt / gray,asphalt / gray,asphalt / gray,asphalt / gray,none,,,,sierradesigns,#228184,0,1,1,0
403,trims,local,none,thread,,,,shell b - bartacks,none,none,,pompeian 18-1658 tcx,dijon 17-1125 tcx,navy 19-3920 tcx,military olive 19-0622 tcx,none,,,,sierradesigns,#228184,0,1,1,0
404,trims,local,none,thread,,,,shell a,none,none,,pompeian 18-1658 tcx,military olive 19-622 tcx,navy 19-3920 tcx,asphalt 19-0201 tcx,none,,,,sierradesigns,#228184,0,1,1,0
405,trims,local,none,thread,,,,shell b,none,none,,gray 18-0000 tcx,dijon 17-1125 tcx,true blue 19-4057 tcx,military olive 19-0622 tcx,none,,,,sierradesigns,#228184,0,1,1,0
406,trims,"kwong tai (hk)
industrial ltd.",kt-ad-004/m02,"3.5mm, 2-color, cording; with metal cord ends",,,,hood adjustment,none,none,,asphalt 19-0201 tcx / gray 18-0000 tcx,asphalt 19-0201 tcx / gray 18-0000 tcx,asphalt 19-0201 tcx / gray 18-0000 tcx,asphalt 19-0201 tcx / gray 18-0000 tcx,none,,,,sierradesigns,#228184,0,1,1,0
407,trims,trims service,rl-sd-u060501,"1mm thick hypalon, 2-hole cord adjuster, 3mm hole size",,,,hood adjustment - shell b side only.,none,none,,black 19-0303 tcx,black 19-0303 tcx,black 19-0303 tcx,black 19-0303 tcx,none,,,,sierradesigns,#228184,0,1,1,0
408,trims,nexgen,ar-sd-ml02,"main, woven label",,,,interior hand pocket. wearer's right on shell b.,1,none,,multi,multi,multi,multi,none,,,,sierradesigns,#228184,0,1,1,0
409,trims,local,none,"satin care/content label: all information must be translated into english, french, and spanish. must include international care symbols.",,,,below main label. interior hand pocket. wearer's right on shell b.,1,none,,grey satin,grey satin,grey satin,grey satin,none,,,,sierradesigns,#228184,0,1,1,0
410,trims,local,none,drawcord warning label.,,,,behind care/content label. sizes xs and s only.,1,none,,white with black lettering,white with black lettering,white with black lettering,white with black lettering,none,,,,sierradesigns,#228184,0,1,1,0
411,packaging,nexgen,ar-f15-mohn,label/hangtag -- contains coo and size.,,,,shell a -interior cb neck,1,0.12,,multi,multi,multi,multi,none,,,,sierradesigns,#228184,0,1,1,0
412,packaging,nexgen,ar-sd206moh-ht,main hangtag,,,,shell b-cf zipper pull,1,0.24,,multi,multi,multi,multi,none,,,,sierradesigns,#228184,0,1,1,0
413,packaging,nexgen,ar-sd206moh-ct,callout hangtag,,,,shell b- tbd,1,0.12,,multi,multi,multi,multi,none,,,,sierradesigns,#228184,0,1,1,0
414,packaging,local,none,polybag,,,,packaging,1,none,,clear,clear,clear,clear,none,,,,sierradesigns,#228184,0,1,1,0
415,packaging,local,none,upc sticker w/gcc info & msrp information,,,,"back of hang tag, polybag",2,none,,multi,multi,multi,multi,none,,,,sierradesigns,#228184,0,1,1,0
416,fabric,apex,fn6039xdwr,"20d x 30d 90% nylon, 10%
spandex, plain weave, 56g/m2, cire finish, dwr finish",,,,main body - shell a - color 1 (used on shell a side of garment.),none,3.95,,"rococco red 18-
1652 tcx",none,blue wing teal 19- 4121 tcx,"prairie sand 16-
1326 tcx",black 19-0303 tcx,,,,sierradesigns,#334183,1,0,1,0
417,fabric,seabreezs,sbk11236e,"43% cd polyester; 57% polyester, 75d jersey knit, 152g/m2, wicking finish",,,,main body - shell b,none,2.68,,"asphalt 19-0201 tcx
/gray 18-0000 tcx",none,cool blue 14-4317 tcx / white,"military olive 19-
0622 tcx/ dijon 17-
1125 tcx","potent purple 19-
2520 tcx",,,,sierradesigns,#334183,1,0,1,0
418,fabric,apex,fn6039xdwr,"20d x 30d 90% nylon, 10%
spandex, plain weave, 56g/m2, cire finish, dwr finish",,,,shell a - color 2. (used on shell b side for pocketing).,none,3.95,,asphalt 19-0201 tcx,none,blue wing teal 19- 4121 tcx,"military olive 19-
0622 tcx",asphalt 19-0201 tcx,,,,sierradesigns,#334183,1,0,1,0
419,fabric,seabreezs,lfc2683bqd,"75% polyester, 25% spandex, knit, one side brush, 225g/m2",,,,"shell c - cuff, sweep, and shell b cf waist panel",none,4.95,,asphalt 19-0201 tcx,none,asphalt 19-0201 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,,,,sierradesigns,#334183,1,0,1,0
420,fabric,local,none,"interfacing, 100% polyester, non- woven, fusible",,,,"collar, plackets, kissing welt, shell a interior pocket facing, and shell b cf lyrcra waist panel",none,none,,,none,,,,,,,sierradesigns,#334183,1,0,1,0
421,trims,ykk,none,"#5 coil zipper, separating, du slider, right insert (left slider), water-r finish, metal pinbox, pin",,,,cf zipper. (shell b is the primary side of the garment.),1,none,,ykk 306,none,ykk 143,ykk 242,ykk 254,,,,sierradesigns,#334183,0,1,1,0
422,trims,ykk,none,"#3 conceal zipper, closed end, dadr2a slider",,,,chest pocket - shell a side only,1,none,,ykk 519,none,ykk 074,ykk 893,ykk 580,,,,sierradesigns,#334183,0,1,1,0
423,trims,ykk,none,"#3 reverse coil zipper, closed end, dablh slider",,,,hand pockets - shell a side only,2,none,,ykk 519,none,ykk 074,ykk 893,ykk 580,,,,sierradesigns,#334183,0,1,1,0
424,trims,chun wo ho,m1200814,"suede logo zipper pull, 9mmx72mm",,,,center front zipper,1,0.23,,"suede color 41, print color asphalt 19-0201 tcx",none,"suede color 41, print color asphalt 19-0201 tcx","suede color 41, print color asphalt 19-0201 tcx","suede color 41, print color
asphalt 19-
0201 tcx",,,,sierradesigns,#334183,0,1,1,0
425,trims,"kwong tai (hk)
industrial ltd.",kt-ad-004/m02,"3.5mm, 2-color, cording; with metal cord ends",,,,hood adjustment,none,none,,"asphalt 19-0201 tcx
/ gray 18-0000 tcx cord ends:",none,"asphalt 19-0201 tcx
/ gray 18-0000 tcx","asphalt 19-0201 tcx
/ gray 18-0000 tcx",asphalt 19-0201 tcx / gray 18- 0000 tcx,,,,sierradesigns,#334183,0,1,1,0
426,trims,trims service,rl-sd-u060501,"1mm thick hypalon, 2-hole cord adjuster, 3mm hole size",,,,hood adjustment - shell b side only.,none,none,,black,none,black,black,black,,,,sierradesigns,#334183,0,1,1,0
427,trims,local,none,thread,,,,shell a,none,none,,"roccoco red 18-
1652 tcx",none,blue wing teal 19- 4121 tcx,"prairie sand 16-
1326 tcx",black 19-0303 tcx,,,,sierradesigns,#334183,0,1,1,0
428,trims,local,none,thread,,,,shell b,none,none,,gray 18-0000 tcx,none,cool blue 14-4317 tcx,"military olive 19-
0622 tcx",purple 19-2520 tcx,,,,sierradesigns,#334183,0,1,1,0
429,trims,local,none,embroidered logo,,,,shell a - wearer's left wrist,none,none,,6268 - gray,none,6268 - gray,6268 - gray,6268 - gray,,,,sierradesigns,#334183,0,1,1,0
430,trims,clotex,sd-logo-wo- base-s,"small logo patch - woven background, woven logo",,,,wearer's left wrist - both sides of garment,2,0.11,,asphalt/gray,none,asphalt/gray,asphalt/gray,asphalt/gray,,,,sierradesigns,#334183,0,1,1,0
431,trims,local,none,thread,,,,shell b - bartacks,none,none,,asphalt 19-0201 tcx,none,blue wing teal 19- 4121 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,,,,sierradesigns,#334183,0,1,1,0
432,trims,nexgen,ar-sd-ml02,"main, woven label, large",,,,interior hand pocket. wearer's right on shell b.,1,none,,gray 18-0000 tcx,none,gray 18-0000 tcx,gray 18-0000 tcx,gray 18-0000 tcx,,,,sierradesigns,#334183,0,1,1,0
433,trims,local,none,"satin care/content label: all information must be translated into english, french, and spanish. must include international care symbols.",,,,below main label. interior hand pocket. wearer's right on shell b.,1,none,,grey satin,none,grey satin,grey satin,grey satin,,,,sierradesigns,#334183,0,1,1,0
434,trims,local,none,drawcord warning label.,,,,behind care/content label. sizes xs and s only.,1,none,,white with black lettering,none,white with black lettering,white with black lettering,white with black lettering,,,,sierradesigns,#334183,0,1,1,0
435,packaging,nexgen,none,label/hangtag -- contains coo and size.,,,,"interior center back neck (shell a)
- english faces outward.",1,0.12,,multi,none,multi,multi,multi,,,,sierradesigns,#334183,0,1,1,0
436,packaging,nexgen,none,main hangtag,,,,shell b side- cf zipper pull,1,0.24,,multi,none,multi,multi,multi,,,,sierradesigns,#334183,0,1,1,0
437,packaging,nexgen,none,callout hangtag,,,,shell b- tbd,1,0.12,,multi,none,multi,multi,multi,,,,sierradesigns,#334183,0,1,1,0
438,packaging,local,none,polybag,,,,packaging,1,none,,clear,none,clear,clear,clear,,,,sierradesigns,#334183,0,1,1,0
439,packaging,local,none,upc sticker w/gcc info & msrp information,,,,"back of hang tag, polybag",2,none,,white with black font,none,white with black font,white with black font,white with black font,,,,sierradesigns,#334183,0,1,1,0
440,body fabric,,,using sotl072-r01 main fabric,,,,body,na,,,pantone 5535c,pantone 2767c,none,,,,,,#776,ra mens puffer vest spec copy,1,0,1,0
441,binding ,,,as per mens puffer vest sample,,,,"cuff, hem",na,,,pantone 5535c,pantone 2767c,none,,,,,,#776,ra mens puffer vest spec copy,1,0,1,0
442,thread,,,as per mens puffer vest sample,,,,all over,na,,,d.t.m pantone 5535c,d.t.m pantone 2767c,none,,,,,,#776,ra mens puffer vest spec copy,0,1,1,0
443,centre front zip ,,,as per mens puffer vest sample,,,,centre front,x1,,,d.t.m pantone 5535c,pantone 2767c,none,,,,,,#776,ra mens puffer vest spec copy,0,1,1,0
444,print 1,,,silver reflective print - as per artsheet,,,,right side panel above hem & cb collar,x2,,,as per art sheet,as per art sheet,none,,,,,,#776,ra mens puffer vest spec copy,0,1,1,0
445,print 2,,,thin plastisol ink- as per art sheet,,,,front left chest as per art sheet,x1,,,as per art sheet,as per art sheet,none,,,,,,#776,ra mens puffer vest spec copy,0,1,1,0
446,print 3,,,thin plastisol ink- as per art sheet,,,,left arm above cuff as per art sheet,x1,,,as per art sheet,as per art sheet,none,,,,,,#776,ra mens puffer vest spec copy,0,1,1,0
447,front pocket bag lining,,,self fabric,,,,front pockets as per sample,x2,,,pantone 5535c,pantone 2767c,none,,,,,,#776,ra mens puffer vest spec copy,1,0,1,0
448,zip on pockets,,,as per mens puffer vest sample- invisible zips ,,,,none,x2,,,d.t.m pantone 5535c,pantone 2767c,none,,,,,,#776,ra mens puffer vest spec copy,0,1,1,0
449,body fabric,,,100% polyester,,,,body,none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens sprayjacket design detail,1,0,1,0
450,panel detail,,,100% polyester,,,,"cuff, hem, back side panels",none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens sprayjacket design detail,1,0,1,0
451,thread,,,100% cotton,,,,all over,none,,,d.t.m pantone 5535c,d.t.m pantone 540c,d.t.m pantone 109c,,,,,,#776,womens sprayjacket design detail,0,1,1,0
452,centre front zip ,,,quality as per womens spray jacket reference sample centre front zip,,,,centre front,x1,,,pantone 540c,pantone 540c,pantone 109c,,,,,,#776,womens sprayjacket design detail,0,1,1,0
453,front pocket zips,,,quality as per womens spray jacket reference sample centre front zip,,,,as per sketch/spec,x2,,,pantone 540c,pantone 540c,pantone 109c,,,,,,#776,womens sprayjacket design detail,0,1,1,0
454,drawcord ,,,quality as per womens reference sample,,,,at waistband,x1,,,solid black,solid black,solid black,,,,,,#776,womens sprayjacket design detail,0,1,1,0
455,print 1,,,silver reflective print - as per artsheet,,,,right arm above cuff as per art sheet & cb hem as per art sheet,x2,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
456,print 2,,,thin plastisol ink- as per art sheet,,,,front left chest as per art sheet,x1,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
457,print 3,,,thin plastisol ink- as per art sheet,,,,left arm above cuff as per art sheet,x1,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
458,print 4,,,thin plastisol ink- as per art sheet,,,,centre back,x3,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
459,front pocket bag,,,100% polyester body fabric,,,,front pockets as per design sketch ,x2,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens sprayjacket design detail,1,0,1,0
460,front hood binding,,,100% polyester body fabric,,,,1.5cm binding around hood edge,x1 piece,,,pantone 5535c,pantone 540c,plastisol printed pantone 109c,,,,,,#776,womens sprayjacket design detail,1,0,1,0
461,body fabric,,,80% cotton 20% polyester fleece 280gms brushed,,,,body,none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,mens trackpant design detail,1,0,1,0
462,rib detail,,,as per sample,,,,hem and waist,none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,mens trackpant design detail,0,1,1,0
463,thread,,,100% cotton,,,,all over,none,,,d.t.m pantone 5535c,d.t.m pantone 540c,d.t.m pantone 5535c,,,,,,#776,mens trackpant design detail,1,0,1,0
464,front pocket edge print,,,thin plastisol ink ,,,,as per art sheet,none,,,pantone 540c,pantone 540c,pantone 109c,,,,,,#776,mens trackpant design detail,0,1,1,0
465,back pocket edge print,,,thin plastisol ink ,,,,as per art sheet,none,,,pantone 5535c,pantone 540c,pantone 109c,,,,,,#776,mens trackpant design detail,0,1,1,0
466,drawcord ,,,as per sample,,,,at waistband,x1,,,d.t.m pantone 5535c,d.t.m pantone 540c,d.t.m pantone 5535c,,,,,,#776,mens trackpant design detail,0,1,1,0
467,print 1,,,silver reflective print - as per artsheet,,,,front top right as per at sheet,none,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,mens trackpant design detail,0,1,1,0
468,print 2,,,as per art sheet,,,,front left led as per artsheet,none,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,mens trackpant design detail,0,1,1,0
469,print 3,,,silver reflective print ,,,,bottom of back right leg as per art sheet,none,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,mens trackpant design detail,0,1,1,0
470,zip,,,ykk quality ,,,,front and back pockets,x3,,,d.tm body,none,d.t.m pantone 109c,,,,,,#776,mens trackpant design detail,0,1,1,0
471,body fabric,,,using sotl072-r01 main fabric,,,,body,na,,,pantone 5535c,pantone 2767c,none,,,,,,#776,womens puffer vest design detail,1,0,1,0
472,binding ,,,as per mens puffer vest sample,,,,"cuff, hem",na,,,pantone 5535c,pantone 2767c,none,,,,,,#776,womens puffer vest design detail,0,1,1,0
473,thread,,,as per mens puffer vest sample,,,,all over,na,,,d.t.m pantone 5535c,d.t.m pantone 2767c,none,,,,,,#776,womens puffer vest design detail,0,1,1,0
474,centre front zip ,,,as per mens puffer vest sample,,,,centre front,x1,,,d.t.m pantone 5535c,pantone 2767c,none,,,,,,#776,womens puffer vest design detail,0,1,1,0
475,print 1,,,silver reflective print - as per artsheet,,,,right side panel above hem & cb collar,x2,,,as per art sheet,as per art sheet,none,,,,,,#776,womens puffer vest design detail,0,1,1,0
476,print 2,,,thin plastisol ink- as per art sheet,,,,front left chest as per art sheet,x1,,,as per art sheet,as per art sheet,none,,,,,,#776,womens puffer vest design detail,0,1,1,0
477,print 3,,,thin plastisol ink- as per art sheet,,,,left arm above cuff as per art sheet,x1,,,as per art sheet,as per art sheet,none,,,,,,#776,womens puffer vest design detail,0,1,1,0
478,front pocket bag lining,,,self fabric,,,,front pockets as per sample,x2,,,pantone 5535c,pantone 2767c,none,,,,,,#776,womens puffer vest design detail,1,0,1,0
479,zip on pockets,,,as per mens puffer vest sample- invisible zips ,,,,front pockets,x2,,,d.t.m pantone 5535c,pantone 2767c,none,,,,,,#776,womens puffer vest design detail,0,1,1,0
480,body fabric,,,100% polyester,,,,body,none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens sprayjacket design detail,1,0,1,0
481,panel detail,,,100% polyester,,,,"cuff, hem, side panels",none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens sprayjacket design detail,1,0,1,0
482,thread,,,100% cotton,,,,all over,none,,,d.t.m pantone 5535c,d.t.m pantone 540c,d.t.m pantone 109c,,,,,,#776,womens sprayjacket design detail,1,0,1,0
483,centre front zip ,,,quality as per reference sample,,,,centre front,x1,,,pantone 540c,pantone 540c,pantone 109c,,,,,,#776,womens sprayjacket design detail,0,1,1,0
484,front pocket zips,,,quality as per reference sample,,,,as per sketch/spec,x2,,,hidden ,hidden,hidden,,,,,,#776,womens sprayjacket design detail,0,1,1,0
485,drawcord ,,,quality as per reference sample,,,,at waistband,x1,,,solid black,solid black,solid black,,,,,,#776,womens sprayjacket design detail,0,1,1,0
486,print 1,,,silver reflective print - as per artsheet,,,,right arm above cuff as per art sheet & cb hem as per art sheet,x2,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
487,print 2,,,thin plastisol ink- as per art sheet,,,,front left chest as per art sheet,x1,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
488,print 3,,,thin plastisol ink- as per art sheet,,,,left arm above cuff as per art sheet,x1,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
489,print 4,,,thin plastisol ink- as per art sheet,,,,centre back,x3,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens sprayjacket design detail,0,1,1,0
490,front pocket bag,,,body fabric,,,,front pockets as per design sketch ,x2,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens sprayjacket design detail,0,1,1,0
491,body fabric,,,80% cotton 20% polyester fleece 280gms ,,,,body,none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens trackpant design detail,1,0,1,0
492,rib detail,,,as per sample,,,,hem and waist,none,,,pantone 5535c,pantone 540c,pantone 5535c,,,,,,#776,womens trackpant design detail,0,1,1,0
493,thread,,,100% cotton,,,,all over,none,,,d.t.m pantone 5535c,d.t.m pantone 540c,d.t.m pantone 5535c,,,,,,#776,womens trackpant design detail,1,0,1,0
494,front pocket edge print,,,thin plastisol ink ,,,,as per art sheet,none,,,pantone 540c,pantone 540c,pantone 109c,,,,,,#776,womens trackpant design detail,0,1,1,0
495,back pocket edge print,,,thin plastisol ink ,,,,as per art sheet,none,,,pantone 5535c,pantone 540c,pantone 109c,,,,,,#776,womens trackpant design detail,0,1,1,0
496,drawcord ,,,as per sample,,,,at waistband,x1,,,d.t.m pantone 5535c,d.t.m pantone 540c,d.t.m pantone 5535c,,,,,,#776,womens trackpant design detail,0,1,1,0
497,print 1,,,silver reflective print - as per artsheet,,,,front top right as per at sheet,none,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens trackpant design detail,0,1,1,0
498,print 2,,,as per art sheet,,,,front left led as per artsheet,none,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens trackpant design detail,0,1,1,0
499,print 3,,,silver reflective print ,,,,bottom of back right leg as per art sheet,none,,,as per art sheet,as per art sheet,as per art sheet,,,,,,#776,womens trackpant design detail,0,1,1,0
500,zip,,,ykk quality ,,,,front and back pockets,x3,,,d.tm body,none,d.t.m pantone 109c,,,,,,#776,womens trackpant design detail,0,1,1,0
501,fabric/ lining,solis,sone 108-3l04-d,3 layer main material,none,,,"all parts except back middle part and hood middle piece, inner storm flap at center front, bonded, sleeve adjustment bonded (a)",none,none,,scarlet red 19-1760 tcx,black,none,none,,,,,head,821126 _sestriere mens jacket,1,0,1,0
502,fabric/ lining,solis,none,3 layer main material ,none,,,middle insert on back part body and hood (b),none,none,,dress blue 19-4024 tcx,aurora 12-0642 tcx,none,none,,,,,head,821126 _sestriere mens jacket,1,0,1,0
503,3 layer backing,wooju textile,benbug 175g,brushed lining,none,,,"inside collar, inner storm-flap top part, inside chest pocket, side pocket bags",none,none,,iron gate 19-3910 tcx,iron gate 19-3910 tcx,none,none,,,,,head,821126 _sestriere mens jacket,1,0,1,0
504,3 layer backing,"g&h international co.,ltd",n/t210t no coating p/d cire,lining for sleeve pocket,none,,,sleeve (ski pass)pocket bag,none,none,,iron gate 19-3910 tcx,iron gate 19-3910 tcx,none,none,,,,,head,821126 _sestriere mens jacket,1,0,1,0
505,3 layer backing,dong hwa ind co.ltd,spandex fulldull twoway (280g),lycra material,none,,,tiecord tunnel at hood,none,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,1,0,1,0
506,velcro,dg dong dae,25m/m,loops,none,,,"velcro cuff adjustment on sleeve, exact shape see detail sketch",2,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
507,velcro,dg dong dae,25m/m,hooks,none,,,"velcro cuff adjustment on sleeve, exact shape see detail sketch",2,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
508,tapes,solis,s30908-blk921f131,seam tape ,none,,,all seams,none,none,,match to solis fabric backing,match to solis fabric backing,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
509,tapes,himel - kido,hot melt film (am-120s),hotmelt/welding film,none,,,"cuff flap, wind flap, hem, hood front, front collar facing, earphone loop patch, inner pkt, side pkt, sleeve pkt",none,none,,none,none,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
510,logo/ branded trims,clotex,"h la 013, head logo lasercut hipster tape","tab logo, version up to sit on top of the seam",none,,,"on right shoulder at back part, on left sleeve on front part above elbow",2,"0,11$",,"version b :                  
silver c-407 - print black","version b :                  
silver c-407 - print black",none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
511,logo/ branded trims,dragon times,h-mp 011 db 0692-0,rivet,none,,,"front right side 2,5cm to side seam and 2,5cm from bottom hem",1,"0,10$",,gloss silver db 0692-0,gloss silver db 0692-0,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
512,label,clotex,h- aw 131,care and content label,none,,,left side seam,1,none,,white,white,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
513,label,avery dennison,h-aw 123,compact ht  wh/or,none,,,inside jacket ,1,none,,anthrazite,anthrazite,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
514,zipper,ykk,t8 shiny,#5 ykk coil reversed t8 shiny,none,,,center front zipper,1,none,,"scarlet red 19-1760 tcx 
ykk 519","black 
ykk 580",none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
515,zipper,ykk,da8blh,slider open right side,none,,,front zipper,1,none,,"scarlet red 19-1760 tcx 
ykk 519","black 
ykk 580",none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
516,zipper,ykk,#3 ,#3 ykk coil reversed ,none,,,"2x lower front pockets, 2 ventilation zips, 1 sleeve ski pass pocket",5,none,,"scarlet red 19-1760 tcx 
ykk 519","black 
ykk 580",none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
517,zipper,ykk,dav3lh,slider,none,,,"2x lower front pockets, 2 ventilation zips, 1 sleeve ski pass pocket",5,none,,c5 silver,c5 silver,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
518,zipper,ykk,#3 cc,#3 ykk coil reversed ,none,,,1x inner pocket,1,none,,"iron gate 19-3910 tcx 
ykk 182","iron gate 19-3910 tcx 
ykk 182",none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
519,zipper,ykk,dav3lh,slider,none,,,1x inner pocket,1,none,,"iron gate 19-3910 tcx 
ykk 182","iron gate 19-3910 tcx 
ykk 182",none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
520,zip puller,dragon times,h-zp007 db 0752-0,head zipper puller with loop,none,,,"1x center front zip, 2x hand pocket zips",3,"0,16$",,gloss silver db 0752-0,gloss silver db 0752-0,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
521,zip puller,dragon times,h-el 025,head zipper puller with  rope ,none,,,"2xventilation zips, 1x ski pass pocket",3,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
522,trims,dg.in dal,elastic nylon string,"draw cord 2,5mm",none,,,hood at back side,none,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
523,trims,dg.in dal,gol tape 10m/m,grosgrain tape,none,,,to attach stopper at lower and upper end,none,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
524,trims,dong gwang sa industry,pl stopper dghs-324,cord stopper a,none,,,hood back side,1,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
525,trims,dong gwang sa industry,pl end stopper dgst-beh080,cord end very tiny drop shape,none,,,hood back side,1,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
526,trims,dragon times,h mp 012 db 0691-0,eyelet 8mm,none,,,hood back side,2,none,,"gloss silver
db-0691-0","gloss silver
db-0691-0",none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
527,trims,dg.in dal,elastic nylon string,"draw cord 2,5mm",none,,,hood front side ,none,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
528,trims,dong gwang sa industry,dg-hs-125,cord stopper a flat version ,none,,,hood front part left and right,2,none,,black,black,none,none,,,,,head,821126 _sestriere mens jacket,0,1,1,0
