,material,interfacing
0,", , lm792, shell fabric at hood, above chest, lower front body, back body, sleeves
facing fabric at windflap, hood shockcord tunnel, self fabric seam binding as needed, shockcord tunnel, , , , ",0
1,", , sotl085-pu01, shell fabric at hood, above chest, lower front body, back body, sleeves
facing fabric at windflap, hood shockcord tunnel, self fabric seam binding as needed, shockcord tunnel, , , , ",0
2,", , lm792, shell fabric at mid chest panels, , , , ",0
3,", , sotl085-pu01, shell fabric at mid chest panels, , , , ",0
4,", , ym11-3527, stretch mesh , , , , back pocket bag",0
5,", , l1025 sw, non woven interlining, , , , windflap",0
6,", , cifol-39 dsbyg (h3), #3 coil, open end, left insert, dsbyg slider , , , , cf zipper",0
7,", , cfc-39 dw2w (e)         , #3 coil, closed end, dw2w slider , , , , back pocket zipper",0
8,", , web-ref-8mm, reflective zipper puller, , , , back pocket (1 inside and 1 outside), back hood (1)",0
9,", , 1/4"" elastic, 1/4"" elastic, , , , hood, cuffs, hem, sides of hood",0
10,", , pca224, cordlock, , , , back of hood (1)",0
11,", , 10mm grosgrain ribbon, grosgrain ribbon           , , , , anchor for pca224 cordlock at back hood, loop inside back pocket",0
12,", , *new* 2mm shockcord , custom braid, , , , hood ",0
13,", , 7mm thread eyelet, thread eyelet, , , , back of hood adjustment shockcord exit and tunnel",0
14,", , rht-004, reflective heat transfer, , , , front left chest",0
15,", , rht-009, reflective heat transfer, , , , right bicep",0
16,", , dw-rc-001, reflective durawelt, , , , cb below neckseam",0
17,", , m_t42_bd, heat transfer main interior label w/size/country, , , , interior cb neck",0
18,", , sco-lb-adrs    , address/rn & ca #s           , , , , under normal care label      ",0
19,", , 8mm grosgrain , grosgrain, , , , locker loop",0
20,", , ccl-094, care content labels, , , , interior left side seam",0
21,", , ccl-001, care content labels, , , , interior left side seam",0
22,", , po label, po label- for bulk only!, , , , interior left side seam",0
23,", , m-ht-app+chain, m's apparel hangtag, , , , cf zipper slider",0
24,", , fit-ht-gen, general fit hang tag, , , , cf zipper slider",0
25,", , fit-ht-ath, athletic fit hangtag       , , , , cf zipper slider",0
26,", , 4560, shell fabric at hood, sleeves, front body, back body, zipper garages, windflap
facing fabric at rolled cuffs, rolled hem, pockets, , , , ",0
27,", , please source, mesh, , , , hand pocket bags, chest pocket bag",0
28,", , cifol-56 da8blh1 (e)           , #5 coil, open end, left insert, da8blh1 slider , , , , cf zipper",0
29,", , cfc-36 dablh (e)         , #3 coil, closed end, dablh slider , , , , chest pocket zipper",0
30,", , cfc-36 dablh (e)         , #3 coil, closed end, dablh slider , , , , hand pocket zippers",0
31,", , zp-561/5    , pop in puller- #5       , , , , cf zipper",0
32,", , zp-562/3    , pop in puller- #3        , , , , hand pkt zippers, chest pocket zipper",0
33,", , pca224, cordlock, , , , hem adjustment",0
34,", , 10mm grosgrain ribbon, webbing, , , , anchor for pca224 cordlock at bottom hem",0
35,", , p481s001, rubber puller , , , , hem adjustment      ",0
36,", , 1034213, custom braid 2.2mm, , , , bottom hem",0
37,", , 5mm eyelet, 5mm logo eyelet, , , ,  hem adjustment exit (4)",0
38,", , 3/4"" foldable lycra, binding, , , , hood binding, cf zipper tape finish, neck seam          ",0
39,", , hdp-003, high density print (matte quality), , , , upper left chest",0
40,", , sb-hdp-804, high density print (matte quality), , , , right bicep",0
41,", , m-size-20, m's main interior label           , , , , cb neckseam      ",0
42,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , locker loop      ",0
43,", , ccl-164, care content labels, , , , left side seam",0
44,", , po label, po label- for bulk only!, , , , left side seam",0
45,", , m-ht-lay, m's layering hangtag         , , , , left side       ",0
46,", , hangtag chain, chain for hangtag, , , , left side       ",0
47,", , fit-ht-gen, general fit insert, , , , insert",0
48,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",0
49,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
50,", , mapp    , mapp hangtag        , , , , left side",0
51,", , sck-757s, shell fabric at front body, back body, front collar, back collar
facing fabric at rolled hem, rolled collar front and back, , , , ",0
52,", , sck-757s, shell fabric at sleeves and collar sides, cuffs
facing fabric at rolled cuffs, rolled collar sides, , , , ",0
53,", , cfc-39 dsbsos02a (h3), #3, closed end, dsbsos02a slider , , , , cf zipper",0
54,", , 3/4"" foldable lycra, binding, , , , cf zipper tape finish, windflap edge",0
55,", , normal flatlock, normal flatlock, , , , armhole seams",0
56,", , normal flatlock, normal flatlock, , , , side seams",0
57,", , dp-634, direct print (matte quality), , , , upper left chest",0
58,", , sb-dp-804, direct print (matte quality), , , , right bicep",0
59,", , m-size-20, m's main interior label           , , , , cb neckseam      ",0
60,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , locker loop      ",0
61,", , ccl-149, care content labels, , , , left side seam",0
62,", , po label, po label- for bulk only!, , , , left side seam",0
63,", , m-ht-lay, m's layering hangtag         , , , , left side       ",0
64,", , hangtag chain, chain for hangtag, , , , left side       ",0
65,", , fit-ht-gen, general fit insert, , , , insert",0
66,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",0
67,", , duro-ht-4s-2, duroxpand hangtag, , , , insert",0
68,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
69,", , fe529-a, shell fabric at hood, sleeves, sleeve pocket, collar
facing fabric at rolled cuffs, back of collar, windflap, , , , ",0
70,", , fe529-a, shell fabric at front body, back body
facing fabric at rolled hem, , , , ",0
71,", , sck-757s, shell fabric at face mask, , , , ",0
72,", , tba-use available #5 coil open end, 1 slider for proto, , , , , cf zipper",0
73,", , tba-use available #3 coil closed end for proto, , , , , hand pocket zippers",0
74,", , tba-use available #3 coil closed end for proto, , , , , left sleeve pocket zipper",0
75,", , 142-01951-000013 , flexible zipper puller, , , , cf zipper (1), hand pocket (2), sleeve pocket (1)          ",0
76,", , pca224, cordlock, , , , hem adjustment",0
77,", , 10mm grosgrain ribbon, webbing, , , , anchor for pca224 cordlock at bottom hem",0
78,", , p481s001, rubber puller , , , , hem adjustment      ",0
79,", , 1034213, custom braid 2.2mm, , , , bottom hem",0
80,", , 5mm eyelet, 5mm logo eyelet, , , ,  hem adjustment exit (4)",0
81,", , 3/4"" foldable lycra, binding, , , , hood binding, top and bottom of face mask, edge of windflap, finish at zipper tape edge, neck seam          ",0
82,", , gramax thread, normal flatlock, , , , armhole seams, hood seams, face mask seam, underarm seams",0
83,", , gramax thread, normal flatlock, , , , side seams",0
84,", , dp-634, direct print (matte quality), , , , upper left chest",0
85,", , sb-dp-804, direct print (matte quality), , , , right bicep",0
86,", , durawelt overlays, 1/4"" durawelt overlays, , , , sleeve pocket ",0
87,", , durawelt overlays, 1/4"" durawelt overlays, , , , around hand pocket zippers",0
88,", , m-size-20, m's main interior label           , , , , cb neckseam      ",0
89,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , locker loop      ",0
90,", , ccl-001, care content labels, , , , left side seam",0
91,", , po label, po label- for bulk only!, , , , left side seam",0
92,", , m-ht-lay, m's layering hangtag         , , , , left side       ",0
93,", , hangtag chain, chain for hangtag, , , , left side       ",0
94,", , fit-ht-gen, general fit insert, , , , insert",0
95,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",0
96,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
97,", , dryo-ht-wr-2, dryozone dwr hangtag, , , , insert",0
98,", , #9068 powerdry, shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar, , , , ",0
99,", , sck-757s, shell fabric at chest pocket, , , , ",0
100,", , l1025 sw, non woven interlining, , , , interior collar",0
101,", , cifol-39 dsbyg (h3), #3 coil, open end, left insert, dsbyg slider , , , , cf zipper",0
102,", , chc-36 dadr2a (e), #3 invisible coil, closed end, dadr2a , , , , chest pocket zipper",0
103,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider , , , , back pocket",0
104,", , 3/4"" foldable lycra    , binding, , , , interior cf zipper tape edge finish",0
105,", , ext-tape-10, reflective tape, , , , mp3 loop at cb neck seam",0
106,", , coverstitch, 4 needle coverstitching, , , , seams at armhole, underarm, side seams, lower body horizontal seam",0
107,", , tba, tba, , , , front left chest",0
108,", , can you test which type works best with the polartec fabric such as print, high density print etc?, tba, , , , right bicep",0
109,", , phtw-15, polartec heat transfer, , , , right side near hem and side seam",0
110,", , m-int-20, main interior label, , , , cb neckseam",0
111,", , 8mm grosgrain locker loop, grosgrain, , , , locker loop",0
112,", , ccl-152, care content labels, , , , interior left side seam",0
113,", , po label, po label- for bulk only!, , , , interior left side seam",0
114,", , m-ht-lay, m's layering hangtag         , , , , left side       ",0
115,", , hangtag chain, chain for hangtag, , , , left side       ",0
116,", , fit-ht-gen, general fit hang tag, , , , cf zipper slider",0
117,", , fit-ht-ath, athletic fit hangtag       , , , , cf zipper slider",0
118,", , ppg-15, polartec powergrid hangtag, , , , cf zipper slider          ",0
119,", , porptec-15, polartec polygeine hangtag, , , , cf zipper slider          ",0
120,", , meln135, shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar,  rolled hem, rolled cuffs,, , , , ",0
121,", , l1025 sw, non woven interlining, , , , collar",0
122,", , cifol-56 da8blh1 (e)           , #5 coil, open end, left insert, da8blh1 slider , , , , cf zipper",0
123,", , cfc-36 dablh (e)         , #3 coil, closed end, dablh slider , , , , chest pocket zipper",0
124,", , zp-561/5    , pop in puller- #5       , , , , cf zipper",0
125,", , zp-562/3    , pop in puller- #3        , , , , chest pkt zipper",0
126,", , pca224, cordlock, , , , hem adjustment",0
127,", , 10mm grosgrain ribbon, webbing, , , , anchor for pca224 cordlock at bottom hem",0
128,", , p481s001, rubber puller , , , , hem adjustment      ",0
129,", , 1034213, custom braid 2.2mm, , , , bottom hem",0
130,", , 5mm eyelet, 5mm logo eyelet, , , , hem drawcord exit      ",0
131,", , 3/4"" foldable lycra, binding, , , , cf zipper tape finish, windflap edge",0
132,", , gramax thread, normal flatlock, , , , seams at armhole, sleeves, side seams, chest pocket seam",0
133,", , sb-dp-804, direct print (matte quality), , , , right bicep",0
134,", , ats, ats (matte quality), , , , left chest pocket window",0
135,", , m-size-20, m's main interior label           , , , , cb neckseam      ",0
136,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , locker loop      ",0
137,", , ccl-001, care content labels, , , , left side seam",0
138,", , po label, po label- for bulk only!, , , , left side seam",0
139,", , m-ht-lay, m's layering hangtag         , , , , left side       ",0
140,", , hangtag chain, chain for hangtag, , , , left side       ",0
141,", , fit-ht-gen, general fit insert, , , , insert",0
142,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",0
143,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
144,", , dryo-ht-wr-2, dryozone dwr hangtag, , , , insert",0
145,", , lm792 2.5l, shell fabric at side hood panels, front collar, sleeves, front and back body, outer cuff,  self fabric binding (where needed) and binding at cf zipper tape edge, windflap, back hood tunnel, , , , ",0
146,", , sotl085-pu01, shell fabric at side hood panels, front collar, sleeves, front and back body, outer cuff,  self fabric binding (where needed) and binding at cf zipper tape edge, windflap, back hood tunnel, , , , ",0
147,", , lm792 2.5l, shell fabric at middle hood panel, side seam panels, , , , ",0
148,", , sotl085-pu01, shell fabric at middle hood panel, side seam panels, , , , ",0
149,", , sck-757s, inner knit cuffs, , , , ",0
150,", , l1025 sw, non woven interlining, , , , windflap",1
151,", , ym11-3527, 1 layer stretch mesh, , , , pocket bag",0
152,", , cifor-39 dsbyg (h3), #3 coil, open end, right insert, dsbyg slider , , , , cf zipper",0
153,", , chc-36 dadr2a e  , #3 invisible coil, closed end, dadr2a slider, , , , right side seam small pocket zipper",0
154,", , tba, reflective webbing, , , ,  back hood pull",0
155,", , 1/4"" elastic, 1/4"" elastic, , , , sides of hood",0
156,", , 1"" elastic, 1"" elastic, , , , back cuff, front hem",0
157,", , pca224, cordlock, , , , back of hood (1)",0
158,", , 10mm grosgrain ribbon, grosgrain ribbon           , , , , anchor for pca224 cordlock at back hood",0
