,0,1,2,3,4,5,6
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
11,a,wax fabric pa07001-2lc 15k/15k 4.68,none,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
15,"60g ""cs"" polyfill all over",none,polyfill,none,"60g ""cs"" polyfill all over",none,none
17,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
18,fully taped,width...seam tape,sealon,none,fully taped,none,none
20,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
21,"hood,  sleeves, waist and top entry pocket bag",solid 210d,solis / ref number,none,none,none,none
22,front and back panels,printed 210t,solis / ref number,none,none,none,none
23,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
24,chin,brushed tricot,solis / ref number,none,none,none,none
25,goggle pocket & underam vents,regular mesh,solis / ref number,none,none,none,none
26,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
