,0,1,2,3,4,5,6,7
8,zippers,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
9, #5 vislon zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,slider/pull color: h6 antique silver/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black
10, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,slider/pull/ teeth color: h6 antique silver/ zipper tape color: 19-1540 tcx rust,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4010 tcx ink,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black
12, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black
13, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: h6 antique silver/ zipper tape / teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black
15,additional zipper pulls,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
16,"l1-2018-trim-017
l1 zipper pull",ykk,center front,top and bottom pull= 2,ykk h6 antique silver,ykk x antique copper,ykk x antique copper,ykk x antique copper
17,l1-2018-trim-018 / non branded zipper pull faux leather ,please source: same supplier as other faux leather trims,chest pocket (1) hand pockets (2),3,brown faux leather,brown faux leather,brown faux leather,brown faux leather
18, 11nt-045 / self fabric pull ,factory made,underarm vents ,1 per side = 2,match to shell,match to shell,match to shell,match to shell
