,0,1,2,3,4,5
10,shell fabric,item,supplier/ ref number,content,dark slate,raven
11,body,"cotton touch nylon 5k 5k coating + c6 w/r, $3.95 5k/5k",solis/ sonp020-cc01-m,100% nylon,dark slate,raven
12,cuff ribbing,1 x 1 polyester  ribbing ,none,none,slate/ dark slate 19-4220 tpx,raven 19-0000 tpx use 19-4006 tpx black
14,insulation,item,supplier/ ref number,content,dark slate,raven
15,"40g ""cs"" polyfill all over",none,none,none,"40g ""cs"" polyfill all over","40g ""cs"" polyfill all over"
17,seam tape,item,supplier/ ref number,content,dark slate,raven
18,critically taped,none,tsgs,none,critically taped,critically taped
20,lining,item,supplier/ ref number,content,dark slate,raven
21,body,solid quilted satin,solis / ref number,none,pearl,pearl
22,"sleeves, hand pocket lining",solid satin,solis / ref number,none,pearl,pearl
