,0,1,2,3,4,5,6,7
20,"l1-2018-trim-028/ 
l1 wmns - freedom patch
brown faux leather",please source,left shoulder,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
21,"l1-2018-trim-003 /
faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",please source,front right hem,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
22,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",soluna/ l1-2016-026,left sleeve hem,1,match to shell,match to shell,match to shell,match to shell
23,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",soluna/ l1-2016-027,back right,1,match to shell,match to shell,match to shell,match to shell
25,trims,supplier/ reference number,location,amount,military,bone,ink,black
26,15mm metal snap ,luk's / 404,powder skirt - front closure,"2 female, 4 male",cp016 copper,cp016 copper,cp016 copper,cp016 copper
27,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,cp016 copper,cp016 copper,cp016 copper,cp016 copper
28,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,cp016 copper,cp016 copper,cp016 copper,cp016 copper
29,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,cp016 copper,cp016 copper,cp016 copper,cp016 copper
30,metal eyelets 8mm ,luk's / et04,hem cord exit,2 per side = 4 ,cp016 copper,cp016 copper,cp016 copper,cp016 copper
31,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
32,cord lock,sv160819-4a,hem adjust exposed at lining,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
33,bead,sv160725-1a,hem adjust,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
34,bead,sv160725-1a,front hood adjust,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
35,keyclip,as production ,right hand pocket,1 per side = 2,black,black,black,black
37,notions,supplier/ reference number,location,amount,military,bone,ink,black
38,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black
39,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,black
40,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black
41,"grosgrain: 3/4"" wide  (fold in 1/2, 1/2"" finished tab length)",none,lining pocket,1,black,black,black,black
42,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
43,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
44,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
45,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
46,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
47,elastic ,none,back of sleeve cuffs,1 per side = 2,available,available,available,available
48,"elastic 1/4"" ",none,lining cable guide,1,black,black,black,black
49,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
50,elastine binding,none,goggle pocket binding,1,black,black,black,black
51,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw17-062
chun wo ho (please source)",hood & hem,1,"colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 3
12-0105 tcx bone/
16-5807 tcx silt","colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal"
53,velcro,supplier/ reference number,location,amount,military,bone,ink,black
54," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,match to shell
55,"1/2"" x 2 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,match to shell
56," 1/2"" x 5 1/2"" (1/2"" shorter that pocket length) velcro with rounded corners",paiho / loop#1057 / hooketn7,lining pocket,1,match to shell,match to shell,match to shell,match to shell
57,"3/4"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
58,"3/4"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
60,thread,spi,supplier/ ref number,amount,military,bone,ink,black
61,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
62,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell
63,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
65,labels ,supplier/ reference number,location,amount,military,bone,ink,black
66,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none
67,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none
69,hang tags,supplier/ reference number,location,amount,military,bone,ink,black
70,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none
73,care and content labels,supplier/ reference number,location,amount,military,bone,ink,black
74,address label,factory sourced,lining left side seam,1,address label,none,none,none
75,content label,factory sourced,lining left side seam,1,content label,none,none,none
76,washing label,factory sourced,lining left side seam,1,washing label,none,none,none
