,0,1,2,3,4,5
8,zippers,item,supplier/ ref number,amount,black,military
9,center front,#5 metal, za snap-on type (ykk),1-way (locking),psudo anti silver slider and teeth / black tape,psudo anti silver slider and teeth / black tape
10,left arm pocket,#5 metal,dadhr diecast wire (non ykk),1-way (locking),psudo anti silver slider and teeth / black tape,psudo anti silver slider and teeth / black tape
12,zipper pulls,item,supplier/ ref number,amount,black,military
13,cf,l1-2016-trim-009,top pull only,1,psudo anti silver,psudo anti silver
15,l1 branded trims,item,supplier/ ref number,amount,black,military
16,front left sleeve hem,l1 embroidery small,soluna / l1-2016-026,1,dtm,dtm
17,back right ,l1 embroidery large,soluna / l1-2016-027,1,dtm,dtm
18,hand pocket flaps,l1 metal snap,luks / l1-2016-trim-001,2,psudo anti silver,psudo anti silver
20,hem,item,supplier/ ref number,amount,black,military
21,hem drawcord,round drwacord with clear plastic tip,none,1,black,military
22,hem grommets,metal grommet,none,1 per side = 2,enamel dull black,enamel dull black
24,velcro,item,supplier/ ref number,amount,black,military
25,inner pocket closure,"1/2"" x 6""",none,1,black,military
27,thread,spi,ref number,amount,black,military
28,seams,none,none,none,matching,matching
29,topstitch,none,none,none,matching,matching
30,bartacks,none,none,none,matching,matching
32,marketing,description,ref number,amount,black,military
33,lining cb locker loop,l1 hang tag,l1 hang tag,1,l1 hang tag,none
34,lining cb facing,wp/ breathability // rn ca / made in china,5k/5k // critically taped ,1,5k/5k // critically taped ,none
35,lining left side seam,address label,sew as loop,1,address label,none
36,lining left side seam,content label,sew as loop,1,content label,none
37,lining left side seam,washing label,sew as loop,1,washing label,none
38,lining locket loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none
