,description,item,ref,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,all shell is same fabric,"n6 nylon ottoman 2l, 20k/20k  $5.15",wideplus wnp121-bj4sr4 3l,100% nylon ottoman,black,none,none,none,none,none
2,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
3,shell,none,none,none,shell,none,none,none,none,none
4,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
5,fully taped,width...seam tape,sealon,none,fully taped,none,none,none,none,none
6,bonding film,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
7,"fly, hand pocket openings, wp zipper windown and zipper garages, beltloops, back pocket flap, hem welts",glue film,sealon / ,none,yes,none,none,none,none,none
8,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
9,main body,solid 210t,please sorce,100% nylon,black,none,none,none,none,none
10,seat,reversed 120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
11,lower leg & gaiter,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
12,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
13,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
14,"""balls out"" venting",mesh,please sorce,100% poly,black,none,none,none,none,none
