,,MATERIAL_ID,CATEGORY,,,position,,color_way
0,0.0,9.0,zipper,#5 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK / DALH/DAG 2-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
1,1.0,10.0,zipper,#5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,CHEST POCKET HORIZONTAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
2,2.0,11.0,zipper,#5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
3,3.0,14.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR
4,4.0,15.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET,1,COLOR
5,5.0,16.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR
6,6.0,19.0,other,"Nitro trim number: N18-TRIM-009
Nitro Speech Bubble 
Heat Transfer 3cm x 3cm",SEALON,"LEFT SLEEVE HEM, 3"" UP FROM CUFF, CENTERED OVER SLEEVE FOLD",1,COLOR
7,7.0,20.0,other,"Nitro trim number: N18-TRIM-010
NITRO TEXT
REFLECTIVE HEAT TRANSFER",SEALON,"BACK RIGHT: 4 1/2Ã¢ÂÂ to the right 
of CB, inline with 
underarm.",1,COLOR
8,8.0,25.0,other,8MM METAL EYELET,LUK'S / ET04,HOOD ADJUST,2 PER SIDE = 4,COLOR
9,9.0,26.0,other,CORD LOCK,,HOOD ADJUST,1 PER SIDE = 2,COLOR
10,10.0,27.0,other,BEAD,,HOOD ADJUST,1 PER SIDE = 2,COLOR
11,11.0,28.0,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST (RIGHT SIDE),2,COLOR
12,12.0,29.0,other,CORD LOCK,,HEM ADJUST (RIGHT SIDE),1,COLOR
13,13.0,30.0,other,BEAD,,HEM ADJUST (RIGHT SIDE),1,COLOR
14,14.0,31.0,other,KEYCLIP,,RIGHT HAND POCKET,1,COLOR
15,15.0,34.0,other,"GROSGRAIN 1/4""",,HOOD ADJUST,1 PER SIDE = 2,COLOR
16,16.0,35.0,other,SHOCKCORD,,HOOD ADJUST,1,COLOR
17,17.0,36.0,other,"GROSGRAIN 3/8""",,HEM ADJUST (RIGHT SIDE),1,COLOR
18,18.0,37.0,other,SHOCKCORD,,HEM ADJUST (RIGHT SIDE),1,COLOR
19,19.0,38.0,other,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET,1,COLOR
20,20.0,41.0,interfacing,BONDING FILM,,HOOD BRIM,1,
21,21.0,42.0,interfacing,BONDING FILM,,CUFF TABS,2,
22,22.0,45.0,other,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL
23,23.0,46.0,other,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL
24,24.0,50.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL
25,25.0,51.0,other,BARTACKS,,100/2,,MATCH TO SHELL
26,26.0,54.0,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,
27,27.0,58.0,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,
28,28.0,63.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
29,29.0,64.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
30,30.0,65.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
