,,MATERIAL_ID,CATEGORY,,,position,position,,,,,color_way,color_way,color_way,color_way
0,0.0,10.0,fabric,SHELL FABRICS,,,,,,,,,,,
1,1.0,11.0,fabric,SCK-464 ICE CAFÃÂ Ã¢ÂÂ¦.,SINGTEX,"shell fabric at waistband and interior waistband, back pocket bag",,1.0,,TBA    ,,orange,ebony,neon lime,ocean
2,2.0,12.0,other,SW-8337 S CAFÃÂ,SINGTEX,shell fabric and front and back legs,,2.0,,TBA    ,,navy,black,ocean,ebony
3,3.0,13.0,other,SW-8337 S CAFÃÂ,SINGTEX,self fabric binding on hem and side seams,,3.0,,TBA    ,,navy,black,ocean,ocean
4,4.0,16.0,fabric,contrast stitching,COATS,3 rows of single needle,below waistband,,,,,orange,neon lime,neon lime,ocean
5,5.0,18.0,zipper,ZIPPERS,,,,,,,,,,,
6,6.0,19.0,zipper,CFC-39 DSBYG (H3),YKK,"#3 coil, closed end, DSBYG slider",back pocket zipper,,1.0,,0.0,navy,neon lime,ocean,neon lime
7,7.0,22.0,label,PLEASE SOURCE,TBA,lace,interior waistband,,,,,navy,ocean,ocean,neon lime
8,8.0,25.0,label,HT-04,TBA,heat transfer,front left waistband       ,,1.0,TBA    ,,18-1561,black,deep lime,deep ocean
9,9.0,26.0,other,HT-14,TBA,REFLECTIVE heat transfer,back WAISTBAND CENTER,,1.0,TBA    ,,Reflective grey,Reflective grey,Reflective grey,Reflective grey
10,10.0,29.0,label,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb waistband   ,,1.0,TBA    ,,x,x,x,x
11,11.0,30.0,label,TBA    ,PLEASE SOURCE,perforated care content label ,left waistband seam  ,,1.0,TBA    ,,white,white,white,white
