,,MATERIAL_ID,CATEGORY,,,,position,,,,,,,
0,0.0,3.0,insulation,,,Insulation:,60gm insulation at main body hood sleeves,,Collection: Glacier Series,,,,,
1,1.0,9.0,interfacing,,MATERIAL/TRIM,DESCRIPTION,LOCATION,QTY,TBD,TBD,TBD,TBD,TBD,TBD
2,2.0,10.0,fabric,,,,,FABRICS & LININGS,,,,,,
3,3.0,11.0,fabric,A,Shell Fabric,SOND035-2L1-H 100%Nylon 10k/8k DWR+BREATHABLE COATING (supplied by Li Peng),"Main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",,TBD,TBD,TBD,,,
4,4.0,12.0,fabric,B,Shell Fabric,SOTP069-C1-H 100% Polyester 15K/10K DWR+BREATHABLE COATING (supplied by SOLIS),"Main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",,,,,TBD,TBD,TBD
5,5.0,13.0,interfacing,C,Lining,210 T Taffeta (Supplied by Li Peng),"Powder skirt, pocket bag",,TBD,TBD,TBD,TBD,TBD,TBD
6,6.0,14.0,interfacing,D,Other , Velvety Tricot - item# BB47-6B,"Inside lining, comfort chin guard, inner front pocket bag panel",,TBD,TBD,TBD,TBD,TBD,TBD
7,7.0,15.0,interfacing,E,Other,100% poly MESH - item# CB-46-2B,"vents, large internal goggle pocket",,TBD,TBD,TBD,TBD,TBD,TBD
8,8.0,16.0,interfacing,F,Other,nylon/elastic lycra - item# DC-9A,"powder skirt, hood drawcord tunnel",,TBD,TBD,TBD,TBD,TBD,TBD
9,9.0,17.0,other,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK
10,10.0,18.0,other,H,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK
11,11.0,19.0,interfacing,I,Other,Clear PVC,Pass pocket window opening at outside of powder skirt,,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR
12,12.0,20.0,insulation,J,Other,"1x1 rib knit,good quality Arcylic/Spandex",Cuffs,,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK
