,position,ref num,location ,content,black,gunmetal,silt,walnut,none,none
9,micro ripstop,solis/ sotl120-pu01 micro rip 2l dot lam ,a,100% polyester,black,gunmetal,silt,walnut,none,none
10,faux leather,suppler? can you source same quality as other faux leather trims,front left belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather,none,none
11,insulation,supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
12,polyfill,60g pinneco core or synthetic down,"body, back yoke",100% polyester,60g pinneco core or synthetic down,60g pinneco core or synthetic down,60g pinneco core or synthetic down,60g pinneco core or synthetic down,none,none
13,polyfill,20g pinneco mantle,"waistband, back pocket welts",100% polyester,20g pinneco core or synthetic down,20g pinneco core or synthetic down,20g pinneco core or synthetic down,20g pinneco core or synthetic down,none,none
14,seam tape,supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
15,seam tape,tsgs,critically taped,none,critically taped,critically taped,critically taped,critically taped,none,none
16,lining,supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
17,solid 210t ,solis / sonp006-1,body,100% nylon,black,black,black,black,none,none
18,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,black,black,black,black,none,none
19,reverse brushed tricot,supplier / ref code,seat,100% polyester,black,black,black,black,none,none
20,brushed tricot,supplier / ref code,waistband and fly,100% polyester,black,black,black,black,none,none
21,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black,black,none,none
22,regular mesh,1606b02 (als-16038),vents,100% polyester,black,black,black,black,none,none
23,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
24,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,none,none
