,position,ref num,location,amount,black,military,rust,bone,walnut,0
8, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none
9, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back right pocket,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none
10, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none
11,additional zipper pulls,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
12, 11nt-045 / self fabric pull ,factory made,back right pocket,1,match to shell,match to shell,match to shell,match to shell,match to shell,none
13,branded trims,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
14,"l1-2018-trim-021
l1 donut post shank
black alloy
al023",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
15,"l1-2018-trim-019
l1 10mm denim rivet
black alloy
al023",luks,right hand pocket (2) right hand coin pocket (1) left hand pocket top (1) back left pocket (2),6,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
16,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al023",luks,left hand pocket bottom edge,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
17,"l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black",please source,back right waist band,1,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather,none
18,"l1-2018-trim-026
l1 faux leather patch 
black",please source,back left knee,1,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather,none
19,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,match to shell,none
20,trims,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
21,15mm metal snap,luk's / 404,finger snap hem adjust,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
22,boot hook,suppler,front gaiter,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none
23,keyclip,as last year production,right leg pocket,1,black,black,black,black,black,none
24,notions,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
25,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
26,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
27,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black,none
28,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,black,none
29,velcro,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
30,thread,spi,supplier/ ref number,amount,black,military,rust,bone,walnut,0
31,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),30/2,regular thread,matching,matching,matching,matching,matching,none
32,seams,10-12 spi,30/2,regular thread,matching,matching,matching,matching,matching,none
33,topstitch,8-10 spi,30/2,regular thread,matching,matching,matching,matching,matching,none
34,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching,none
35,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching,none
36,labels ,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
37,10k/10k critically taped,soluna/ main label,inner front right,1,10k/10k critically taped,none,none,none,none,none
38,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none,none
39,hang tags,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
40,mens jacket hang tag,soluna/ mens jacket hang tag,front left belt loop,1,front left belt loop,none,none,none,none,none
41,pant regular straight leg hang tag,soluna/ pant fit hang tag,front left belt loop,1,pant regular straight leg hang tag,none,none,none,none,none
42,care and content labels,supplier/ reference number,location,amount,black,military,rust,bone,walnut,0
