,position,ref num,location,amount,black,ink,bone,soil,vintage camo broken twill,0
8, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
9, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hand pockets,1 per side = 2,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
10, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back right pocket,1,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
11, #5 coil zipper,non ykk / 2-way non locking / dadhr diecast wire (zip down to close),balls out venting,1,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
12, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,none
13,additional zipper pulls,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
14, 11nt-045 / self fabric pull ,factory made,hand pocket zippers,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
15, 11nt-045 / self fabric pull ,factory made,back right pocket,1,match to shell,match to shell,match to shell,match to shell,match to shell,none
16, 11nt-045 / self fabric pull ,factory made,balls out venting,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
17, 11nt-045 / self fabric pull ,factory made,hem gusset ,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
18,branded trims,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
19,"l1-2018-trim-021
l1 donut post shank",luks,"front strap closure (2), side entry closure (2 per side 4)",6,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
20,"l1-2018-trim-008
new standard snap ",luks,"chest pocket (2), leg pocket (1)",3,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
21,"l1-2018-trim-019 / 
l1 10mm denim rivet",luks,"hand pocket edges (4), back left pocket edges (2)",6,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
22,"l1-2018-trim-027
l1 faux leather patch",please source,chest pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
23,"l1-2018-trim-006
large brown leather hem wrap / artwork debossed 1mm",please source,back left pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
24,"l1-2018-trim-023 / 
l1 faux leather denim patch",please source,back right waist band,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
