,position,item,ref num,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
8,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
9,back pockets,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
10,hem,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
11,l1 branded trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
12,waist closure,17mm donut post shank,supplier /l1-2016-trim-005,1,matte black,none,none,none,none,none
13,left hand pcoket bottom edge,"10mm 
square rivet ",l1-2016-trim-004,1,matte black,none,none,none,none,none
14,back right above pocket,l1 faux suede bar patch,l1-2016-trim-000,1,black,none,none,none,none,none
15,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,none,none,none,none,none
16,snaps,#5 coil ,#ref!,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,0
18,other trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
19,waist drawcord,"3/8"" flat waxed shoe lace with clear plastic tips",supplier / ref number,1 + 2 clear plastic tips,black waxed / clear tips,none,none,none,none,none
20,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
21,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,black,none,none,none,none,none
22,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
27,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
28,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),# 604 tseu,regular thread,matching,we have had ripping problems in the past,none,none,none,none
29,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,none,none,none,none,none
31,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
32,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,none,none,none,none,none
33,front left belt loop behind main hang tag,l1 pant fit hang tag ,supplier // straight leg,1,l1 pant fit hang tag  //  straight leg,none,none,none,none,none
34,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,none,none,none,none,none
35,lining front right,l1 main label,straight leg fit // 10k/10k // critically taped ,1,straight leg fit // 10k/10k // critically taped ,none,none,none,none,none
36,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
37,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
38,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
39,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
