,description,ref,location,content,colorway/4
1,broken twill,"solis/  wl248 broken twill, 10k/10k, c6 +dwr",a,none,vintage camo broken twill
2,brown faux leather,please source,back right belt loop,none,brown faux leather
3,insulation,supplier/ reference number,location ,content,vintage camo broken twill
4,polyfill,pinneco mantle,seat,100% polyester,40g
5,polyfill,pinneco mantle,knees (front),100% polyester,40g
6,seam tape,supplier/ reference number,location ,content,vintage camo broken twill
7,seam tape,tsgs ,fully seam sealed,none,fully seam sealed
8,lining,supplier/ reference number,location ,content,vintage camo broken twill
9,solid 210t ,solis/ sonp006-1 ,legs,100% nylon,black
10,solid 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black
11,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black
12,brushed tricot,brushed tricot,hand pocket bags,100% polyester,black
13,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black
14,lower leg lining print (see pdf),supplier/ reference number,location ,content,vintage camo broken twill
15,on coated 210t,please source ,lower leg front and back,none,pantone 16-5807 tcx silt 
