,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
1,ottoman,solis/ sotp080-2l32-i ottoman / 10k/10k dot lam / c6 + dwr,a,none,black,black,black,black,black
2,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather
3,insulation,supplier/ reference number,location ,content,black,military,rust,bone,walnut
4,non insulated,none,none,none,none,none,none,none,none
5,seam tape,supplier/ reference number,location ,content,black,military,rust,bone,walnut
6,seam tape,tsgs ,critically seam sealed,none,critically seam sealed,critically seam sealed,critically seam sealed,critically seam sealed,critically seam sealed
7,lining,supplier/ reference number,location ,content,black,military,rust,bone,walnut
8,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black,black
9,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black
10,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black
11,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black
12,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,military,rust,bone,walnut
13,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
