,description,item,ref,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: matte black/ tape color: black,none,none,none,none,none
2,hand pockets,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: matte black/ tape color: black,none,none,none,none,none
3,right leg pocket,#5 matte water resistant,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: dtm shell / tape color: dtm shell,none,none,none,none,none
4,right back pocket ,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: matte black/ tape color: black,none,none,none,none,none
5,left back pocket,#5 matte water resistant,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: dtm shell / tape color: dtm shell,none,none,none,none,none
6,"""balls out"" venting",#5 coil ,"non ykk dadhr diecast wire // 2 sliders on closed ends tape, zip down each side to close (locking)",1,silder/pull color: matte black/ tape color: black,none,none,none,none,none
7,hem,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: matte black/ tape color: black,none,none,none,none,none
8,zipper pulls,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
9,hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
10,"""balls out"" venting", self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
11,back right pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,none,none,none,none,none
12,l1 branded trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
13,waist closure ,l1 17mm metal snap ,supplier / l1-2016-trim-001,2,psudo anti silver,none,none,none,none,none
14,back right pocket flap,l1 17mm metal snap ,supplier / l1-2016-trim-001,1,psudo anti silver,none,none,none,none,none
15,back right pocket bag,l1 suede bar patch,l1-2017-trim-000,1,black,none,none,none,none,none
16,front left hem,l1 embroidery large,factory sourced // l1-2016-trim-027 ,1,dtm shell,none,none,none,none,none
17,snaps,#5 coil ,supplier/ ref number,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,0
18,"""finger snap hem adjust"" back leg hem",24l metal snap,none,1 per side = 2,psudo anti silver,none,none,none,none,none
19,"""jacket to pant connection"" back 3 belt loops",24l metal snap,none,3,psudo anti silver,none,none,none,none,none
20,other trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
21,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
22,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,psudo anti silver,none,none,none,none,none
23,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
24,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",none,1,black,none,none,none,none,none
25,boot hook reinforcement,"1"" tab",none,1 per side = 2,black,none,none,none,none,none
26,"""finger snap hem adjust"" reniforcement","1"" tab",none,1 per side = 2,black,none,none,none,none,none
27,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
28,seams,none,tseu,regular thread,matching,none,none,none,none,none
29,topstitch,none,tseu,topstitch thread,matching,none,none,none,none,none
30,bartacks,none,tseu,regular thread,matching,none,none,none,none,none
31,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
32,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,none,none,none,none,none
33,front left belt loop behind main hang tag,l1 pant fit hang tag ,supplier // regular fit,1,l1 pant fit hang tag  // regular fit,none,none,none,none,none
34,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,none,none,none,none,none
35,lining front right,l1 main label,regular fit // 20k/20k // fully taped ,1,regular fit // 20k/20k // fully taped ,none,none,none,none,none
36,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
37,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
38,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
39,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
