MATERIAL_ID,0,1,2,3,4,5
6,INSULATION:,,NON INSULATED,,,TARGET FOB:
14,NON INSULATED,,,,,
20,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
21,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
22,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
23,SOLID 210T ,SUPPLIER / REF CODE,CHEST POCKET BAG,100% NYLON,COLOR,
24,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
25,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
26,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
27,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
