MATERIAL_ID,0,1,2,3,4,5,7
6,INSULATION:,,100G PINNECO CORE ,,,TARGET FOB:,0
9,#5 VISLON ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
10, #5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
11, #5 COIL ZIPPER,NON YKK / DFW SHORT 2-WAY BOTTOM LOCKING,SIDE ENTRY (RIGHT),1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
12, #5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
15,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR,,
16,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET VERTICAL,1,COLOR,,
17,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SIDE ENTRY (RIGHT),2,COLOR,,
18,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR,,
21,NITRO FAUX SUEDE PATCH/ N19-TRIM002,CHUN WO HO/ M1494817,FRONT LEFT HEM,1,COLOR,,
22,"Nitro Embossed 
Petersham Logo binding tape","CHUN WO HO
E1342816 20MM",HOOD AND SLEEVE HEMS,3,COLOR,,
27,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST (LEFT SIDE),2,COLOR,,
28,CORD LOCK,,HEM ADJUST (LEFT SIDE),1,COLOR,,
29,BEAD,,HEM ADJUST (LEFT SIDE),1,COLOR,,
33,"GROSGRAIN 3/8""",,HEM ADJUST (LEFT SIDE),1,COLOR,,
34,SHOCKCORD,,HEM ADJUST (LEFT SIDE),1,COLOR,,
43,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
44,BARTACKS,,100 / 2,,MATCH TO SHELL,,
47,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
51,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
55,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
56,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
57,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
