MATERIAL_ID,0,1,2,3,4
9,CENTER FRONT,#5 METAL,YKK ZA SNAP ON // 1-WAY SEPERATING AUTO LOCK ,1,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
10,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
13,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,LUKS / L1-2016-TRIM-009 ,1,PSUDO ANTI SILVER 
16,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM
18,HAND AND CHEST POCKETS,L1 SNAP,LUKS / L1-2016-TRIM-001,3,PSUDO ANTI SILVER 
19,CHEST POCKET BAG,NEW PATCH,LUKS / NEW,1,BLACK 
22,CF POWDER SKIRT CLOSURE,24L METAL SNAP,PLEASE SORCE,"4 MALE, 2 FEMALE",PSUDO ANTI SILVER / BLACK CAP
23,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,24L METAL SNAP,PLEASE SORCE,3 FEMALE,PSUDO ANTI SILVER / BLACK CAP
26,HEM CORD LOCKS,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,MATTE BLACK
27,HEM CORD TIPS,CORD TIP,KNK / CS-074,1 PER SIDE = 2,MATTE BLACK
30,HOOD CORD EXIT,GROMMET 11.5 mm (large),PLEASE SORCE,1 PER SIDE = 2,PSUDO ANTI SILVER 
31,HEM ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSUDO ANTI SILVER 
34,HEM,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,
37,HOOD,"3/8"" BLACK WAXED SHOE LACE WITH CLEAR PLASTIC TIPS",SUPPLER / REF NUBER,,BLACK WAXED
40,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK
41,HEM CORD LOCK TIE DOWN,"1/4"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,1 PER SIDE = 2,BLACK
42,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK
45,ENCASED IN POWDER SKIRT,25mm,SUPPLER / REF NUBER,1,STOCK
46,ENCASED IN BACK OF SLEEVE HEM,25mm,SUPPLER / REF NUBER,1 PER SIDE = 2,STOCK
47,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK
48,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK
51,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING
52,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING
56,TOPSTITCH,,#606,,MATCHING
57,BARTACKS,,,,MATCHING
58,SLEEVE GAITER COVER STITCH,,,,MATCHING
61,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG
62,LINING CB FACING,WP BREATH / SIZE LABEL / RN CA / MADE IN ___,,1,
63,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL
64,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL
65,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL
66,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE
