MATERIAL_ID,0,1,2,3,4,5
9,CENTER FRONT,#5 METAL, ZA SNAP-ON TYPE (YKK),1-WAY (LOCKING),PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
10,LEFT ARM POCKET,#5 METAL,DADHR DIECAST WIRE (NON YKK),1-WAY (LOCKING),PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
13,CF,L1-2016-TRIM-009,TOP PULL ONLY,1,PSUDO ANTI SILVER,PSUDO ANTI SILVER
16,FRONT LEFT SLEEVE HEM,L1 EMBROIDERY SMALL,SOLUNA / L1-2016-026,1,DTM,DTM
18,HAND POCKET FLAPS,L1 METAL SNAP,LUKS / L1-2016-TRIM-001,2,PSUDO ANTI SILVER,PSUDO ANTI SILVER
21,HEM DRAWCORD,ROUND DRWACORD WITH CLEAR PLASTIC TIP,,1,BLACK,MILITARY
22,HEM GROMMETS,METAL GROMMET,,1 PER SIDE = 2,ENAMEL DULL BLACK,ENAMEL DULL BLACK
25,INNER POCKET CLOSURE,"1/2"" X 6""",,1,BLACK,MILITARY
30,BARTACKS,,,,MATCHING,MATCHING
33,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
34,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,5K/5K // CRITICALLY TAPED ,1,5K/5K // CRITICALLY TAPED ,
35,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
36,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
37,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
38,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
