,MATERIAL_ID,CATEGORY,0,5,8,16,27,28,30,32,34,37,40,43
0,10,fabric,SHELL FABRICS,,,,,,,,,,,
1,11,fabric,SCK-464 ICE CAFÃ â¦.,SINGTEX,"shell fabric at waistband and interior waistband, back pocket bag",,1.0,,TBA    ,,orange,ebony,neon lime,ocean
2,12,other,SW-8337 S CAFÃ,SINGTEX,shell fabric and front and back legs,,2.0,,TBA    ,,navy,black,ocean,ebony
3,13,other,SW-8337 S CAFÃ,SINGTEX,self fabric binding on hem and side seams,,3.0,,TBA    ,,navy,black,ocean,ocean
4,16,fabric,contrast stitching,COATS,3 rows of single needle,below waistband,,,,,orange,neon lime,neon lime,ocean
5,18,zipper,ZIPPERS,,,,,,,,,,,
6,19,zipper,CFC-39 DSBYG (H3),YKK,"#3 coil, closed end, DSBYG slider",back pocket zipper,,1.0,,0.0,navy,neon lime,ocean,neon lime
7,22,label,PLEASE SOURCE,TBA,lace,interior waistband,,,,,navy,ocean,ocean,neon lime
8,25,label,HT-04,TBA,heat transfer,front left waistband       ,,1.0,TBA    ,,18-1561,black,deep lime,deep ocean
9,26,other,HT-14,TBA,REFLECTIVE heat transfer,back WAISTBAND CENTER,,1.0,TBA    ,,Reflective grey,Reflective grey,Reflective grey,Reflective grey
10,29,label,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb waistband   ,,1.0,TBA    ,,x,x,x,x
11,30,label,TBA    ,PLEASE SOURCE,perforated care content label ,left waistband seam  ,,1.0,TBA    ,,white,white,white,white
