,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,,0.0
1,9,zipper, #5 REVERSE COIL MATTE WATER RESISTANT,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,CENTER FRONT,1,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: MATTE BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: MATTE BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: MATTE BLACK,
2,10,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TEETH/ TAPE COLOR: BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TEETH/ TAPE COLOR: BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TEETH/ TAPE COLOR: BLACK,
3,11,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TEETH/ TAPE COLOR: BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TEETH/ TAPE COLOR: BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TEETH/ TAPE COLOR: BLACK,
4,14,other,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,NON INSULATED,TOP AND BOTTOM PULL = 2,X6 BLACK OXIDES ,X6 BLACK OXIDES ,X6 BLACK OXIDES ,
5,15,other,L1-2018-TRIM-018 / Non branded zipper pull Faux Leather ,PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,HAND POCKETS,2,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
6,16,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,UNDER ARM VENTS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
7,19,other,"L1-2018-TRIM-016
Silicon Chest print",SOLUNA,FRONT LEFT CHEST,1,PANTONE 16-5807 TCX SILT TONAL SILICON ,PANTONE 18-0513 TCX WALNUT  TONAL SILICON ,PANTONE 19-4006 TCX BLACK TONAL SILICON ,
8,20,other,"L1-2018-TRIM-012
Heat Transfer Label ",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,FRONT RIGHT HEM,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,
9,21,other,"L1-2018-TRIM-014
L1 Sleeve Injection mold logo.
2mm Embossed effect. 2.62 cm x 2.6 cm",SOLUNA,FRONT LEFT SLEEVE HEM,1,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,
10,22,other,"L1-2018-TRIM-015
L1 Shoulder Injection mold logo.
2mm Embossed effect. 3.3 cm x 3.3 cm",SOLUNA,BACK RIGHT,1,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,
11,26,other,METAL EYELETS 8MM,LUK'S / ET04,HOOD CORD EXIT FRONT,2 PER SIDE = 4,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
12,27,other,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
13,28,other,METAL EYELETS 11MM,LUK'S / ET89,HOOD CORD EXIT BACK,1,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
14,29,other,CORD LOCK: SMALL CORD LOCK WITH TIE DOWN,SUN SUN/ SV160824-2A,FRONT HOOD ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,
15,30,other,CORD LOCK,SV160819-4A,BACK HOOD ADJUST EXPOSED AT LINING,1,MATTE BLACK,MATTE BLACK,MATTE BLACK,
16,31,other,CORD LOCK,SV160819-4A,HEM ADJUST EXPOSED AT LINING,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,
17,32,other,BEAD,SUNSUN/ SV160725-1A,BACK HOOD ADJUST,1,MATTE BLACK,MATTE BLACK,MATTE BLACK,
18,33,other,BEAD,SUNSUN/ SV160725-1A,HEM ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,
19,34,other,KEYCLIP,AS PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,
20,37,other,"GROSGRAIN 1/4""",,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,
21,38,other,"GROSGRAIN 3/8""",,ATTACH BACK HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,
22,39,other,"GROSGRAIN 3/8""",,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,
23,40,other,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,
24,41,other,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,
25,42,other,"ELASTIC 1/4""",,LINING CABLE GULIDE,1,BLACK,BLACK,BLACK,
26,43,other,ELASTINE,,LINING CORD EXIT - WELTS,,BLACK,BLACK,BLACK,
27,47,interfacing,BONDING FILM,,HOOD BRIM,1,BONDING FILM,BONDING FILM,BONDING FILM,
28,48,interfacing,BONDING FILM,,BACK HOOD ADJUST WELT,1,BONDING FILM,BONDING FILM,BONDING FILM,
29,49,interfacing,BONDING FILM,,HAND POCKET WELTS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,
30,50,interfacing,BONDING FILM,,CUFF TABS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,
31,53,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
32,54,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
33,58,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
34,59,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
35,60,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
36,63,other,20K/20K FULLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,20K/20K FULLY TAPED,20K/20K FULLY TAPED,20K/20K FULLY TAPED,
37,67,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
38,71,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,
39,72,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,
40,73,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,
