,MATERIAL_ID,CATEGORY,0,1,2,3,4
0,9,zipper, #5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK / DALH/DAG 2-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
1,10,zipper, #5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK /  DFW SHORT 1-WAY NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
2,11,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
3,14,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR
4,15,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR
5,18,other,NITRO SILICON PRINT LOGO 3cm x 3cm,,"LEFT SLEEVE HEM, 3"" UP FROM CUFF, CENTERED OVER SLEEVE FOLD",1,COLOR
6,24,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST,2 PER SIDE = 4,COLOR
7,25,other,CORD LOCK,,HEM ADJUST,1 PER SIDE = 2,COLOR
8,26,other,BEAD,LUK'S / ET04,HEM ADJUST,1 PER SIDE = 2,COLOR
9,29,other,"GROSGRAIN 3/8""",,HEM ADJUST,1 PER SIDE = 2,COLOR
10,30,other,SHOCKCORD,,HEM ADJUST,1,COLOR
11,33,interfacing,BONDING FILM,,CHIN GARAGE,1,
12,34,other,BONDING FILM,,HAND POCKET GARAGES,1 PER SIDE = 2,
13,35,other,BONDING FILM,,CUFF TABS,1 PER SIDE = 2,
14,38,other,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL
15,39,other,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL
16,43,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL
17,44,other,BARTACKS,,100 / 2,,MATCH TO SHELL
18,45,other,SLEEVE GAITER ,,MUST BE STRETCH THREAD,,MATCH TO SHELL
19,48,other,WP/BREATHABILITY LABEL,,RIGHT INNER POCKET BAG,1,
20,49,label,SIZE LABEL,,CENTER BACK BELOW NECK SEAM,1,
21,52,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,
22,57,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
23,58,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
24,59,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
