,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
1, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
2, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back right pocket,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
3, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
4,additional zipper pulls,supplier/ reference number,location,amount,black,military,rust,bone,walnut
5, 11nt-045 / self fabric pull ,factory made,back right pocket,1,match to shell,match to shell,match to shell,match to shell,match to shell
6,branded trims,supplier/ reference number,location,amount,black,military,rust,bone,walnut
7,"l1-2018-trim-021
l1 donut post shank
black alloy
al023",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
8,"l1-2018-trim-019
l1 10mm denim rivet
black alloy
al023",luks,right hand pocket (2) right hand coin pocket (1) left hand pocket top (1) back left pocket (2),6,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
9,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al023",luks,left hand pocket bottom edge,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
10,"l1-2018-trim-023
l1 faux leather denim patch
debossed 1mm and painted gold
black",please source,back right waist band,1,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather
11,"l1-2018-trim-026
l1 faux leather patch 
black",please source,back left knee,1,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather
12,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,match to shell
13,trims,supplier/ reference number,location,amount,black,military,rust,bone,walnut
14,15mm metal snap,luk's / 404,finger snap hem adjust,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
15,boot hook,suppler,front gaiter,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
16,keyclip,as last year production,right leg pocket,1,black,black,black,black,black
17,notions,supplier/ reference number,location,amount,black,military,rust,bone,walnut
18,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
19,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
20,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black
21,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,black
22,velcro,supplier/ reference number,location,amount,black,military,rust,bone,walnut
23,thread,spi,supplier/ ref number,amount,black,military,rust,bone,walnut
24,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),Feb-30,regular thread,matching,matching,matching,matching,matching
25,seams,10-12 spi,Feb-30,regular thread,matching,matching,matching,matching,matching
26,topstitch,8-10 spi,Feb-30,regular thread,matching,matching,matching,matching,matching
27,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching
28,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching
29,labels ,supplier/ reference number,location,amount,black,military,rust,bone,walnut
30,10k/10k critically taped,soluna/ main label,inner front right,1,10k/10k critically taped,none,none,none,none
31,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none
32,hang tags,supplier/ reference number,location,amount,black,military,rust,bone,walnut
33,mens jacket hang tag,soluna/ mens jacket hang tag,front left belt loop,1,front left belt loop,none,none,none,none
34,pant regular straight leg hang tag,soluna/ pant fit hang tag,front left belt loop,1,pant regular straight leg hang tag,none,none,none,none
35,care and content labels,supplier/ reference number,location,amount,black,military,rust,bone,walnut
36,address label,factory sourced,lining left side seam,1,none,none,none,none,none
37,content label,factory sourced,lining left side seam,1,none,none,none,none,none
38,washing label,factory sourced,lining left side seam,1,none,none,none,none,none
