,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
1,oxford,solis /  oxford l2-581 / 10k/10k / c6 + dwr,a,none,black,ink,bone,soil,x
2,broken twill,solis/  wl248 broken twill/ / 10k/10k / c6 + dwr,a,none,x,x,x,x,vintage camo broken twill
3,leather,suppler same quality as other faux leather trims,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
4,insulation,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
5,non insulated,none,none,none,none,none,none,none,none
6,seam tape,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
7,seam tape,tsgs,fully taped,none,fully taped,fully taped,fully taped,fully taped,fully taped
8,lining,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
9,solid 210t ,solis / sonp006-1,bib and leg,100% nylon,black,black,black,black,black
10,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black
11,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black
12,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black
13,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black
14,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill
15,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
