,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,,INSULATION: ,,"40g ""CS"" POLYFILL",,TARGET FOB: ,,43
1,11,fabric,A,BROKEN TWILL $3.70 10k/10k coat +80/10 dwr,SOLIS,100% poly,BLACK,X,X,HARVEST
2,12,fabric,A,PA10004 $3.00 FLAT FACE 10k/10k coat + 80/10 dwr,RACO,100% poly,X,CAMO,SAND,X
3,13,fabric,B,PA10004 $3.00 FLAT FACE 10k/10k coat + 80/10 dwr,RACO,100% poly,BLACK,CAMO,DARK SLATE,RAVEN
4,16,interfacing,"40G ""CS"" POLYFILL ALL OVER",,,,"40G ""CS"" POLYFILL ALL OVER","40G ""CS"" POLYFILL ALL OVER","40G ""CS"" POLYFILL ALL OVER","40G ""CS"" POLYFILL ALL OVER"
5,22,fabric,"HOOD,  SLEEVES, CHEST AND TOP ENTRY POCKET BAG, FRONT PANELS",SOLID NYLON 210T,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
6,23,fabric,BLACK PANEL,SOLID 210T WITH EAGLE PANEL PRINT,SOLIS / REF NUMBER,,SOLID BLACK 210T WITH EAGLE PRINT,SOLID BLACK 210T WITH EAGLE PRINT,SOLID BLACK 210T WITH EAGLE PRINT,SOLID BLACK 210T WITH EAGLE PRINT
7,24,fabric,FRONT AND BACK PANELS,WAFFLE FLEECE,SOLIS / REF NUMBER,,,,,
8,25,fabric,LOWER BODY & POWDER SKIRT ,SOLID COATED 210T,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
9,26,fabric,CHIN & SIDE ENTRY POCKET BAGS,BRUSHED TRICOT,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
10,27,fabric,UNDERAM VENTS,A-101 REGULAR MESH,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
11,28,fabric,GOGGLE POCKET,A 101 REGULAR MESH POWER STRETCH MESH,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
12,29,fabric,SLEEVE GAITER,STRETCH LYCRA,SOLIS / REF NUMBER,,BLACK,BLACK,BLACK,BLACK
