,MATERIAL_ID,CATEGORY,0,5,8,16,27,28,30,32,34,37,40
0,10,fabric,SHELL FABRICS,,,,,,,,,,
1,11,fabric,SCK 2265 ICE CAFÃ,SINGTEX,"shell fabric at waistband, interior waistband, front and back legs, rolled cuffs, back pocket bag",,1.0,,TBA,TBA,ebony,navy,black
2,14,fabric,flatlock stitching,COATS,flatlock stitching    ,"under waistband, rise, gusset, inseam and outseam",,,,,ebony,navy,black
3,16,zipper,ZIPPERS,,,,,,,,,,
4,17,zipper,CFC-39 DSBYG (H3),YKK,"#3 coil, closed end, DSBYG slider",back pocket zipper,,1.0,,0,ocean,orange,neon lime
5,20,label,PLEASE SOURCE,TBA,lace,interior waistband,,,TBA,,ocean,orange,neon lime
6,23,label,HT-04,TBA,heat transfer,front left waistband       ,,1.0,TBA,,black,ocean,ebony
7,24,other,HT -14,,Reflective heat transfer,back waistband,,,,,reflective grey,reflective grey,reflective grey
8,26,label,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb waistband   ,,1.0,TBA,,x,x,x
9,27,label,TBA,PLEASE SOURCE,perforated care content label ,left waistband seam  ,,1.0,TBA,,white,white,white
