,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,6,insulation,INSULATION:,,QUILTED YOKE AND ELBOW PATCHES 40G PINNECO CORE,,,TARGET FOB:,0.0
1,9,zipper,#5 VISLON ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
2,10,zipper,#5 VISLON ZIPPER,YKK / DFW SHORT NON LOCK,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
3,11,zipper,#5 COIL ZIPPER,NON YKK / DFW SHORT NON LOCK,CHEST POCKET,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
4,12,zipper, #5 COIL ZIPPER,NON YKK / DFW SHORT NON LOCK,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
5,15,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR,,
6,16,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR,,
7,17,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET,1,COLOR,,
8,20,other,NITRO FAUX SUEDE PATCH/ N19-TRIM002,CHUN WO HO/ M1494817,FRONT LEFT HEM,1,COLOR,,
9,26,other,"Nitro Embossed 
Petersham Logo binding tape","CHUN WO HO
E1342816 20MM",SLEEVE AND BOTTOM HEMS,3,COLOR,,
10,40,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,,
11,41,other,MID WEIGHT TOPSTITCH THREAD (YOKE AND ELBOW PATCHES),8-10 SPI,,,MATCH TO SHELL,,
12,42,other,BARTACKS,,100/2,,MATCH TO SHELL,,
13,45,label,MAIN SIZE LABEL,,CENTER BACK LINING BELOW NECK SEAM,1,,,
14,49,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
15,53,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
16,54,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
17,55,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
