,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,9,other,"FRONT PLACKET, CHEST POCKET, SLEEVE PLACKETS",NEW L1 SNAP,LUKS / TRIM NUMBER,10,,
1,10,other,CHEST POCKET,HEM WRAP,LUKS / L1-2016-TRIM-013,1,BLACK ,BLACK 
2,11,other,HEM,NEW WOVEN LABEL,LUKS / TRIM NUMBER,1,,
3,15,other,HAND POCKET SNAPS,24 L METAL,,1 PER SIDE = 2,,
4,21,other,BARTACKS,,,,MATCHING,MATCHING
5,24,other,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
6,25,label,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,5K/5K ,1,5K/5K ,
7,26,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
8,27,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
9,28,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
10,29,other,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
