,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,0,other,,L1 PANT,,,,,
1,6,fabric,,INSULATION:,,SHELL WITH REVERSE TRICOT SEAT,,TARGET FOB:,48.0
2,12,fabric,ALL SHELL IS SAME FABRIC,"N6 NYLON OTTOMAN 2L, 20K/20K  $5.15",WIDEPLUS WNP121-BJ4SR4 3L,100% NYLON OTTOMAN,BLACK,,
3,15,fabric,SHELL,,,,SHELL,,
4,21,zipper,"FLY, HAND POCKET OPENINGS, WP ZIPPER WINDOWN AND ZIPPER GARAGES, BELTLOOPS, BACK POCKET FLAP, HEM WELTS",GLUE FILM,SEALON / ,,YES,,
5,24,fabric,MAIN BODY,SOLID 210T,PLEASE SORCE,100% NYLON,BLACK,,
6,25,fabric,SEAT,REVERSED 120G BRUSHED TRICOT,PLEASE SORCE,100% POLY,BLACK,,
7,26,fabric,LOWER LEG & GAITER,COATED 210T,PLEASE SORCE,100% NYLON,BLACK,,
8,27,fabric,WAISTBAND & FLY,120G BRUSHED TRICOT,PLEASE SORCE,100% POLY,BLACK,,
9,28,fabric,HAND POCKET LINING,120G BRUSHED TRICOT,PLEASE SORCE,100% POLY,BLACK,,
10,29,fabric,"""BALLS OUT"" VENTING",MESH,PLEASE SORCE,100% POLY,BLACK,,
