,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,6,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:
1,14,fabric,NON INSULATED,,,,,
2,20,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
3,21,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
4,22,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
5,23,fabric,SOLID 210T ,SUPPLIER / REF CODE,CHEST POCKET BAG,100% NYLON,COLOR,
6,24,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
7,25,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
8,26,fabric,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
9,27,fabric,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
