,brand,style,description,ref,fabric,trims,supplier,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,inner,outer
16,lafuma,lfv11301,"velcro male ( rounded corner)
20x60mm",nan,0,1,local / pahio,"back hood adjustment 
on  flap ",1,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan,0,1
17,lafuma,lfv11301,"velcro female ( rounded corner)
20x100mm",nan,0,1,local / pahio," cuff adjustment
on  garment  ",2,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan,0,1
18,lafuma,lfv11301,"velcro male ( rounded corner)
20x60mm",nan,0,1,local / pahio," cuff adjustment
on  flap ",2,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan,0,1
19,lafuma,lfv11301,embroidery  lafuma 72 mm,nan,0,1,ming shang,right front / top,1,"vibrant red
10007","insigna blue
40002","grey
 f488",nan,nan,0,1
20,lafuma,lfv11301,embroidery lafuma feuille 20 mm,nan,0,1,ming shang,left sleeve / top,1,"vibrant red
10007","insigna blue
40002","grey
 f488",nan,nan,0,1
21,lafuma,lfv11301, climactive woven fly,nan,0,1,triple star,bottom left back,1,"standard
black","standard
black","standard
black",nan,nan,0,1
22,lafuma,lfv11301,main label medium size,lw034-e,0,1,sml,neckline / centered ,1,orange ,orange ,orange ,nan,nan,0,1
23,lafuma,lfv11301,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,standard,standard,standard,nan,nan,0,1
24,lafuma,lfv11301,care label & p.o. label,lc011-e,0,1,local,left side seam ,1,white satin ,white satin ,white satin ,nan,nan,0,1
25,lafuma,lfv11301,hang tag low impact,ht394299-e,0,1,triple star,on top of corporate ht,1,standard,standard,standard,nan,nan,0,1
26,lafuma,lfv11301,hangtag lafuma corporate,"small
ht-394082-e",0,1,triple star,left side pocket,1,standard,standard,standard,nan,nan,0,1
27,lafuma,lfv11301,hang tag climactive,"small
ht394146-e",0,1,triple star,refer artwork for position ,1,standard,standard,standard,nan,nan,0,1
28,lafuma,lfv11301,hang tag pfc free,ht394145-e,0,1,triple star,on back of corporate ht,1,standard,standard,standard,nan,nan,0,1
29,lafuma,lfv11301,polybag,nan,0,1,local,nan,1,nan,nan,nan,nan,nan,0,1
30,lafuma,lfv11412,"shell 1 
06302 5k/5k",nan,1,0,libolon,garment,nan,heather grey,ink/noir,burgundy laf,nan,nan,0,1
31,lafuma,lfv11412,mesh,nan,1,0,local,body,nan,grey,black,black,nan,nan,0,1
32,lafuma,lfv11412,taffetas nylon 210t,nan,1,0,local,sleeves lining + hood + pocket bag + front panel lining,nan,grey,black,black,nan,nan,0,1
33,lafuma,lfv11412,"brush tricot 
ref: am1378 asia fit",nan,1,0,local,chin guard,nan,grey,black,black,nan,nan,0,1
34,lafuma,lfv11412,full seam tape,nan,1,0,local,full body,nan,clear,clear,clear,nan,nan,0,1
35,lafuma,lfv11412,non woven,nan,1,0,local,flaps + embroideries backside,nan,white,white,white,nan,nan,0,1
36,lafuma,lfv11412,"shell 2
pr20 nylon fd
",nan,1,0,local,inner jkt - ,nan,black,"azur blue
19-4050 tcx",black,nan,nan,1,0
37,lafuma,lfv11412,taffetas lining 210 t ,nan,1,0,local,"sleeves
pockets lining ",nan,grey,black,black,nan,nan,1,0
38,lafuma,lfv11412,"brush tricot 
ref: am1378 asia fit",nan,1,0,local,body lining,nan,grey,black,black,nan,nan,1,0
39,lafuma,lfv11412,"insulation 
primaloft black eco 100 grs
",nan,1,0,primaloft,body  & sleeve,nan,standard,standard,standard,nan,nan,1,0
40,lafuma,lfv11412,"zipper vislon # 5 - 1way - separable- autolock
sd51ma.rt
",nan,0,1,"max
zipper",front zip,1,"grey
301","eclipse blue
960","burgundy
048",nan,nan,0,1
41,lafuma,lfv11412,"zipper vislon #5- 1way - left insert
vsor-56 da86 e p14 kensin musi n-anti newkob4",nan,0,1,ykk  zipper,front zip (inside jkt) / 3in1 system,1,"grey/black
tape : 301
teeth : 580","eclipse blue/azur blue
tape : 960
teeth : 918","black/burgundy
tape : 580
teeth : 048",nan,nan,0,1
42,lafuma,lfv11412,"zipper reverse # 5 - 1way - non separable - non lock
sn52max
",nan,0,1,"max
zipper","hands pockets under flap (2)
chest pocket (1)",3,"grey
301","eclipse blue
960","burgundy
048",nan,nan,0,1
43,lafuma,lfv11412,"nylon  #3 - 1way -
non separable -non lock - drop puller ",nan,0,1,ykk  zipper,inner pocket ,1,"grey
301","eclipse blue
960","burgundy
048",nan,nan,0,1
44,lafuma,lfv11412,cord puller,zp072-e,0,1,dragon times,"front opening (1)
",1,noir,azur blue,noir,nan,nan,0,1
45,lafuma,lfv11412,cord puller,zp072-e,0,1,dragon times,"front pockets (2)
chest pocket (1)",3,noir,saphir,noir,nan,nan,0,1
46,lafuma,lfv11412,"17mm  metal snap  
(male & female)  (nvisible)",nan,0,1,local,front flap (2 on top + 1 on bottom),3,antic silver,antic silver,antic silver,nan,nan,0,1
47,lafuma,lfv11412,"17mm  metal snap  
(male & female)  (nvisible)",nan,0,1,local,"front hood & collar flap (4)
back hood removable system  (3)",7,antic silver,antic silver,antic silver,nan,nan,0,1
48,lafuma,lfv11412,"17mm metal snap  
( female)  (nvisible)",nan,0,1,local,"removable hood system
back collar flap  (3)",3,antic silver,antic silver,antic silver,nan,nan,0,1
49,lafuma,lfv11412,"2,5mm elastic cord ",nan,0,1,local,"bottom adjustment  (1)
hood adjustment (1)",2,black,black,black,nan,nan,0,1
50,lafuma,lfv11412,"new mmg cord stopper 
20mm+ slit",eis15u-xmstp01,0,1,unitex,"bottom adjustment  (1)
hood adjustment (2)",3,noir,noir,noir,nan,nan,0,1
51,lafuma,lfv11412,10mm metal eyelet,nan,0,1,local,"bottom adjustment  (2)
hood adjustment (4)",6,antic silver,antic silver,antic silver,nan,nan,0,1
52,lafuma,lfv11412,plastic pearl,cp-a1,0,1,unitex,hood adjustment (2),2,noir,noir,noir,nan,nan,0,1
53,lafuma,lfv11412,5mm polyester webbing ,eis15u-xmtre01,0,1,yf zipper,"bottom adjustment  (2)
hood adjustment (2)
to hold stopper and cord",4,noir,noir,noir,nan,nan,0,1
54,lafuma,lfv11412,"velcro female velvet (rounded corner)
10x60mm",nan,0,1,local / pahio,front flap,3,black,"eclipse blue
to539",black,nan,nan,0,1
55,lafuma,lfv11412,"velcro male hook (rounded corner)
10x60mm",nan,0,1,local / pahio,garment front,3,black,"eclipse blue
to539",black,nan,nan,0,1
56,lafuma,lfv11412,"velcro female velvet (rounded corner)
20x100mm",nan,0,1,local / pahio,"back hood adjustment
on  garment  ",1,black,"eclipse blue
to539",black,nan,nan,0,1
57,lafuma,lfv11412,"velcro male hook ( rounded corner)
20x60mm",nan,0,1,local / pahio,"back hood adjustment 
on  flap ",1,black,"eclipse blue
to539",black,nan,nan,0,1
58,lafuma,lfv11412,"velcro female velvet (rounded corner)
20x100mm",nan,0,1,local / pahio," cuff adjustment
on  garment  ",2,black,"eclipse blue
to539",black,nan,nan,0,1
59,lafuma,lfv11412,"velcro male hook (rounded corner)
20x60mm",nan,0,1,local / pahio," cuff adjustment
on  flap ",2,black,"eclipse blue
to539",black,nan,nan,0,1
60,lafuma,lfv11412,12mm nylon webbing ,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black,black,black,nan,nan,0,1
61,lafuma,lfv11412,10 mm plastic snap,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black,black,black,nan,nan,0,1
62,lafuma,lfv11412,"zipper vislon # 5 - 1way - right insert
vsor-58 du4 e p14 kensin musi n-anti newkob4",nan,0,1,ykk  zipper,front zip,1,"black/grey
tape : 580
teeth : 301","eclipse blue/azur blue
tape : 960
teeth : 918","black/burgundy
tape : 580
teeth : 048",nan,nan,1,0
63,lafuma,lfv11412,"zipper reverse # 5 - 1way - non separable - non lock
sn52max
",nan,0,1,"max
zipper",hands pockets under flap (2),2,"grey
301","eclipse blue
960","burgundy
048",nan,nan,1,0
64,lafuma,lfv11412,mmg webbing 5mm width,eis15u-xmtre01,0,1,yf zipper,"jkt connection 
back neckline  (1)
bottom  sleeves (2)",3,noir,dark skyfall 2,noir,nan,nan,1,0
65,lafuma,lfv11412,elastic binding total width 20mm,eb011-e,0,1,wilson group,bottom sleeve hem,2,noir,abyss,noir,nan,nan,1,0
66,lafuma,lfv11412,embroidery  lafuma 72 mm,nan,0,1,local / ming shyang,right front / top,1,"grey
e414","eclipse blue
30055",black,nan,nan,0,1
67,lafuma,lfv11412,embroidery lafuma feuille 20 mm,nan,0,1,local / ming shyang,left sleeve / top,1,"grey
e414","eclipse blue
30055",black,nan,nan,0,1
68,lafuma,lfv11412, climactive woven fly,lw050-e,0,1,triple star,left side seam ,1,black,black,black,nan,nan,0,1
69,lafuma,lfv11412,embroidery  lafuma 72 mm,nan,0,1,local / ming shyang,right front / top,1,"grey
e414","eclipse blue
30055","burgundy
f194",nan,nan,1,0
70,lafuma,lfv11412,embroidery lafuma feuille 20 mm,nan,0,1,local / ming shyang,left sleeve / top,1,"grey
e414","eclipse blue
30055","burgundy
f194",nan,nan,1,0
71,lafuma,lfv11412,primaloft label,l-2000,0,1,primaloft,left side seam ,1,nan,nan,nan,nan,nan,0,1
72,lafuma,lfv11412,"woven label
",lw034-e,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan,0,1
73,lafuma,lfv11412,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,standard,nan,nan,nan,nan,0,1
74,lafuma,lfv11412,care label & p.o. label,lc011-e,0,1,local,left side seam ,1,white satin ,nan,nan,nan,nan,0,1
75,lafuma,lfv11412,"woven label
",lw034-e,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan,1,0
76,lafuma,lfv11412,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,"standard
",nan,nan,nan,nan,1,0
77,lafuma,lfv11412,care label & p.o. label,lc011-e,0,1,local,left side seam ,nan,white satin ,nan,nan,nan,nan,1,0
78,lafuma,lfv11412,hang tag mix & match,ht394325/ne,0,1,triple star,front zipper,1,standard,nan,nan,nan,nan,0,1
79,lafuma,lfv11412,hang tag low impact,ht394299-e,0,1,triple star,nan,1,standard,nan,nan,nan,nan,0,1
80,lafuma,lfv11412,hangtag lafuma corporate,"small
ht-394082-e",0,1,triple star,left side pocket,1,standard,nan,nan,nan,nan,0,1
81,lafuma,lfv11412,hang tag climactive,"small
ht394146-e",0,1,triple star,refer artwork for position ,1,standard,nan,nan,nan,nan,0,1
82,lafuma,lfv11412,"hang tag"" primaloft"" black eco ",h-3001,0,1,primaloft,nan,1,standard,nan,nan,nan,nan,0,1
83,lafuma,lfv11412,hang tag pfc free,ht394145-e,0,1,triple star,nan,1,standard,nan,nan,nan,nan,0,1
84,lafuma,lfv11412,polybag,nan,0,1,local,nan,1,nan,nan,nan,nan,nan,0,1
85,lafuma,lfv11420,"shell 1 
06302",nan,1,0,libolon,garment,nan,heather grey,heather grey,ink/noir,burgundy laf,nan,0,1
86,lafuma,lfv11420,mesh,nan,1,0,local,body,nan,grey,grey,black,black,nan,0,1
87,lafuma,lfv11420,taffetas nylon 210t,nan,1,0,local,sleeves lining + hood + pocket bag + front panel lining,nan,grey,grey,black,black,nan,0,1
88,lafuma,lfv11420,"brush tricot 
ref: am1378 asia fit",nan,1,0,local,chin guard,nan,grey,grey,black,black,nan,0,1
89,lafuma,lfv11420,full seam tape,nan,0,1,local,full body,nan,clear,clear,clear,clear,nan,0,1
90,lafuma,lfv11420,non woven,nan,1,0,local,flaps + embroideries backside,nan,white,white,white,white,nan,0,1
91,lafuma,lfv11420,"zipper vislon # 5 - 1way - separable- autolock
sd51ma.rt
",nan,0,1,"max
zipper",front zip,1,black 580,"grey
301","eclipse blue
960","burgundy
048",nan,0,1
92,lafuma,lfv11420,"zipper vislon #5- 1way - left insert
vsor-56 da86 e p14 kensin musi n-anti newkob4",nan,0,1,ykk  zipper,front zip (inside jkt) / 3in1 system,1,black 580,"grey/black
tape : 301
teeth : 580","eclipse blue/azur blue
tape : 960
teeth : 918","black/burgundy
tape : 580
teeth : 048",nan,0,1
93,lafuma,lfv11420,"zipper reverse # 5 - 1way - non separable - non lock
sn52max
",nan,0,1,"max
zipper","hands pockets under flap (2)
chest pocket (1)",3,black 580,"grey
301","eclipse blue
960","burgundy
048",nan,0,1
94,lafuma,lfv11420,"nylon  #3 - 1way -
non separable -non lock - drop puller ",nan,0,1,ykk  zipper,inner pocket ,1,black 580,"grey
301","eclipse blue
960","burgundy
048",nan,0,1
95,lafuma,lfv11420,cord puller,zp072-e,0,1,dragon times,"front opening (1)
",1,noir,noir,azur blue,noir,nan,0,1
96,lafuma,lfv11420,cord puller,nan,0,1,dragon times,"front pockets (2)
chest pocket (1)",3,noir,noir,saphir,noir,nan,0,1
97,lafuma,lfv11420,"2,5mm elastic cord ",nan,0,1,local,"bottom adjustment  (1)
hood adjustment (1)",2,black,black,black,black,nan,0,1
98,lafuma,lfv11420,"mmg cord stopper
20mm+slit",eis15u-xmstp01,0,1,unitex,"bottom adjustment  (1)
hood adjustment (2)",3,noir,noir,noir,noir,nan,0,1
99,lafuma,lfv11420,10mm metal eyelet,nan,0,1,local,"bottom adjustment  (2)
hood adjustment (4)",6,antic silver,antic silver,antic silver,antic silver,nan,0,1
100,lafuma,lfv11420,plastic pearl,cp-a1,0,1,unitex,hood adjustment (2),2,noir,noir,noir,noir,nan,0,1
101,lafuma,lfv11420,5mm polyester webbing ,eis15u-xmtre01,0,1,yf zipper,"bottom adjustment  (2)
hood adjustment (2)
to hold stopper and cord",4,noir,noir,noir,noir,nan,0,1
102,lafuma,lfv11420,"17mm  metal snap  
(male & female)  (nvisible)",nan,0,1,local,front flap (2 on top + 1 on bottom),3,antic silver,antic silver,antic silver,antic silver,nan,0,1
103,lafuma,lfv11420,"17mm  metal snap  
(male & female)  (nvisible)",nan,0,1,local,"front hood & collar flap (4)
back hood removable system  (3)",7,antic silver,antic silver,antic silver,antic silver,nan,0,1
104,lafuma,lfv11420,"velcro female velvet (rounded corner)
10x60mm",nan,0,1,local / pahio,front flap,3,black,black,"eclipse blue
to539",black,nan,0,1
105,lafuma,lfv11420,"velcro male hook (rounded corner)
10x60mm",nan,0,1,local / pahio,garment front,3,black,black,"eclipse blue
to539",black,nan,0,1
106,lafuma,lfv11420,"velcro female velvet (rounded corner)
20x80mm",nan,0,1,local / pahio,"back hood adjustment
on  garment  ",1,black,black,"eclipse blue
to539",black,nan,0,1
107,lafuma,lfv11420,"velcro male hook (rounded corner)
20x60mm",nan,0,1,local / pahio,"back hood adjustment 
on  flap ",1,black,black,"eclipse blue
to539",black,nan,0,1
108,lafuma,lfv11420,"velcro female velvet (rounded corner)
20x100mm",nan,0,1,local / pahio," cuff adjustment
on  garment  ",2,black,black,"eclipse blue
to539",black,nan,0,1
109,lafuma,lfv11420,"velcro male hook (rounded corner)
20x60mm",nan,0,1,local / pahio," cuff adjustment
on  flap ",2,black,black,"eclipse blue
to539",black,nan,0,1
110,lafuma,lfv11420,"velcro female velvet (rounded corner)
12x60mm",nan,0,1,local / pahio,"back bottom hood
back bottom collar",2,black,black,"eclipse blue
to539",black,nan,0,1
111,lafuma,lfv11420,"velcro male hook ( rounded corner)
12x60mm",nan,0,1,local / pahio,top collar storage hood,1,black,black,"eclipse blue
to539",black,nan,0,1
112,lafuma,lfv11420,12mm nylon webbing ,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black,black,black,black,nan,0,1
113,lafuma,lfv11420,10mm plastic snap,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black,black,black,black,nan,0,1
114,lafuma,lfv11420,embroidery  lafuma 72 mm,nan,0,1,ming shang,right front / top,1,black,"grey
e414","eclipse blue
30055",black,nan,0,1
115,lafuma,lfv11420,embroidery lafuma feuille 20 mm,nan,0,1,ming shang,left sleeve / top,1,black,"grey
e414","eclipse blue
30055",black,nan,0,1
116,lafuma,lfv11420, climactive woven fly,lw050-e,0,1,triple star,bottom left back,1,black,black,black,black,nan,0,1
117,lafuma,lfv11420,main label medium size,lw034-e,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan,0,1
118,lafuma,lfv11420,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,standard,nan,nan,nan,nan,0,1
119,lafuma,lfv11420,care label & p.o. label,lc011-e,0,1,local,left side seam ,1,white satin ,nan,nan,nan,nan,0,1
120,lafuma,lfv11420,hang tag mix & match,ht394325/ne,0,1,triple star,front zipper,1,standard,nan,nan,nan,nan,0,1
121,lafuma,lfv11420,hang tag low impact,ht394299-e,0,1,triple star,on top of corporate ht,1,standard,nan,nan,nan,nan,0,1
122,lafuma,lfv11420,hangtag lafuma corporate,"small
ht-394082-e",0,1,triple star,refer artwork for position ,1,standard,nan,nan,nan,nan,0,1
123,lafuma,lfv11420,"hang tag climactive
","small
ht394146-e",0,1,triple star,refer artwork for position ,1,standard,nan,nan,nan,nan,0,1
124,lafuma,lfv11420,hang tag pfc free,ht394145-e,0,1,triple star,on back of corporate ht,1,standard,nan,nan,nan,nan,0,1
125,lafuma,lfv11420,polybag,nan,0,1,local,nan,1,nan,nan,nan,nan,nan,0,1
126,lafuma,lfv11420,"shell 1 
06302",nan,1,1,libolon,garment,nan,heather grey,heather grey,ink/noir,burgundy laf,nan,1,0
127,lafuma,lfv11420,mesh,nan,1,1,local,body,nan,grey,grey,black,black,nan,1,0
128,lafuma,lfv11420,taffetas nylon 210t,nan,1,1,local,sleeves lining + hood + pocket bag + front panel lining,nan,grey,grey,black,black,nan,1,0
129,lafuma,lfv11420,"brush tricot 
ref: am1378 asia fit",nan,1,1,local,chin guard,nan,grey,grey,black,black,nan,1,0
130,lafuma,lfv11420,full seam tape,nan,0,1,local,full body,nan,clear,clear,clear,clear,nan,1,0
131,lafuma,lfv11420,non woven,nan,1,1,local,flaps + embroideries backside,nan,white,white,white,white,nan,1,0
132,lafuma,lfv11420,"zipper vislon # 5 - 1way - separable- autolock
sd51ma.rt
",nan,0,1,"max
zipper",front zip,1,black 580,"grey
301","eclipse blue
960","burgundy
527",nan,1,0
133,lafuma,lfv11420,"zipper vislon #5- 1way - left insert
vsor-56 da86 e p14 kensin musi n-anti newkob4",nan,0,1,ykk  zipper,front zip (inside jkt) / 3in1 system,1,black 580,"grey/black
tape : 301
teeth : 580","eclipse blue/azur blue
tape : 960
teeth : 918","black/burgundy
tape : 580
teeth : 527",nan,1,0
134,lafuma,lfv11420,"zipper reverse # 5 - 1way - non separable - non lock
sn52max
",nan,0,1,"max
zipper","hands pockets under flap (2)
chest pocket (1)",3,black 580,"grey
301","eclipse blue
960","burgundy
527",nan,1,0
135,lafuma,lfv11420,"nylon  #3 - 1way -
non separable -non lock - drop puller ",nan,0,1,ykk  zipper,inner pocket ,1,black 580,"grey
301","eclipse blue
960","burgundy
527",nan,1,0
136,lafuma,lfv11420,cord puller,zp072-e,0,1,dragon times,"front opening (1)
",1,noir,noir,azur blue,noir,nan,1,0
137,lafuma,lfv11420,cord puller,zp072-e,0,1,dragon times,"front pockets (2)
chest pocket (1)",3,noir,noir,saphir,noir,nan,1,0
138,lafuma,lfv11420,"2,5mm elastic cord ",nan,0,1,local,"bottom adjustment  (1)
hood adjustment (1)",2,black,black,black,black,nan,1,0
139,lafuma,lfv11420,"mmg cord stopper
20mm+slit",eis15u-xmstp01,0,1,unitex,"bottom adjustment  (1)
hood adjustment (2)",3,noir,noir,noir,noir,nan,1,0
140,lafuma,lfv11420,10mm metal eyelet,nan,0,1,local,"bottom adjustment  (2)
hood adjustment (4)",6,antic silver,antic silver,antic silver,antic silver,nan,1,0
141,lafuma,lfv11420,plastic pearl,cp-a1,0,1,unitex,hood adjustment (2),2,noir,noir,noir,noir,nan,1,0
142,lafuma,lfv11420,5mm polyester webbing ,eis15u-xmtre01,0,1,yf zipper,"bottom adjustment  (2)
hood adjustment (2)
to hold stopper and cord",4,noir,noir,noir,noir,nan,1,0
143,lafuma,lfv11420,"17mm  metal snap  
(male & female)  (nvisible)",nan,0,1,local,front flap (2 on top + 1 on bottom),3,antic silver,antic silver,antic silver,antic silver,nan,1,0
144,lafuma,lfv11420,"17mm  metal snap  
(male & female)  (nvisible)",nan,0,1,local,"front hood & collar flap (4)
back hood removable system  (3)",7,antic silver,antic silver,antic silver,antic silver,nan,1,0
145,lafuma,lfv11420,"velcro female velvet (rounded corner)
10x60mm",nan,0,1,local / pahio,front flap,3,black,black,"eclipse blue
to539",black,nan,1,0
146,lafuma,lfv11420,"velcro male hook (rounded corner)
10x60mm",nan,0,1,local / pahio,garment front,3,black,black,"eclipse blue
to539",black,nan,1,0
147,lafuma,lfv11420,"velcro female velvet (rounded corner)
20x80mm",nan,0,1,local / pahio,"back hood adjustment
on  garment  ",1,black,black,"eclipse blue
to539",black,nan,1,0
148,lafuma,lfv11420,"velcro male hook (rounded corner)
20x60mm",nan,0,1,local / pahio,"back hood adjustment 
on  flap ",1,black,black,"eclipse blue
to539",black,nan,1,0
149,lafuma,lfv11420,"velcro female velvet (rounded corner)
20x100mm",nan,0,1,local / pahio," cuff adjustment
on  garment  ",2,black,black,"eclipse blue
to539",black,nan,1,0
150,lafuma,lfv11420,"velcro male hook (rounded corner)
20x60mm",nan,0,1,local / pahio," cuff adjustment
on  flap ",2,black,black,"eclipse blue
to539",black,nan,1,0
151,lafuma,lfv11420,"velcro female velvet (rounded corner)
12x60mm",nan,0,1,local / pahio,"back bottom hood
back bottom collar",2,black,black,"eclipse blue
to539",black,nan,1,0
152,lafuma,lfv11420,"velcro male hook ( rounded corner)
12x60mm",nan,0,1,local / pahio,top collar storage hood,1,black,black,"eclipse blue
to539",black,nan,1,0
153,lafuma,lfv11420,12mm nylon webbing ,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black,black,black,black,nan,1,0
154,lafuma,lfv11420,10mm plastic snap,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black,black,black,black,nan,1,0
155,lafuma,lfv11420,embroidery  lafuma 72 mm,nan,0,1,ming shang,right front / top,1,black,"grey
40022","azur blue
9135",black,nan,0,1
156,lafuma,lfv11420,embroidery lafuma feuille 20 mm,nan,0,1,ming shang,left sleeve / top,1,black,"grey
40022","azur blue
9135",black,nan,0,1
157,lafuma,lfv11420, climactive woven fly,lw050-e,0,1,triple star,bottom left back,1,black,black,black,black,nan,0,1
158,lafuma,lfv11420,main label medium size,lw034-e,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan,0,1
159,lafuma,lfv11420,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,standard,nan,nan,nan,nan,0,1
160,lafuma,lfv11420,care label & p.o. label,lc011-e,0,1,local,left side seam ,1,white satin ,nan,nan,nan,nan,0,1
161,lafuma,lfv11420, hang tag,nan,0,1,nan,nan,nan,nan,nan,nan,nan,nan,0,1
162,lafuma,lfv11420,hang tag mix & match,ht394325/ne,0,1,triple star,front zipper,1,standard,nan,nan,nan,nan,0,1
163,lafuma,lfv11420,hang tag low impact,ht394299-e,0,1,triple star,on top of corporate ht,1,standard,nan,nan,nan,nan,0,1
164,lafuma,lfv11420,hangtag lafuma corporate,ht-394081-e,0,1,triple star,refer artwork for position ,1,standard,nan,nan,nan,nan,0,1
165,lafuma,lfv11420,"hang tag climactive
","big
ht394133-e",0,1,triple star,refer artwork for position ,1,standard,nan,nan,nan,nan,0,1
166,lafuma,lfv11420,hang tag pfc free,ht394145-e,0,1,triple star,on back of corporate ht,1,standard,nan,nan,nan,nan,0,1
167,lafuma,lfv11420,polybag,nan,0,1,local,nan,1,nan,nan,nan,nan,nan,0,1
168,lafuma,lfv11422,"shell 1 / fleece
ptb-239-11b",nan,1,0,men chuen,fleece face,nan,tarmac,eclipse blue,noir,nan,nan,0,1
169,lafuma,lfv11422,"shell 2 / nylon
8093ldf3",nan,1,0,caroltex,nylon face,nan,pixel mercury grey,pixel eclipse,pixel tarmac,nan,nan,0,1
170,lafuma,lfv11422,padding quality pk80,nan,1,0,local,padding stitched on poly face,nan,80g,80g,80g,nan,nan,0,1
171,lafuma,lfv11422,"non woven
",nan,1,0,local,embroideries backside,nan,white,white,white,nan,nan,0,1
172,lafuma,lfv11422,"zipper vislon #5 (right insert)
1 way-separable-autolock - reversible - du puller
vsor-58 du4 e p14 kensin musi n-anti newkob4",nan,0,1,ykk,front zip,1,"grey/eclipse blue
tape : 243
teeth : 960","eclipse blue
960","black
580",nan,nan,0,1
173,lafuma,lfv11422,"zipper coil inverted #3
1way - non separable - non lock  - short puller
sn32max",nan,0,1,"max
zipper","2x pocket zipper 
fleece face",2,"eclipse blue
960","eclipse blue
960","black
580",nan,nan,0,1
