,brand,style,item,supplier,ref,description,content,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,fabric,trims,outter ,inner
140,scott usa,m defined tech jkt,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,none,none,0,1,,
141,scott usa,m defined tech jkt,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,none,none,0,1,,
142,scott usa,m defined tech jkt,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,none,none,0,1,,
143,scott usa,m defined tech jkt,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,none,none,0,1,,
144,scott usa,m defined tech jkt,dryo-ht-wr-2,daeyong,,dryozone dwr hangtag,,,,insert,1,0.1,0.1,x,x,x,x,none,none,0,1,,
145,scott usa,w trail mtn wb 40 jacket,lm792 2.5l,premiere,,"shell fabric at side hood panels, front collar, sleeves, front and back body, outer cuff,  self fabric binding (where needed) and binding at cf zipper tape edge, windflap, back hood tunnel",,,,none,none,5,yard,plum violet,carrot orange,dark blue,none,none,none,1,0,,
146,scott usa,w trail mtn wb 40 jacket,sotl085-pu01,solis,,"shell fabric at side hood panels, front collar, sleeves, front and back body, outer cuff,  self fabric binding (where needed) and binding at cf zipper tape edge, windflap, back hood tunnel",,,,none,none,3,yard,none,none,none,dark grey melange,none,none,1,0,,
147,scott usa,w trail mtn wb 40 jacket,lm792 2.5l,premiere,,"shell fabric at middle hood panel, side seam panels",,,,none,none,5,yard,carrot orange,carrot orange,dark blue,none,none,none,1,0,,
148,scott usa,w trail mtn wb 40 jacket,sotl085-pu01,solis,,"shell fabric at middle hood panel, side seam panels",,,,none,none,3,yard,none,none,none,dark grey melange,none,none,1,0,,
149,scott usa,w trail mtn wb 40 jacket,sck-757s,singtex,,inner knit cuffs,,,,none,none,4.8,yard,caviar black,caviar black,caviar black,caviar black,none,none,1,0,,
150,scott usa,w trail mtn wb 40 jacket,l1025 sw,r.m. interlinings ltd.,,non woven interlining,,,,windflap,none,0.1,yard ,stock white,stock white,stock white,stock white,none,none,0,1,,
151,scott usa,w trail mtn wb 40 jacket,ym11-3527,youngone,,1 layer stretch mesh,,,,pocket bag,none,2.7,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
152,scott usa,w trail mtn wb 40 jacket,cifor-39 dsbyg (h3),ykk,,"#3 coil, open end, right insert, dsbyg slider ",,,,cf zipper,1,none,0,bayberry green,plum violet,dark blue,dark grey,none,none,0,1,,
153,scott usa,w trail mtn wb 40 jacket,chc-36 dadr2a e  ,ykk,,"#3 invisible coil, closed end, dadr2a slider",,,,right side seam small pocket zipper,1,none,0,bayberry green,plum violet,dark blue,dark grey,none,none,0,1,,
154,scott usa,w trail mtn wb 40 jacket,tba,tba,,reflective webbing,,,, back hood pull,1,0.35,yard,reflective silver,reflective silver,reflective silver,reflective silver,none,none,0,1,,
155,scott usa,w trail mtn wb 40 jacket,"1/4"" elastic",woosung  ,,"1/4"" elastic",,,,sides of hood,none,0.056,yard,stock white,stock white,stock white,stock white,none,none,0,1,,
156,scott usa,w trail mtn wb 40 jacket,"1"" elastic",woosung  ,,"1"" elastic",,,,"back cuff, front hem",none,none,yard,white,white,white,white,none,none,0,1,,
157,scott usa,w trail mtn wb 40 jacket,pca224,utx,,cordlock,,,,back of hood (1),1,0.06,0.058,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
158,scott usa,w trail mtn wb 40 jacket,10mm grosgrain ribbon,woosung,,grosgrain ribbon           ,,,,anchor for pca224 cordlock at back hood,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
159,scott usa,w trail mtn wb 40 jacket,2mm shockcord,woosung  ,,custom braid,,,,hood,none,0.11,yard,bayberry green,plum violet,orchid violet,dark grey,none,none,0,1,,
160,scott usa,w trail mtn wb 40 jacket,7mm thread eyelet,coats,,thread eyelet,,,,back of hood adjustment shockcord exit,1,none,yard,carrot orange,carrot orange,dark blue,dark grey,none,none,0,1,,
161,scott usa,w trail mtn wb 40 jacket,thad01p10gbk10,jrc,,10mm reflective perf tape,,,,cb neck,none,none,yard,graphite black,graphite black,graphite black,graphite black,none,none,0,1,,
162,scott usa,w trail mtn wb 40 jacket,rht-004,tba,,reflective heat transfer,,,,front left chest,1,0.44,0.44,reflective opal green,reflective plum violet,reflective orchid purple,reflective silver,none,none,0,1,,
163,scott usa,w trail mtn wb 40 jacket,rht-009,tba,,reflective heat transfer,,,,right bicep,1,0.556,0.556,reflective opal green,reflective plum violet,reflective orchid purple,reflective silver,none,none,0,1,,
164,scott usa,w trail mtn wb 40 jacket,laser cut holes,factory,,laser cut holes,,,,under venting flap (front & back),none,none,0,x,x,x,x,none,none,0,1,,
165,scott usa,w trail mtn wb 40 jacket,w_t43_bd,wwd,,heat transfer main interior label w/size/country,,,,interior cb neck,1,0.13,0.13,x,x,x,x,none,none,0,1,,
166,scott usa,w trail mtn wb 40 jacket,sco-lb-adrs    ,daeyong ,,address/rn & ca #s           ,,,,under normal care label      ,1,0.06,0.06,x,x,x,x,none,none,0,1,,
167,scott usa,w trail mtn wb 40 jacket,8mm grosgrain ,woosung,,grosgrain,,,,locker loop,none,0.04,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
168,scott usa,w trail mtn wb 40 jacket,ccl-094,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,x,x,x,none,none,none,0,1,,
169,scott usa,w trail mtn wb 40 jacket,ccl-001,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,none,none,none,x,none,none,0,1,,
170,scott usa,w trail mtn wb 40 jacket,po label,daeyong ,,po label- for bulk only!,,,,under normal care label      ,1,0.005,0.005,white,white,white,white,none,none,0,1,,
171,scott usa,w  defined merino po,4560,dti,,"collar, chest, sleeves, back yoke, back body",,,,none,none,11.87,meter,mahogany red,caviar black,nightfall blue,none,none,none,1,0,,
172,scott usa,w  defined merino po,sck-757s,singtex,,"cuffs, hem collar facing",,,,none,none,4.8,yard,ruby red,mahogany red,nightfall blue,none,none,none,1,0,,
173,scott usa,w  defined merino po,gramax thread,coats,,normal flatlock,,,,cb yoke and top collar,none,none,none,mahogany red,caviar black,nightfall blue,none,none,none,0,1,,
174,scott usa,w  defined merino po,dp-634,taekwang,,direct matte print,,,,upper left chest,none,0.38,0,ruby red,mahogany,darker nightfall blue,none,none,none,0,1,,
175,scott usa,w  defined merino po,dp-755,taekwang,,direct matte print,,,,left cuff,1,0.38,0.38,ruby red,mahogany,darker nightfall blue,none,none,none,0,1,,
176,scott usa,w  defined merino po,ats,factory,,ats,,,,collar drawcord exit,none,none,0,caviar black,caviar black,caviar black,none,none,none,0,1,,
177,scott usa,w  defined merino po,w-int-20,daeyong,,w's main interior label           ,,,,cb neck seam      ,1,0.108,0.108,x,x,x,none,none,none,0,1,,
178,scott usa,w  defined merino po,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,none,none,none,0,1,,
179,scott usa,w  defined merino po,sco-41    ,daeyong,,country of origin           ,,,,cb neck seam under main interior label      ,1,0.015,0.015,none,none,none,none,none,none,0,1,,
180,scott usa,w  defined merino po,tba,daeyong,,care content labels,,,,left side seam,1,0.03,0.03,x,x,x,none,none,none,0,1,,
181,scott usa,w  defined merino po,ccl-ht-lb,daeyong,,heat transfer washing instruction label,,,,behind care label,1,0.03,0.03,black,black,black,none,none,none,0,1,,
182,scott usa,w  defined merino po,sco-lb-can-,daeyong,,customs label,,,,left side seam behind care label,1,0.075,0.075,x,x,x,none,none,none,0,1,,
183,scott usa,w  defined merino po,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,none,none,none,0,1,,
184,scott usa,w  defined merino po,w-ht-lay,daeyong,,w's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,none,none,none,0,1,,
185,scott usa,w  defined merino po,hangtag pin,daeyong,,pin for hangtags,,,,left side       ,1,0,0,x,x,x,none,none,none,0,1,,
186,scott usa,w  defined merino po,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,none,none,none,0,1,,
187,scott usa,w  defined merino po,fit-ht-athl,daeyong,,athletic fit hangtag,,,,left side,1,0.055,0.055,x,x,x,none,none,none,0,1,,
188,scott usa,w  defined merino po,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,none,none,none,0,1,,
189,scott usa,w  defined merino po,mapp    ,mapp,,mapp hangtag        ,,,,left side,1,0,0,x,x,x,none,none,none,0,1,,
190,scott usa,w defined mid pullover,sck-757s,singtex,,"shell fabric at collar, upper sleeves, upper chest, upper back, lower front body, lower back body, windflap at collar, zipper tape finish, inner placket binding",,,,none,none,4.8,yard,mahogany red,caviar black,galaxy blue,nightfall blue,mahogany red,none,1,0,,
191,scott usa,w defined mid pullover,sck-757s,singtex,,"shell fabric at underarms, lower sleeves, middle front body, middle back body",,,,none,none,4.8,yard,ruby red,caviar black,galaxy blue,nightfall blue,mahogany red,none,1,0,,
192,scott usa,w defined mid pullover,st967 double weave,premiere,,bonded overlay at lower right pocket,,,,none,none,4.64,yard,caviar black,caviar black,irong grey,nightfall blue,caviar black,none,1,0,,
193,scott usa,w defined mid pullover,cfc-39 dsbsos02a (h3)       ,ykk,,"#3 coil, closed end, dsbsos02a slider",,,,cf zipper,1,0.36,0.36,ruby red,caviar black,galaxy blue,nightfall blue,ruby red,none,0,1,,
194,scott usa,w defined mid pullover,cfc-36 dablh (e)           ,ykk,,"#3 coil, closed end, dablh slider",,,,lower right pocket ,1,0.15,0.15,ruby red,caviar black,galaxy blue,nightfall blue,ruby red,none,0,1,,
195,scott usa,w defined mid pullover,zp-562/3    ,utx,,pop in puller           ,,,,lower right pocket,1,0.049,0.049,caviar black,caviar black,galaxy blue,nightfall blue,caviar black,none,0,1,,
196,scott usa,w defined mid pullover,gramax thread,coats,,normal flatlock,,,,all flatlock seams,none,none,none,mahogany red,caviar black,galaxy blue,nightfall blue,mahogany red,none,0,1,,
197,scott usa,w defined mid pullover,dp-634,taekwang,,direct matte print,,,,upper left front,1,0.38,0.38,ruby red,mahogany red,pacific blue,darker nightfall blue,ruby red,none,0,1,,
198,scott usa,w defined mid pullover,dp-755,taekwang,,direct matee print,,,,left sleeve at cuff,1,0.38,0.38,mahogany red,mahogany red,pacific blue,darker nightfall blue,ruby red,none,0,1,,
199,scott usa,w defined mid pullover,w-int-size,daeyong,,w's main interior label           ,,,,cb neck seam      ,1,0.045,0.045,x,x,x,x,x,none,0,1,,
200,scott usa,w defined mid pullover,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none,0,1,,
201,scott usa,w defined mid pullover,ccl-149,daeyong,,care content labels,,,,left side seam,1,0.03,0.03,x,x,x,x,x,none,0,1,,
202,scott usa,w defined mid pullover,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,none,0,1,,
203,scott usa,w defined mid pullover,w-ht-lay,daeyong,,w's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,none,0,1,,
204,scott usa,w defined mid pullover,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,none,0,1,,
205,scott usa,w defined mid pullover,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,none,0,1,,
206,scott usa,w defined mid pullover,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,none,0,1,,
207,scott usa,w defined mid pullover,duro-ht-4s-2,daeyong,,duroxpand hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
208,scott usa,w defined mid pullover,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
209,scott usa,w defined plus jkt,fe529-a,premiere,,"hood, collar, front body, inner sleeves, back body, cb, windflap",,,,none,none,none,yard,melon red,galaxy blue,nightfall blue,rainforest gree,ruby red,none,1,0,,
210,scott usa,w defined plus jkt,fe529-a,premiere,,"shoulders and outer sleeves, sleeve zipper garage",,,,none,none,none,yard,nightfall blue,galaxy blue,nightfall blue,rainforest green,ruby red,none,1,0,,
211,scott usa,w defined plus jkt,cifor-56 da8blh (e) ,ykk,,"#5 coil, open end, right insert, da8blh slider ",,,,cf zipper,1,0.49,0.49,nightfall blue,pacific blue,nightfall blue,nightfall blue,mahogany red,none,0,1,,
212,scott usa,w defined plus jkt,cfc-36 dablh (e),ykk,,"#3 coil, closed end, dablh slider",,,,sleeve pocket,1,0.15,0.15,nightfall blue,pacific blue,nightfall blue,nightfall blue,mahogany red,none,0,1,,
213,scott usa,w defined plus jkt,chc-36 dadr2a (e),ykk,,"#3 invisible coil, closed end, dadr2a ",,,,hand pockets,2,0.27,0.54,melon red,galaxy blue,nightfall blue,nightfall blue,ruby red,none,0,1,,
214,scott usa,w defined plus jkt,zp-561/5    ,utx,,pop in puller- #5       ,,,,cf zipper,1,0.05,0.05,nightfall blue,galaxy blue,nightfall blue,nightfall blue,caviar black,none,0,1,,
215,scott usa,w defined plus jkt,zp-562/3    ,utx,,pop in puller- #3        ,,,,sleeve pocket,1,0.049,0.049,nightfall blue,galaxy blue,nightfall blue,nightfall blue,caviar black,none,0,1,,
216,scott usa,w defined plus jkt,"3/4"" foldable lycra",woosung  ,,"3/4"" foldable lycra",,,,"hood, cuff, and hem",none,0.191,yard,nightfall blue,galaxy blue,nightfall blue,nightfall blue,caviar black,none,0,1,,
217,scott usa,w defined plus jkt,gramax thread,coats,,normal flatlock,,,,"hood, cf, front body, cb body, hem",none,none,none,melon red,galaxy blue,nightfall blue,rainforest gree,ruby red,none,0,1,,
218,scott usa,w defined plus jkt,gramax thread,coats,,normal flatlock,,,,shoulder and sleeves,none,none,none,nightfall blue,galaxy blue,nightfall blue,rainforest gree,ruby red,none,0,1,,
219,scott usa,w defined plus jkt,dp-634,taekwang,,direct matte print           ,,,,upper left front chest,2,0.38,0.76,nightfall blue,pacific blue,melon red,nightfall blue,mahogany red,none,0,1,,
220,scott usa,w defined plus jkt,dp-755,taekwang,,direct matte print           ,,,,lower left sleeve,1,0.38,0.38,melon red,pacific blue,melon red,nightfall blue,mahogany red,none,0,1,,
221,scott usa,w defined plus jkt,lc holes,factory,,laser cut holes,,,,cf collar,2,none,0,x,x,x,x,x,none,0,1,,
222,scott usa,w defined plus jkt,w-int-size,daeyong,,w's main interior label           ,,,,cb neck seam      ,1,0.045,0.045,x,x,x,x,x,none,0,1,,
223,scott usa,w defined plus jkt,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none,0,1,,
224,scott usa,w defined plus jkt,ccl-001,daeyong,,care content labels,,,,left side seam,1,0.03,0.03,x,x,x,x,x,none,0,1,,
225,scott usa,w defined plus jkt,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,none,0,1,,
226,scott usa,w defined plus jkt,w-ht-lay,daeyong,,w's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,none,0,1,,
227,scott usa,w defined plus jkt,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,none,0,1,,
228,scott usa,w defined plus jkt,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,none,0,1,,
229,scott usa,w defined plus jkt,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,none,0,1,,
230,scott usa,w defined plus jkt,dryo-ht-wr-2,daeyong,,dryozone dwr hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
231,scott usa,w defined plus jkt,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
232,scott usa,w  defined polar jkt,#9068 powerdry,polartec,,"fabric at main body front and back, collar, sleeves, windflap",,,,none,none,11.2,meter,rainforest green,pacific blue,mahogany red,melon red,none,none,1,0,,
233,scott usa,w  defined polar jkt,please source,none,,mesh,,,,"cf zipper tape finish, windflap edge, hand pocket bags",none,2.05,yard,nightfall blue,galaxy blue,caviar black,nightfall blue,none,none,1,0,,
234,scott usa,w  defined polar jkt,l1025 sw,r.m. interlinings ltd.,,non woven interlining,,,,windflap,none,0.1,yard,x,x,x,x,none,none,1,0,,
235,scott usa,w  defined polar jkt,cifor-39 dsbyg (h3),ykk,,"#3 coil, open end, right insert, dsbyg slider",,,,cf zipper,1,none,0,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none,0,1,,
236,scott usa,w  defined polar jkt,cfc-36 dablh (e),ykk,,"#3 coil, closed end, dablh slider ",,,,hand pocket zippers,2,0.15,0.3,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none,0,1,,
237,scott usa,w  defined polar jkt,zp-561/5    ,utx,,pop in puller           ,,,,cf zipper,1,0.05,0.05,nightfall blue,galaxy blue,caviar black,nightfall blue,none,none,0,1,,
238,scott usa,w  defined polar jkt,zp-562/3    ,utx,,pop in puller           ,,,,hand pockets,2,0.049,0.147,nightfall blue,galaxy blue,caviar black,nightfall blue,none,none,0,1,,
239,scott usa,w  defined polar jkt,normal flatlock stitch,coats-ns,,flatlock stitch,,,,all seams,none,none,none,rainforest green,pacific blue,mahogany red,melon red,none,none,0,1,,
240,scott usa,w  defined polar jkt,dp-634,taekwang,,direct matte print,,,,left chest,1,0.38,0.38,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none,0,1,,
241,scott usa,w  defined polar jkt,dp-755,taekwang,,direct matte print,,,,right cuff,1,0.38,0.38,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none,0,1,,
242,scott usa,w  defined polar jkt,phtw-15 ,polartec,,polartec heat transfer ,,,,right hem,1,0,0,white,white,white,white,none,none,0,1,,
243,scott usa,w  defined polar jkt,w-int-20,daeyong,,w's main interior label ,,,,cb neck,1,0.15,0.15,x,x,x,x,none,none,0,1,,
244,scott usa,w  defined polar jkt,8mm grosgrain webbing,daeyong ,,webbing,,,,locker loop,1,0.34,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
245,scott usa,w  defined polar jkt,sco-41    ,daeyong,,country of origin           ,,,,cb neckseam      ,1,0.015,0.015,x,x,x,x,none,none,0,1,,
246,scott usa,w  defined polar jkt,ccl-020,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,none,none,0,1,,
247,scott usa,w  defined polar jkt,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,none,none,0,1,,
248,scott usa,w  defined polar jkt,w-ht-lay,daeyong ,,w's layering hangtag         ,,,,chain at left sleeve pocket,1,0.22,0.22,x,x,x,x,none,none,0,1,,
249,scott usa,w  defined polar jkt,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,none,none,0,1,,
250,scott usa,w  defined polar jkt,fit-ht-gen,daeyong,,general fit hang tag,,,,chain at left sleeve pocket,1,0.11,0.11,x,x,x,x,none,none,0,1,,
251,scott usa,w  defined polar jkt,fit-ht-ath,daeyong,,athletic fit hangtag,,,,chain at left sleeve pocket,1,0.055,0.055,x,x,x,x,none,none,0,1,,
252,scott usa,w  defined polar jkt,ppg-15,polartec,,polartec powergrid hangtag,,,,chain at left sleeve pocket,1,0,0,x,x,x,x,none,none,0,1,,
253,scott usa,w  defined polar jkt,porptec-15,polartec,,polartec polygeine hangtag,,,,chain at left sleeve pocket,1,0,0,x,x,x,x,none,none,0,1,,
254,scott usa,w defined tech jkt,meln135,premiere,,"collar, collar facing, shoulder and upper inside sleeve, back yoke",,,,none,none,5.16,yard,melon red,mahogany red,melon red,moroccan red,caviar black,none,1,0,,
255,scott usa,w defined tech jkt,meln135,premiere,,"front body, outer and lower sleeves, back body",,,,none,none,5.16,yard,nightfall blue,mahogany red,melon red,moroccan red,caviar black,none,1,0,,
256,scott usa,w defined tech jkt,please source,none,,mesh           ,,,,lower right pocket bag,none,0.97,yard,nightfall blue,caviar black,nightfall blue,moroccan red,caviar black,none,1,0,,
257,scott usa,w defined tech jkt,fs-1175,forus,,self fabric binding,,,,"cf zipper tape finish, interior seam binding at armholes only",none,2.05,yard,nightfall blue,caviar black,nightfall blue,moroccan red,caviar black,none,1,0,,
258,scott usa,w defined tech jkt,cifor-56 da8blh1 (e)           ,ykk,,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,1,0.49,0.49,nightfall blue,mahogany red,nightfall blue,moroccan red,caviar black,none,0,1,,
259,scott usa,w defined tech jkt,chc-36 dadr2a (e),ykk,,"#3 invisible coil, closed end, dadr2a ",,,,lower right pocket,1,0.34,0.34,nightfall blue,mahogany red,nightfall blue,moroccan red,caviar black,none,0,1,,
260,scott usa,w defined tech jkt,zp-561/5    ,utx,,pop in puller- #5       ,,,,cf zipper,1,0.05,0.05,nightfall blue,caviar black,nightfall blue,moroccan red,caviar black,none,0,1,,
261,scott usa,w defined tech jkt,"3/4"" foldable lycra",woosung  ,,"3/4"" foldable lycra",,,,"cf, collar, hem, and cuff",none,0.191,yard,nightfall blue,mahogany red,nightfall blue,moroccan red,caviar black,none,0,1,,
262,scott usa,w defined tech jkt,dp-634,taekwang,,direct matte print           ,,,,left front chest,1,0.38,0.38,melon red,ruby red,nightfall blue,darker moroccan red,mahogany red,none,0,1,,
263,scott usa,w defined tech jkt,dp-755,taekwang,,direct matte print           ,,,,left cuff,1,0.38,0.38,melon red,ruby red,nightfall blue,darker moroccan red,mahogany red,none,0,1,,
264,scott usa,w defined tech jkt,w-int-size,daeyong,,w's main interior label           ,,,,cb neck seam      ,1,0.045,0.045,x,x,x,x,x,none,0,1,,
265,scott usa,w defined tech jkt,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none,0,1,,
266,scott usa,w defined tech jkt,ccl-001,daeyong,,care content labels,,,,left side seam,1,0.03,0.03,x,x,x,x,x,none,0,1,,
267,scott usa,w defined tech jkt,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,none,0,1,,
268,scott usa,w defined tech jkt,w-ht-lay,daeyong,,w's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,none,0,1,,
269,scott usa,w defined tech jkt,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,none,0,1,,
270,scott usa,w defined tech jkt,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,none,0,1,,
271,scott usa,w defined tech jkt,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,none,0,1,,
272,scott usa,w defined tech jkt,dryo-ht-wr-2,daeyong,,dryozone dwr hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
273,scott usa,w defined tech jkt,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
274,five 12,m capitola short,sw8337s-p1 printed,singtex,,"shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband",,,,none,none,none,yard,black heather,none,none,none,none,none,1,0,,
275,five 12,m capitola short,ssb-150256,singtex,,"shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband",,,,none,none,3.8,yard,none,black,poppy,navy,none,none,1,0,,
276,five 12,m capitola short,sw8337s-p1 printed,singtex,,shell fabric at hem binding,,,,none,none,none,yard,black heather,none,black heather,none,none,none,1,0,,
277,five 12,m capitola short,ssb-150256,singtex,,shell fabric at hem binding,,,,none,none,3.8,yard,none,black,none,navy,none,none,1,0,,
278,five 12,m capitola short,sw8337s-p1 printed,singtex,,shell fabric at right and left of front waistband,,,,none,none,none,yard,none,none,black heather,none,none,none,1,0,,
279,five 12,m capitola short,ssb-150256,singtex,,shell fabric at right and left of front waistband,,,,none,none,3.8,yard,black,black,none,navy,none,none,1,0,,
280,five 12,m capitola short,cfc-39 dsbyg (h3),ykk,,"#3 coil, closed end, dsbyg slider",,,,back pocket zipper,1,none,0,neon lime,black,ebony,ocean,none,none,0,1,,
281,five 12,m capitola short,please source lace ,none,,lace with clear plastic tip,,,,cf waistband,1,none,0,neon lime,ebony,ebony,ebony,none,none,0,1,,
282,five 12,m capitola short,metal eyelets,none,,metal eyelets,,,,cf waistband,4,none,0,antique silver,antique silver,antique silver,antique silver,none,none,0,1,,
283,five 12,m capitola short,film overlay,tsgs,,film overlay,,,,back pocket window frame,1,none,0,ebony,ebony,ebony,ebony,none,none,0,1,,
284,five 12,m capitola short,ht-30,none,,heat transfer,,,,front right waistband,1,none,0,neon lime,ebony,poppy,ocean,none,none,0,1,,
285,five 12,m capitola short,ht-31,none,,heat transfer,,,,back right pocket on the film overlay,1,none,0,neon lime,ebony,poppy,ocean,none,none,0,1,,
286,five 12,m capitola short,ht -14,giant knitting,,"reflective heat transfer 1.25""",,,,left side seam near hem,1,none,0,reflective silver,reflective silver,reflective silver,reflective silver,none,none,0,1,,
287,five 12,m capitola short,five12-m-int-ht-l,none,,main interior heat transfer label,,,,interior cb waistband   ,1,none,0,x,x,x,x,none,none,0,1,,
288,five 12,m capitola short,please source,none,,perforated care content label ,,,,left waistband seam  ,1,none,0,white,white,white,white,none,none,0,1,,
289,five 12,mens and womens tofino hoody ,ssb-150256,singtex,,"shell fabric at hood, front and back body, sleeves, hand pocket bags",,,,none,none,3.8,yard,navy,berry,poppy,none,black,none,1,0,,
290,five 12,mens and womens tofino hoody ,sw8337s-p1 printed,singtex,,"shell fabric at hood, front and back body, sleeves, hand pocket bags",,,,none,none,none,none,none,none,none,black heather,none,black heather,1,0,,
291,five 12,mens and womens tofino hoody ,cifor-39 dsbyg (h3),ykk,,"#3 coil, open end, right insert, dsbyg slider ",,,,cf zipper,1,none,0,navy,poppy,poppy,black,black,black,0,1,,
292,five 12,mens and womens tofino hoody ,cfc-39 dsbyg (h3),ykk,,"#3 coil, closed end, dsbyg slider",,,,hand pocket zippers,2,none,0,ocean,poppy,berry,none,ebony,none,0,1,,
293,five 12,mens and womens tofino hoody ,cfc-39 dsbyg (h3) p12 kensin n-anti p-top reverse rx39 ,ykk,,"#3 coil, closed end, dsbyg slider",,,,hand pocket zippers,2,none,0,none,none,none,reflective silver,none,reflective silver,0,1,,
294,five 12,mens and womens tofino hoody ,please source,none,,"1/4"" elastic",,,,"cuffs, sides of hood",none,none,yard,stock white,stock white,stock white,stock white,stock white,stock white,0,1,,
295,five 12,mens and womens tofino hoody ,please source shockcord,none,,2.5mm shockcord,,,,hood adjustment,none,none,0,ocean,poppy,poppy,reflective silver,reflective silver,reflective silver,0,1,,
296,five 12,mens and womens tofino hoody ,p481s001,utx,,rubber puller ,,,,"hem adjustment, back hood adjustment      ",3,0.02,0.06,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),0,1,,
