,position,ref num,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
8, #5 vislon aquaguard matte film (5vt9),ykk / dalh/dag 2-way semi auto locking,center front,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
9, #5 vislon aquaguard matte film (5vt9),ykk /  dfw short 1-way non locking,hand pockets vertical,1 per side = 2,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
10, #5 coil zipper,non ykk / dfw short 1-way non locking,lining pocket vertical,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
11,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
12,nitro custom pull / n14-trim-139,knk / 3738,center front,1,color,none,none,none,none,none
13,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,1 per side = 2,color,none,none,none,none,none
14,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,8mm metal eyelet,luk's / et04,hem adjust,2 per side = 4,color,none,none,none,none,none
19,bead,luk's / et04,hem adjust,1 per side = 2,color,none,none,none,none,none
20,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
23,bonding film,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
27,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
28,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,none,none,none,none,none
29,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,none,none,none,none,none
30,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
35,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
38,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
40,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
