MATERIAL_ID,0,1,2,3,4,5
0,TRIM SUPPLIER,,,QUOTATION DATE,,
1,TRIM DESCRIPTION,,,,,
2,TRIM PART NUMBER,,,,,
3,ESTIMATED ANNUAL VOLUME,,,,,
10,yes,no,no,,,
11,"Specification: GTP and GFS, IMDS data to be put in",,,,,
12,,Materials description & supplier,MOQ ,"usage per trim 
(in mtrs) ","Price per meter
(in USD)",Price per trim
19,Spring Toggles/1Hole,,,2,0.047,0.094
20,Spring Toggles/2Hole,,,1,0.042,0.042
22,Seam Tape,,,1.7,0.183,0.3111
26,Other,Package,,,,0.587
28,CUTTING,,,,,
31,STUDDING,,,,,
35,OVERHEADS,,,,,
38,FREIGHT,,,,,0.048
41,GRAND TOTAL,,,,,
43,PROFIT,,,,,
45,TOTAL PRICE,,,,,7.224300000000001
