,description,item,ref,amount,colorway/4,colorway/5
1,center front,#5 metal, za snap-on type (ykk),1-way (locking),psudo anti silver slider and teeth / black tape,psudo anti silver slider and teeth / black tape
2,left arm pocket,#5 metal,dadhr diecast wire (non ykk),1-way (locking),psudo anti silver slider and teeth / black tape,psudo anti silver slider and teeth / black tape
3,zipper pulls,item,supplier/ ref number,amount,black,military
4,cf,l1-2016-trim-009,top pull only,1,psudo anti silver,psudo anti silver
5,l1 branded trims,item,supplier/ ref number,amount,black,military
6,front left sleeve hem,l1 embroidery small,soluna / l1-2016-026,1,dtm,dtm
7,back right ,l1 embroidery large,soluna / l1-2016-027,1,dtm,dtm
8,hand pocket flaps,l1 metal snap,luks / l1-2016-trim-001,2,psudo anti silver,psudo anti silver
9,hem,item,supplier/ ref number,amount,black,military
10,hem drawcord,round drwacord with clear plastic tip,none,1,black,military
11,hem grommets,metal grommet,none,1 per side = 2,enamel dull black,enamel dull black
12,velcro,item,supplier/ ref number,amount,black,military
13,inner pocket closure,"1/2"" x 6""",none,1,black,military
14,thread,spi,ref number,amount,black,military
15,seams,none,none,none,matching,matching
16,topstitch,none,none,none,matching,matching
17,bartacks,none,none,none,matching,matching
18,marketing,description,ref number,amount,black,military
19,lining cb locker loop,l1 hang tag,l1 hang tag,1,l1 hang tag,none
20,lining cb facing,wp/ breathability // rn ca / made in china,5k/5k // critically taped ,1,5k/5k // critically taped ,none
21,lining left side seam,address label,sew as loop,1,address label,none
22,lining left side seam,content label,sew as loop,1,content label,none
23,lining left side seam,washing label,sew as loop,1,washing label,none
24,lining locket loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none
