WORD_ID,VOCAB_WORD
0,black
1,pocket
2,tape
3,zipper
4,color
5,label
6,side
7,number
8,shell
9,seam
10,slider
11,per
12,oxid
13,refer
14,fabric
15,teeth
16,ref
17,tcx
18,back
19,coil
20,left
21,x
22,tag
23,loop
24,front
25,ykk
26,hood
27,lock
28,locat
29,silver
30,pull
31,leather
32,hand
33,snap
34,right
35,suppli
36,copper
37,faux
38,adjust
39,jacket
40,hem
41,hang
42,bodi
43,nylon
44,sourc
45,anti
46,sleev
47,cm
48,print
49,cord
50,metal
51,size
52,skirt
53,polyest
54,line
55,bottom
56,flap
57,bag
58,non
59,amount
60,blue
61,elast
62,fit
63,center
64,pant
65,tab
66,jkt
67,zip
68,main
69,face
70,close
71,woven
72,grey
73,sticker
74,dark
75,corner
76,alloy
77,trim
78,vent
79,web
80,leg
81,l
82,content
83,insid
84,date
85,regular
86,twill
87,supplier
88,spi
89,connect
90,end
91,star
92,puller
93,bright
94,brass
95,soli
96,seal
97,round
98,antiqu
99,open
100,top
101,sampl
102,match
103,mesh
104,logo
105,cuff
106,collar
107,night
108,tricot
109,powder
110,inner
111,dull
112,mm
113,gaiter
114,rl
115,male
116,poli
117,wire
118,art
119,thread
120,eyelet
121,flat
122,sheet
123,drawcord
124,button
125,see
126,plastic
127,matt
128,hook
129,red
130,broken
131,larg
132,femal
133,neck
134,name
135,men
136,winter
137,wearer
138,chest
139,film
140,halti
141,washer
142,dadhr
143,luk
144,dalh
145,incl
146,time
147,velcro
148,critic
149,clip
150,set
151,lafuma
152,swivel
153,belt
154,finish
155,women
156,stopper
157,width
158,pseudo
159,white
160,w
161,code
162,waist
163,embroideri
164,clrway
165,edg
166,xl
167,camo
168,mantl
169,band
170,dwr
171,m
172,fli
173,coat
174,attach
175,placement
176,descript
177,stitch
178,tie
179,nickel
180,sorc
181,satin
182,vislon
183,taffeta
184,b
185,insul
186,made
187,auto
188,vertic
189,part
190,panel
191,outer
192,creat
193,self
194,fulli
195,custom
196,separ
197,patch
198,origin
199,detail
200,hangtag
201,waistband
202,closur
203,bind
204,revers
205,s
206,nuber
207,diecast
208,corpor
209,lower
210,way
211,plain
212,tip
213,qti
214,oliv
215,stretch
216,base
217,tbd
218,insert
219,product
220,key
221,emboss
222,lycra
223,warn
224,cast
225,storm
226,die
227,gray
228,sml
229,cf
230,design
231,block
232,pahio
233,and
234,short
235,revis
236,qualiti
237,soluna
238,contractor
239,panton
240,hidden
241,morpho
242,target
243,brush
244,fob
245,exit
246,militari
247,item
248,semi
249,denim
250,gold
251,ink
252,north
253,dfw
254,e
255,upc
256,no
257,pinneco
258,gunmet
259,garment
260,ming
261,guard
262,china
263,weight
264,chain
265,mid
266,wax
267,page
268,placket
269,price
270,matter
271,shyang
272,cap
273,tseu
274,nitro
275,topstitch
276,heat
277,mmg
278,biella
279,cloth
280,tpu
281,melang
282,deboss
283,green
284,interfac
285,cb
286,xs
287,xxl
288,intern
289,c
290,brand
291,wipe
292,silt
293,sketch
294,transfer
295,wrap
296,wo
297,pcs
298,allow
299,terri
300,gripper
301,clear
302,care
303,instruct
304,slate
305,free
306,adhes
307,style
308,avail
309,ecoya
310,velveti
311,goggl
312,shockcord
313,royal
314,pass
315,airblast
316,local
317,vietnam
318,a
319,colorway
320,leaf
321,lamin
322,proto
323,screen
324,head
325,yf
326,artwork
327,keyclip
328,tpx
329,point
330,layer
331,length
332,one
333,special
334,direct
335,harvest
336,util
337,season
338,singl
339,use
340,dragon
341,jungl
342,dtm
343,cut
344,interior
345,sms
346,kensin
347,packabl
348,mtn
349,note
350,musi
351,total
352,mix
353,fix
354,system
355,behind
356,lace
357,legaci
358,necklin
359,ribbon
360,bulk
361,down
362,gate
363,pink
364,defin
365,rate
366,polyfil
367,heather
368,db
369,horizont
370,pullov
371,powel
372,small
373,summit
374,doxcp
375,gusset
376,aquaguard
377,at
378,slip
379,d
380,rivet
381,entri
382,burgundi
383,pfc
384,ht
385,needl
386,fleec
387,knit
388,place
389,tsgs
390,upper
391,gator
392,chin
393,attch
394,pearl
395,paiho
396,ho
397,nightykk
398,comment
399,unless
400,shoulder
401,vendor
402,stress
403,boot
404,shoelac
405,pellon
406,rubber
407,serg
408,should
409,avoid
410,overdy
411,bone
412,pewter
413,climact
414,rang
415,backsid
416,pack
417,middl
418,cs
419,asymmetr
420,walnut
421,media
422,specif
423,conceal
424,rong
425,ea
426,i
427,around
428,wei
429,below
430,antic
431,welt
432,shini
433,away
434,rust
435,h
436,posit
437,orang
438,tripl
439,tone
440,agenc
441,loft
442,yoke
443,deliveri
444,brim
445,core
446,grommet
447,drop
448,hole
449,pes
450,pleas
451,grosgrain
452,oxblood
453,low
454,wide
455,dsbyg
456,spare
457,impact
458,finger
459,plastisol
460,tech
461,stay
462,ride
463,cover
464,polar
465,navi
466,swell
467,big
468,reinforc
469,metalux
470,shang
471,brown
472,hold
473,last
474,piec
475,freedom
476,uom
477,accessori
478,scott
479,developp
480,yd
481,usa
482,combin
483,strap
484,ca
485,bib
486,solid
487,diamet
488,year
489,ld
490,shadow
491,vest
492,puffer
493,lime
494,ia
495,wmns
496,herringbon
497,marjori
498,track
499,j
500,delrin
501,guid
502,cotton
503,nightfal
504,misti
505,rn
506,index
507,rubberref
508,membran
509,micro
510,shock
511,bombay
512,wick
513,velvet
514,follow
515,flag
516,autolock
517,spandex
518,wad
519,full
520,kifco
521,sea
522,knee
523,pu
524,doubl
525,dablh
526,pinkcandi
527,coatsopti
528,yield
529,must
530,rib
531,feuill
532,oxford
533,pdf
534,outdoorref
535,teethykk
536,outsid
537,materi
538,all
539,port
540,medium
541,order
542,surfac
543,holder
544,ventil
545,shank
546,raco
547,is
548,post
549,da
550,donut
551,reflect
552,new
553,engrav
554,labelref
555,ball
556,cabl
557,box
558,shape
559,arm
560,provid
561,nvisibl
562,unitex
563,barrel
564,fold
565,photo
566,asphalt
567,napoleon
568,julep
569,rip
570,kido
571,libolon
572,row
573,market
574,pin
575,weav
576,flatlock
577,out
578,ltd
579,sued
580,letter
581,dfbw
582,pkt
583,wrist
584,planet
585,tex
586,differ
587,tunnel
588,k
589,wilson
590,windact
591,bond
592,stripe
593,thick
594,gwang
595,roll
596,g
597,sewn
598,garag
599,slim
600,motley
601,squar
602,sa
603,palcement
604,artsheet
605,wr
606,remov
607,good
608,raven
609,skinni
610,defend
611,eclips
612,to
613,invert
614,cordlock
615,morphoykk
616,du
617,dal
618,discoveri
619,need
620,lift
621,ticket
622,fur
623,pm
624,eider
625,peak
626,snapref
627,silder
628,on
629,pinkykk
630,psudo
631,jersey
632,group
633,industri
634,also
635,overal
636,locker
637,zippernot
638,tsa
639,stock
640,dacr
641,beach
642,transpar
643,ocean
644,list
645,singtex
646,spec
647,approv
648,touch
649,bemi
650,paint
651,sweatshirt
652,slidersuppli
653,mmgalpha
654,taup
655,airpil
656,lucki
657,joke
658,wineykk
659,hanger
660,fd
661,waterproof
662,gatier
663,breathabl
664,paddingloc
665,shoe
666,dsyg
667,cire
668,clotex
669,asia
670,snowgait
671,labelfor
672,charg
673,inform
674,athlet
675,topsuppli
676,of
677,cd
678,for
679,plus
680,dot
681,expos
682,ski
683,factori
684,khaki
685,water
686,smooth
687,calvari
688,crotch
689,ottoman
690,lam
691,caf
692,seri
693,card
694,teal
695,push
696,in
697,interlin
698,thin
699,angl
700,hk
701,jacquard
702,inject
703,underarm
704,past
705,extra
706,pine
707,breath
708,snowskirt
709,font
710,hipster
711,cargo
712,prima
713,eiderref
714,banff
715,wine
716,terinda
717,synthet
718,eco
719,colour
720,seat
721,yard
722,pavement
723,offic
724,shenzhen
725,braid
726,five
727,problem
728,invis
729,oval
730,seper
731,outshel
732,resist
733,hoodi
734,foldabl
735,dead
736,thigh
737,ice
738,flower
739,graphic
740,noir
741,tba
742,textil
743,dusti
744,dawn
745,pill
746,strength
747,smlref
748,vymj
749,powderskirt
750,tube
751,junlg
752,morphoblu
753,dae
754,pinloc
755,bias
756,wing
757,or
758,sourcingto
759,stretchabl
760,as
761,suspend
762,shirt
763,ninja
764,orangeykk
765,windflap
766,utx
767,maxland
768,polytricot
769,comfort
770,polybag
771,wideto
772,submit
773,dennsion
774,hip
775,dong
776,cleaner
777,sage
778,sns
779,drymaxx
780,greyykk
781,applic
782,activ
783,dri
784,za
785,unicolorref
786,finnish
787,looker
788,critterflag
789,damask
790,readi
791,seamtap
792,spun
793,string
794,li
795,camel
796,peng
797,storag
798,caviar
799,with
800,powernet
801,hyperbola
802,be
803,packag
804,power
805,bartack
806,bar
807,type
808,brake
809,overlay
810,fornt
811,dx
812,sealon
813,long
814,up
815,bead
816,vintag
817,violet
818,spruce
819,pvc
820,effectykk
821,trimtricolordrawstr
822,clean
823,scoop
824,quilt
825,street
826,stone
827,laf
828,english
829,blanket
830,hyak
831,melbourn
832,er
833,armhol
834,lengthen
835,primaloft
836,pizza
837,outlet
838,gain
839,mold
840,over
841,yarn
842,wb
843,section
844,anorak
845,premier
846,moroccan
847,sent
848,tai
849,window
850,onli
851,rope
852,dress
853,labels
854,r
855,have
856,fashion
857,zipnrip
858,south
859,pipe
860,slit
861,zipperelast
862,sw
863,version
864,we
865,leash
866,develop
867,jia
868,glacier
869,bunge
870,prior
871,centr
872,contain
873,earphon
874,york
875,handwarm
876,eboni
877,elastin
878,bang
879,pti
880,phone
881,blood
882,grip
883,bicep
884,pattern
885,test
886,smoke
887,silicon
888,mark
889,pop
890,cleaer
891,polyestr
892,sestrier
893,wi
894,co
895,shorter
896,jean
897,confirm
898,blair
899,dye
