,0,1,2,3,4,5,6,7,8
1,none,none,none,season:,2018/19,none,none,none,none
2,none,  ,none,series:,ninja suits,none,none,none,none
3,none,none,none,style name:,youth ninja suit,none,none,none,none
4,none,none,none,style #:,ab19knj1_002,none,none,none,none
5,none,none,none,gender:,kids,none,none,none,none
13,none,none,highlighted = changes,none,none,none,none,none,none
14,none,updated: 1.31.17,none,none,none,color #1,color #2,color #3,color #4
15,none,material/trim,description,location,qty,black,tbd,pizza,tbd
16,fabrics & linings,none,none,none,none,none,none,none,none
17,a,main fabric,94% spun polyester 6%spandex single jersey + wicking               r21103023,main body,none,black,tbd,pizza,tbd
18,b,binding,94% spun polyester 6%spandex single jersey + wicking                      r21103023,hood opening,none,black,tbd,pizza,tbd
19,c,thread,none,flatlock seams upper body,none,black,tbd,black,tbd
20,d,thread,none,flatlock seams lower body,none,black,tbd,black,tbd
22,zippers,none,none,none,none,none,none,none,none
23,aa,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,c.f. zipper,1,black,tbd,black,tbd
24,bb,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,waistband zipper,1,black,tbd,black,tbd
26,trims,none,none,none,none,none,none,none,none
27,cc,main label,abtr_538v transfer label 100% polyester,"inside c.b. neck, 3  cm below neck seam",1,white,tbd,black,tbd
28,dd,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black,black,black,black
29,ee,embroidery,ninja star abem_015a 2-color ,"at wearer's left chest, sewn directly to chest with sns edge stitch, see palcement page for detail  (a. star color, b. pill color)",1,a) metallic silver st101                      b) black,tbd,n/a,tbd
30,ff,embroidery,abem_310 pizza ninja star,"at wearer's left chest, sewn directly to chest with sns edge stitch",1,n/a,n/a,yellow/red/black/brown,n/a
32,packaging/hang tags (bulk only),none,none,none,none,none,none,none,none
33,gg,hangtag,none,c.f. zipper. use white color webbing rope to attach. supplied by sml.,1,tbd,tbd,tbd,tbd
34,hh,size sticker,clear size indication zipper,2 pcs placed on each designated white square on side of packing box.,2,clear,clear,clear,clear
35,ii,upc sticker,sticker width 3.5 cm,"at bottom side of ninja suit packaging box.  place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 12/13.",1,white,white,white,white
36,jj,ninja packing box,see sample,garment folded neatly and placed in packing box.  will advise ordering information when available.,1,black,black,black,black
38,special instructions:,none,none,none,none,none,none,none,none
39,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
40,2,stitches per inch:,8-10,none,none,none,none,none,none
41,3,zipper direction:,"cf has right hand slider, pocket zippers close down",none,none,none,none,none,none
42,4,bar tact:,"at stress points, bottom of c.f. zipper and at waistband zipper ends",none,none,none,none,none,none
43,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
44,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
45,7,hang tag:,should have the above noted hang tags,none,none,none,none,none,none
46,8,needle type:,ball point,none,none,none,none,none,none
47,9,ninja box:,1 garment per ninja packing box; upc sticker on outside packing box,none,none,none,none,none,none
48,10,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
