,Style,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none.1,none.2,amount,0,0.1,0.2,location ,silt,military,ink,port,bone,black,walnut,location,colorway 1,colorway 4,colorway 5,colorway 6,soil,vintage camo broken twill,dusty green,0.3,soil / black,black / oxblood,gunmetal / bombay,dark slate,rust,raven,none.3,none.4,slider ref number,floral print broken twill,black/ rust,bone/ black,gunmetal/ ink,details,colorways,0.4,black overdye denim,brown overdye denim,bone/floral print,rust / black,ink / gunmetal,gunmetal,silt ,bone ,silt / gunmetal,walnut / ink,camo,sand / dark slate,harvest / raven,raw blue denim,pink,ref number,winter 2018/2019,contractor:,soluna
0,L1-104-17_LEGACY_MARCH17_SHELL.csv,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1-104-17_LEGACY_MARCH17_SHELL.csv,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1-104-17_LEGACY_MARCH17_SHELL.csv,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,L1-102-17_WINDSOR_TRIMS.csv,center front,#5 vislon,ykk za/dag snap on // 2-way seperating auto lock ,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1-102-17_WINDSOR_TRIMS.csv,underarms,#5 coil,dadhr diecast wire (non ykk) auto lock (zip up to close) ,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1-102-17_WINDSOR_TRIMS.csv,side entry hand pockets,#5 coil,dadhr diecast wire (non ykk) auto lock ,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L1-102-17_WINDSOR_TRIMS.csv,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,,pseudo anti silver slider  and dtm teeth / black tape,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L1-102-17_WINDSOR_TRIMS.csv,zipper pulls,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L1-102-17_WINDSOR_TRIMS.csv,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,,pseudo anti silver ,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L1-102-17_WINDSOR_TRIMS.csv,underarms, self fabric pull,factory made // 11nt-045 ,,shell fabric matching,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
