,position,ref num,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
8,#5 vislon zipper,ykk / dalh 1-way semi auto locking,center front,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
9,#5 vislon zipper,ykk / dfw short non lock,hand pockets vertical,1 per side = 2,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
10,#5 coil zipper,non ykk / dfw short non lock,chest pocket,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
11, #5 coil zipper,non ykk / dfw short non lock,lining pocket vertical,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
12,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
13,nitro custom pull / n14-trim-139,knk / 3738,center front,1,color,none,none,none,none,none
14,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,1 per side = 2,color,none,none,none,none,none
15,nitro custom pull / n14-trim-139,knk / 3738,chest pocket,1,color,none,none,none,none,none
16,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,front left hem,1,color,none,none,none,none,none
18,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
19,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",sleeve and bottom hems,3,color,none,none,none,none,none
20,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
21,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
22,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
27,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
30,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
32,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
