WORD_ID,VOCAB_WORD
0,pocket
1,zipper
2,label
3,front
4,left
5,back
6,seam
7,side
8,hood
9,line
10,hand
11,coil
12,right
13,hem
14,center
15,insid
16,slider
17,snap
18,sleev
19,cord
20,adjust
21,metal
22,shell
23,fabric
24,ykk
25,main
26,suppli
27,x
28,bottom
29,bodi
30,nylon
31,trim
32,loop
33,hang
34,tag
35,elast
36,polyest
37,velcro
38,flap
39,woven
40,skirt
41,tape
42,cm
43,powder
44,bag
45,pull
46,sticker
47,size
48,locat
49,cuff
50,content
51,face
52,web
53,tab
54,leg
55,item
56,inner
57,print
58,zip
59,vent
60,corner
61,hangtag
62,chest
63,puller
64,jacket
65,flat
66,collar
67,connect
68,round
69,plastic
70,embroideri
71,pant
72,non
73,lock
74,lower
75,mesh
76,end
77,open
78,logo
79,drawcord
80,thread
81,waist
82,attach
83,solid
84,close
85,top
86,soli
87,regular
88,gaiter
89,tricot
90,see
91,brand
92,waistband
93,neck
94,poli
95,hardwar
96,care
97,eyelet
98,necklin
99,insul
100,cf
101,button
102,hook
103,stopper
104,jkt
105,brush
106,insert
107,grosgrain
108,leather
109,width
110,goggl
111,washer
112,clip
113,incl
114,fli
115,key
116,band
117,wearer
118,upc
119,nitro
120,swivel
121,male
122,belt
123,lycra
124,self
125,edg
126,coat
127,per
128,mm
129,vislon
130,lafuma
131,gripper
132,larg
133,polybag
134,patch
135,finish
136,revers
137,bind
138,faux
139,panel
140,satin
141,ref
142,stretch
143,cb
144,part
145,keyclip
146,heat
147,chin
148,vertic
149,number
150,sewn
151,separ
152,femal
153,dalh
154,topstitch
155,dragon
156,closur
157,small
158,black
159,way
160,corpor
161,taffeta
162,plain
163,detail
164,made
165,storm
166,bartack
167,w
168,mmg
169,color
170,custom
171,dwr
172,time
173,sml
174,interior
175,hidden
176,tie
177,exit
178,halti
179,twill
180,sourc
181,set
182,chain
183,address
184,qualiti
185,sampl
186,men
187,garment
188,warn
189,intern
190,airpil
191,film
192,e
193,boot
194,shockcord
195,critic
196,tbd
197,guard
198,tip
199,origin
