,position,item,ref num,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
8,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
9,hand pockets,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
10,back right pocket,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
11,"""balls out"" venting",#5 coil ,"non ykk dadhr diecast wire // 2 sliders on closed ends tape, zip down each side to close (locking)",1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
12,hem,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
13,zipper pulls,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
14,hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
15,"""balls out"" venting", self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
16,l1 branded trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
21,snaps,#5 coil ,supplier/ ref number,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,0
24,other trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
25,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
26,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,psudo anti silver,none,none,none,none,none
27,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
31,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
36,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
37,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,none,none,none,none,none
38,front left belt loop behind main hang tag,l1 pant fit hang tag ,supplier // regular fit,1,l1 pant fit hang tag  // regular fit,none,none,none,none,none
39,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,none,none,none,none,none
40,lining front right,l1 main label,regular fit // 10k/10k // fully taped ,1,regular fit // 10k/10k // fully taped ,none,none,none,none,none
41,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
42,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
43,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
44,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
