,position,ref num,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
8, #5 metal zipper  (special herringbone tape),ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,none
9, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,none
10, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,none
11,additional zipper pulls,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
12,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm",ykk,center front,top and bottom pull = 2,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,none
13,11nt-045 / self fabric pull,factory made,chest pocket vertical,1,silt shell fabric,military shell fabric,black shell fabric,vintage camo broken twill shell fabric,broken twill floral shell fabric,none
14,11nt-045 / self fabric pull,factory made,hand pockets vertical,1 per side = 2,silt shell fabric,military shell fabric,black shell fabric,vintage camo broken twill shell fabric,broken twill floral shell fabric,none
15,branded trims,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
16,"l1-2018-trim-w-001 /
woven label: 5.3 cm x 6.2 cm",please source,front right hem,1,"l1-2018-trim-w-001 /
woven label: 5.3 cm x 6.2 cm","l1-2018-trim-w-001 /
woven label: 5.3 cm x 6.2 cm","l1-2018-trim-w-001 /
woven label: 5.3 cm x 6.2 cm","l1-2018-trim-w-001 /
woven label: 5.3 cm x 6.2 cm","l1-2018-trim-w-001 /
woven label: 5.3 cm x 6.2 cm",none
17,"l1-2018-trim-004
brown faux leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",please source,left hand pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
18,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,matching,matching,matching,matching,12-0105 tcx bone,none
19,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,matching,matching,matching,matching,12-0105 tcx bone,none
20,trims,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
21,15mm metal snap ,luk's / 404,sleeve hem (cab is hidden),"1 female, 2 male",cp016 copper,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none
22,15mm metal snap ,luk's / 404,hand pocket flaps (hidden),1 per side = 2,cp016 copper,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none
23,15mm metal snap ,luk's / 404,powder skirt - front closure,"2 female, 4 male",cp016 copper,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none
24,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,cp016 copper,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none
25,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,cp016 copper,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none
26,12mm plastic snap,as production,snap faux fur to hood,6 sets,black,black,black,black,black,none
27,metal eyelets 11mm ,luk's / et89,hood cord exit front,1 per side = 2,cp016 copper,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none
28,metal eyelets 11mm ,luk's / et89,waist adjust,1 per side = 2,cp016 copper,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none
29,metal drawcord tip,see photo,front hood drawcord ends ,1 per side = 2,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,none
30,metal drawcord tip,see photo,waist drawcord ends ,1 per side = 2,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,none
31,metal drawcord tip,see photo,hem drawcord ends ,1 per side = 2,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper ,none
32,keyclip,xxx,right hand pocket,1 per side = 2,black,black,black,black,black,none
33,cord lock,# 1340089aa-0 (bko1) (button),hood cord exit,1 per side = 2,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
34,cord lock,# 1340089aa-0 (bko1) (button),waist adjust drawcords,1 per side = 2,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
35,notions,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
36,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black,black,none
37,"grosgrain: 3/4"" wide  (fold in 1/2, 1/2"" finished tab length)",none,lining pocket,1,black,black,black,black,black,none
38,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black,black,none
39,grosgrain ,none,back hem,1,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,19-4006 tcx black,none
40,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,silt shell fabric,military shell fabric,black shell fabric,black shell fabric,broken twill floral shell fabric,none
41,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,silt shell fabric,military shell fabric,black shell fabric,black shell fabric,broken twill floral shell fabric,none
42,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,silt shell fabric,military shell fabric,black shell fabric,black shell fabric,broken twill floral shell fabric,none
43,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black,black,none
44,elastine,none,lining cable guide,1,black,black,black,black,black,none
45,8mm round drawcord,(also used in l1-111-18 stooge),hood,1,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
46,8mm round drawcord,(also used in l1-111-18 stooge),waist,1,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
47,8mm round drawcord,(also used in l1-111-18 stooge),hem,1,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
48,velcro,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
49," 1/2"" x 5 1/2"" (1/2"" shorter that pocket length, wmns pocket is 6"") velcro with rounded corners",paiho / loop#1057 / hooketn7,lining pocket,1,match to shell,match to shell,match to shell,black,12-0105 tcx bone,none
50,"1/2 x 1 1/2""",paiho / loop#1057 / hooketn7,"inner facing of hood where fur facing is attached -  hook on top, loop on bottom",1,match to shell,match to shell,match to shell,black,12-0105 tcx bone,none
51,"1/2 x 1 1/2""",paiho / loop#1057 / hooketn7,shell facing of removable hood  piece - loop on top hook on bottom,1,match to shell,match to shell,match to shell,black,12-0105 tcx bone,none
52,thread,spi,supplier/ ref number,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
53,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
54,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
55,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
56,labels ,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
57,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none,none,none
58,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none,none,none
59,hang tags,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
60,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none,none,none
61,care and content labels,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
62,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
63,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
64,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
