,position,ref num,location ,content,black,gunmetal,ink,soil,none,none
9,calvary stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,100% polyester,black,gunmetal,ink,soil,none,none
10,leather,please source,suppler? can you source same quality as other faux leather trims,100% leather,black faux leather,black faux leather,black faux leather,black faux leather,none,none
11,insulation,supplier/ reference number,location ,content,black,gunmetal,ink,soil,0,0
13,seam tape,supplier/ reference number,location ,content,black,gunmetal,ink,soil,0,0
14,seam tape,tsgs ,critically taped,none,critically taped,critically taped,critically taped,critically taped,none,none
15,lining,supplier/ reference number,location ,content,black,gunmetal,ink,soil,0,0
16,solid 210t ,regular mesh,1606b02 (als-16038),100% polyester,black,black,black,black,none,none
17,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,none,none
18,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,none,none
19,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,none,none
20,shell fabric ,supplier/ reference number,location ,content,black,gunmetal,ink,soil,0,0
21,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,none,none
