RECORD_ID,Csv,Rows,SUBJECT,VOCAB_SIZE,Test_size,True_Positives,True_Negatives,False_Positives,False_Negatives,TRUE_in y_test,Recall_Score,Precision_Score,F1-Score
0,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,900,0.1,951,373,36,97,1048,90.74%,0.964,0.93
1,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,900,0.1,966,413,25,53,1019,94.80%,0.975,0.96
2,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,900,0.1,950,397,29,77,1027,92.50%,0.97,0.95
3,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,700,0.1,923,426,18,88,1012,91.21%,0.981,0.95
4,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,700,0.1,928,419,32,75,1005,92.34%,0.967,0.94
5,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,700,0.1,918,431,27,72,991,92.63%,0.971,0.95
6,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,700,0.1,935,408,34,74,1011,94.28%,0.965,0.94
7,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,700,0.1,947,410,25,72,1021,92.75%,0.974,0.95
8,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,fabric,700,0.1,179,1288,29,18,199,89.95%,0.861,0.88
9,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,fabric,900,0.1,178,1242,29,8,186,95.70%,0.86,0.91
10,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,fabric,900,0.1,178,1235,23,18,198,89.90%,0.86,0.89
11,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,rib,900,0.1,1,1452,3,0,1,100.00%,0.25,0.4
12,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,insulation,900,0.1,13,1413,23,6,19,68.42%,0.361,0.47
13,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,insulation,500,0.1,16,1409,25,1,17,94.12%,0.39,0.55
14,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,interfacing,500,0.1,9,1441,0,1,10,90.00%,1.0,0.95
15,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,zipper,500,0.1,133,1298,24,2,133,98.50%,0.845,0.91
16,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,label,500,0.1,111,1322,15,2,113,98.23%,0.8809999999999999,0.93
17,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,fabric,900,0.1,183,1233,27,15,199,91.96%,0.871,0.89
18,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,insulation,900,0.1,12,1422,19,4,16,75.00%,0.387,0.51
19,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,interfacing,900,0.1,9,1434,1,11,10,90.00%,0.45,0.6
20,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,zipper,900,0.1,113,1322,16,1,144,99.12%,0.8759999999999999,0.93
21,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,label,900,0.1,99,1321,31,0,99,100.00%,0.762,0.86
22,G_ERP_database_v1_title_classify_v2_Add_missed_materials_v2.csv,14588,material_garment,900,0.1,942,409,31,74,1017,92.63%,0.968,95.0
23,col_classify_matrix_trimed_20200330.csv,3833,item,900,0.1,23,223,9,16,40,50.70%,0.7190000000000001,0.64
24,col_classify_matrix_trimed_20200330.csv,3833,item,900,0.1,23,214,10,8,33,75.76%,0.7140000000000001,0.74
25,col_classify_matrix_trimed_20200330.csv,3833,item,900,0.1,28,231,8,11,39,71.79%,0.778,0.75
26,col_classify_matrix_trimed_20200330.csv,3833,item,900,0.1,16,229,16,7,25,64.00%,0.5,0.56
27,col_classify_matrix_trimed_20200330.csv,3833,item,900,0.1,27,224,9,12,40,67.50%,0.75,0.71
28,col_classify_matrix_trimed_20200330.csv,3833,position,900,0.1,44,219,8,5,50,88.00%,0.8640000000000001,0.86
29,col_classify_matrix_trimed_20200330.csv,3833,position,900,0.1,44,225,2,8,52,84.62%,0.957,0.9
30,col_classify_matrix_trimed_20200330.csv,3833,position,900,0.1,38,232,6,3,42,90.48%,0.8640000000000001,0.88
31,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,74,195,5,0,99,74.75%,0.937,0.83
32,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,68,199,6,3,98,69.39%,0.919,0.79
33,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,66,204,8,0,89,74.16%,0.892,0.81
34,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,18,227,15,4,24,75.00%,0.545,0.63
35,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,20,250,10,6,26,76.92%,0.667,0.71
36,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,22,224,14,9,31,70.97%,0.611,0.66
37,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,23,222,11,4,28,82.14%,0.6759999999999999,0.74
38,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,19,245,10,11,30,63.33%,0.6559999999999999,0.64
39,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,42,227,0,3,47,89.36%,1.0,0.94
40,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,41,223,4,2,45,91.11%,0.911,0.91
41,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,45,198,5,5,53,84.91%,0.9,0.87
42,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,23,250,4,5,28,82.14%,0.852,0.84
43,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,38,245,4,4,44,86.36%,0.905,0.88
44,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,28,233,5,8,37,75.68%,0.848,0.8
45,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,40,222,3,4,45,88.89%,0.93,0.91
46,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,43,214,4,5,50,86.00%,0.915,0.89
47,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,41,213,4,5,50,82.00%,0.911,0.86
48,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,32,217,4,4,38,84.21%,0.889,0.86
49,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,44,225,2,4,51,86.27%,0.957,0.91
50,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,70,193,7,1,96,72.92%,0.909,0.81
51,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,79,178,6,1,104,75.96%,0.929,0.84
52,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,60,212,6,0,87,68.97%,0.909,0.78
53,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,78,181,8,0,115,67.83%,0.907,0.78
54,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,76,191,5,1,114,66.67%,0.938,0.78
55,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,63,197,4,0,101,62.38%,0.94,0.75
56,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,57,219,6,0,83,68.67%,0.905,0.78
57,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,84,188,5,0,109,77.06%,0.944,0.85
58,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,62,205,6,0,90,68.89%,0.912,0.78
59,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,74,194,5,0,104,71.15%,0.937,0.81
60,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,22,238,16,7,29,75.86%,0.579,0.66
61,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,20,225,19,4,24,83.33%,0.513,0.63
62,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,22,229,27,6,28,78.57%,0.449,0.57
63,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,18,227,31,8,26,69.23%,0.3670000000000001,0.48
64,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,23,213,22,6,29,79.31%,0.511,0.62
65,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,15,237,17,5,20,75.00%,0.469,0.58
66,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,25,222,11,9,35,71.43%,0.6940000000000001,0.7
67,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,15,236,18,7,22,68.18%,0.455,0.55
68,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,27,203,20,10,38,71.05%,0.574,0.64
69,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,27,212,8,8,36,75.00%,0.7709999999999999,0.76
70,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,27,225,14,6,33,81.82%,0.659,0.73
71,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,21,230,12,11,32,65.62%,0.636,0.65
72,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,25,214,15,10,35,71.43%,0.625,0.67
73,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,19,225,10,12,32,59.38%,0.655,0.62
74,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,27,220,11,12,39,69.23%,0.711,0.7
75,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,25,241,11,10,35,71.43%,0.6940000000000001,0.7
76,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,13,248,7,0,19,68.42%,0.65,0.67
